Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,57.3,53.4,1492409,1392154,100255,6.7
1976,Feb,57.2,53.3,1491820,1391975,99845,6.7
1976,Mar,57,53.2,1490600,1392137,98463,6.6
1976,Apr,56.9,53.2,1489947,1393177,96770,6.5
1976,May,56.8,53.1,1490609,1394591,96018,6.4
1976,Jun,56.8,53.1,1493270,1396510,96760,6.5
1976,Jul,56.8,53.1,1497488,1398508,98980,6.6
1976,Aug,56.9,53,1502397,1400824,101573,6.8
1976,Sep,57,53.1,1507195,1403488,103707,6.9
1976,Oct,57.1,53.1,1512273,1406391,105882,7
1976,Nov,57.2,53.1,1518265,1409707,108558,7.2
1976,Dec,57.4,53.2,1525568,1413734,111834,7.3
1977,Jan,57.6,53.3,1534383,1418860,115523,7.5
1977,Feb,57.9,53.4,1544075,1425097,118978,7.7
1977,Mar,58.1,53.6,1553665,1432080,121585,7.8
1977,Apr,58.4,53.8,1562297,1439468,122829,7.9
1977,May,58.5,53.9,1568937,1446727,122210,7.8
1977,Jun,58.6,54.1,1573270,1453467,119803,7.6
1977,Jul,58.6,54.2,1575689,1459495,116194,7.4
1977,Aug,58.5,54.3,1577504,1464868,112636,7.1
1977,Sep,58.5,54.4,1579545,1469855,109690,6.9
1977,Oct,58.5,54.5,1581808,1474532,107276,6.8
1977,Nov,58.5,54.6,1584502,1478914,105588,6.7
1977,Dec,58.5,54.6,1587522,1483160,104362,6.6
1978,Jan,58.5,54.7,1590947,1487808,103139,6.5
1978,Feb,58.5,54.8,1595067,1493428,101639,6.4
1978,Mar,58.6,55,1600048,1500232,99816,6.2
1978,Apr,58.7,55.2,1606042,1507853,98189,6.1
1978,May,58.9,55.3,1613055,1515549,97506,6
1978,Jun,59.1,55.5,1620381,1522416,97965,6
1978,Jul,59.2,55.6,1627399,1527689,99710,6.1
1978,Aug,59.3,55.6,1633399,1531117,102282,6.3
1978,Sep,59.4,55.6,1637866,1532949,104917,6.4
1978,Oct,59.5,55.6,1641178,1533922,107256,6.5
1978,Nov,59.5,55.5,1643767,1534609,109158,6.6
1978,Dec,59.5,55.5,1645893,1535097,110796,6.7
1979,Jan,59.5,55.4,1647812,1535258,112554,6.8
1979,Feb,59.4,55.3,1649538,1534963,114575,6.9
1979,Mar,59.4,55.2,1650980,1534270,116710,7.1
1979,Apr,59.4,55.1,1652094,1533457,118637,7.2
1979,May,59.3,55,1653228,1533152,120076,7.3
1979,Jun,59.3,55,1654719,1533709,121010,7.3
1979,Jul,59.3,55,1656477,1535256,121221,7.3
1979,Aug,59.3,55,1658553,1537606,120947,7.3
1979,Sep,59.3,55,1661023,1540377,120646,7.3
1979,Oct,59.3,55.1,1663350,1543103,120247,7.2
1979,Nov,59.3,55.1,1664951,1545207,119744,7.2
1979,Dec,59.3,55,1666044,1546087,119957,7.2
1980,Jan,59.3,54.9,1666594,1545102,121492,7.3
1980,Feb,59.2,54.8,1666602,1541785,124817,7.5
1980,Mar,59.1,54.5,1666667,1536128,130539,7.8
1980,Apr,59.1,54.2,1666794,1528732,138062,8.3
1980,May,59,53.8,1666872,1520782,146090,8.8
1980,Jun,59,53.5,1667196,1513892,153304,9.2
