Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,68.6,63.7,159154,147809,11345,7.1
1976,Feb,67.9,63.1,158961,147666,11295,7.1
1976,Mar,67.4,62.7,159067,147858,11209,7
1976,Apr,67.6,62.9,160192,148970,11222,7
1976,May,67.7,62.9,161814,150449,11365,7
1976,Jun,68.2,63.3,163686,152003,11683,7.1
1976,Jul,68.3,63.3,165354,153206,12148,7.3
1976,Aug,68.5,63.3,166528,153864,12664,7.6
1976,Sep,68.9,63.4,167315,154146,13169,7.9
1976,Oct,68.8,63.2,167786,154152,13634,8.1
1976,Nov,68.9,63.1,168112,154038,14074,8.4
1976,Dec,68.8,62.9,168532,153983,14549,8.6
1977,Jan,69.1,62.9,169181,154120,15061,8.9
1977,Feb,69.1,62.8,170041,154450,15591,9.2
1977,Mar,69.5,62.9,170926,154815,16111,9.4
1977,Apr,69.5,62.8,171568,155026,16542,9.6
1977,May,69.6,62.8,171912,155066,16846,9.8
1977,Jun,69.4,62.5,172108,155071,17037,9.9
1977,Jul,69.5,62.6,172362,155209,17153,10
1977,Aug,69.5,62.5,172970,155636,17334,10
1977,Sep,69.9,62.8,174035,156389,17646,10.1
1977,Oct,70.2,63,175463,157392,18071,10.3
1977,Nov,70.5,63.1,177024,158467,18557,10.5
1977,Dec,71.1,63.5,178444,159413,19031,10.7
1978,Jan,71.3,63.5,179578,160129,19449,10.8
1978,Feb,71.3,63.5,180374,160622,19752,11
1978,Mar,71.5,63.6,180898,161004,19894,11
1978,Apr,71.4,63.5,181299,161397,19902,11
1978,May,71.2,63.5,181631,161811,19820,10.9
1978,Jun,71.3,63.6,181909,162228,19681,10.8
1978,Jul,71.2,63.6,182220,162701,19519,10.7
1978,Aug,71.3,63.8,182543,163238,19305,10.6
1978,Sep,71.4,64,182855,163815,19040,10.4
1978,Oct,71.6,64.2,183199,164427,18772,10.2
1978,Nov,71.4,64.2,183536,165048,18488,10.1
1978,Dec,71.5,64.4,183811,165629,18182,9.9
1979,Jan,71.6,64.6,183977,166119,17858,9.7
1979,Feb,71.6,64.8,184048,166492,17556,9.5
1979,Mar,71.6,64.9,184013,166721,17292,9.4
1979,Apr,71.5,64.9,183856,166789,17067,9.3
1979,May,71.2,64.6,183646,166750,16896,9.2
1979,Jun,71.1,64.6,183455,166658,16797,9.2
1979,Jul,71.1,64.6,183343,166547,16796,9.2
1979,Aug,71.1,64.5,183334,166482,16852,9.2
1979,Sep,70.8,64.3,183425,166537,16888,9.2
1979,Oct,70.9,64.4,183587,166748,16839,9.2
1979,Nov,70.7,64.3,183887,167118,16769,9.1
1979,Dec,70.9,64.5,184357,167607,16750,9.1
1980,Jan,70.9,64.4,184951,168115,16836,9.1
1980,Feb,71.1,64.6,185625,168552,17073,9.2
1980,Mar,71.1,64.5,186373,168902,17471,9.4
1980,Apr,71.4,64.6,187132,169170,17962,9.6
1980,May,71.4,64.4,187785,169355,18430,9.8
1980,Jun,71.6,64.4,188217,169468,18749,10
1980,Jul,71.3,64.2,188350,169508,18842,10
1980,Aug,71,64,188274,169521,18753,10
1980,Sep,70.7,63.8,188161,169583,18578,9.9
1980,Oct,70.7,63.8,188134,169766,18368,9.8
1980,Nov,70.5,63.7,188256,170140,18116,9.6
1980,Dec,70.4,63.7,188548,170738,17810,9.4
1981,Jan,70.3,63.8,189018,171524,17494,9.3
1981,Feb,70.5,64.1,189649,172437,17212,9.1
1981,Mar,70.5,64.2,190465,173415,17050,9
1981,Apr,70.7,64.4,191509,174420,17089,8.9
1981,May,70.9,64.5,192839,175478,17361,9
1981,Jun,71.5,64.9,194487,176653,17834,9.2
1981,Jul,71.9,65.2,196408,177994,18414,9.4
1981,Aug,72.2,65.3,198436,179459,18977,9.6
1981,Sep,72.6,65.6,200361,180938,19423,9.7
1981,Oct,72.7,65.6,202021,182304,19717,9.8
1981,Nov,72.9,65.8,203338,183450,19888,9.8
1981,Dec,72.7,65.6,204382,184377,20005,9.8
1982,Jan,72.8,65.7,205311,185187,20124,9.8
1982,Feb,72.6,65.5,206292,186026,20266,9.8
1982,Mar,72.5,65.4,207437,187013,20424,9.8
1982,Apr,72.8,65.6,208832,188247,20585,9.9
1982,May,72.8,65.6,210433,189695,20738,9.9
1982,Jun,73.1,65.9,212106,191210,20896,9.9
1982,Jul,73.2,66,213721,192647,21074,9.9
1982,Aug,73,65.7,215210,193923,21287,9.9
