Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,57.5,53.2,882835,817756,65079,7.4
1976,Feb,57.4,53.1,882316,817132,65184,7.4
1976,Mar,57.3,53.1,881865,816687,65178,7.4
1976,Apr,57.3,53.1,882692,818130,64562,7.3
1976,May,57.4,53.2,884656,821026,63630,7.2
1976,Jun,57.5,53.5,887726,825275,62451,7
1976,Jul,57.7,53.7,891219,830028,61191,6.9
1976,Aug,57.8,53.9,894719,834576,60143,6.7
1976,Sep,57.9,54,898178,838703,59475,6.6
1976,Oct,58,54.2,901736,842429,59307,6.6
1976,Nov,58.1,54.3,905458,845924,59534,6.6
1976,Dec,58.2,54.4,909232,849277,59955,6.6
1977,Jan,58.3,54.5,912948,852573,60375,6.6
1977,Feb,58.4,54.6,916485,855865,60620,6.6
1977,Mar,58.5,54.7,919681,859108,60573,6.6
1977,Apr,58.6,54.8,922639,862374,60265,6.5
1977,May,58.7,54.9,925500,865597,59903,6.5
1977,Jun,58.7,55,928520,868832,59688,6.4
1977,Jul,58.8,55.1,932019,872217,59802,6.4
1977,Aug,59,55.2,935753,875682,60071,6.4
1977,Sep,59.1,55.3,938989,878807,60182,6.4
1977,Oct,59.1,55.3,941048,880979,60069,6.4
1977,Nov,59.1,55.3,941896,882194,59702,6.3
1977,Dec,58.9,55.2,941918,882812,59106,6.3
1978,Jan,58.8,55.2,941811,883454,58357,6.2
1978,Feb,58.7,55.1,942076,884470,57606,6.1
1978,Mar,58.7,55.1,942987,885955,57032,6
1978,Apr,58.7,55.2,944733,887947,56786,6
1978,May,58.8,55.2,947258,890315,56943,6
1978,Jun,58.8,55.3,950080,892655,57425,6
1978,Jul,58.9,55.3,952750,894666,58084,6.1
1978,Aug,58.9,55.3,955415,896415,59000,6.2
1978,Sep,59.1,55.3,958433,898223,60210,6.3
1978,Oct,59.2,55.4,962093,900646,61447,6.4
1978,Nov,59.4,55.5,966340,903797,62543,6.5
1978,Dec,59.5,55.6,970682,907360,63322,6.5
1979,Jan,59.7,55.8,974685,911083,63602,6.5
1979,Feb,59.8,55.9,978121,914818,63303,6.5
1979,Mar,59.8,56,980897,918386,62511,6.4
1979,Apr,59.9,56.1,982900,921373,61527,6.3
1979,May,59.9,56.2,984185,923532,60653,6.2
1979,Jun,59.8,56.2,984966,924817,60149,6.1
1979,Jul,59.8,56.1,985557,925507,60050,6.1
1979,Aug,59.7,56.1,986147,926036,60111,6.1
1979,Sep,59.7,56.1,986918,926785,60133,6.1
1979,Oct,59.7,56.1,987977,927948,60029,6.1
1979,Nov,59.7,56.1,989285,929439,59846,6
1979,Dec,59.7,56.1,990904,930868,60036,6.1
1980,Jan,59.8,56.1,992602,931492,61110,6.2
1980,Feb,59.8,56,994149,930776,63373,6.4
1980,Mar,59.8,55.8,995492,928681,66811,6.7
1980,Apr,59.8,55.5,996535,925651,70884,7.1
1980,May,59.8,55.3,997305,922449,74856,7.5
1980,Jun,59.8,55.1,997950,919849,78101,7.8
1980,Jul,59.8,54.9,998471,918170,80301,8
1980,Aug,59.7,54.8,998968,917525,81443,8.2
1980,Sep,59.7,54.8,999684,917880,81804,8.2
1980,Oct,59.8,54.9,1000852,918918,81934,8.2
1980,Nov,59.8,54.9,1002807,920512,82295,8.2
1980,Dec,59.9,55,1005818,922868,82950,8.2
1981,Jan,60.1,55.1,1009793,925860,83933,8.3
1981,Feb,60.3,55.3,1014248,929077,85171,8.4
1981,Mar,60.6,55.4,1018623,932234,86389,8.5
1981,Apr,60.7,55.5,1022383,934947,87436,8.6
1981,May,60.8,55.6,1025152,936910,88242,8.6
1981,Jun,60.9,55.6,1026941,938083,88858,8.7
1981,Jul,60.9,55.6,1027891,938496,89395,8.7
1981,Aug,60.9,55.5,1028092,937972,90120,8.8
1981,Sep,60.8,55.4,1027595,936349,91246,8.9
1981,Oct,60.7,55.3,1026531,933749,92782,9
1981,Nov,60.6,55,1024988,930337,94651,9.2
