Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,62.6,56.9,9781720,8892663,889057,9.1
1976,Feb,62.4,56.8,9775948,8888464,887484,9.1
1976,Mar,62.3,56.7,9775283,8892402,882881,9
1976,Apr,62.3,56.7,9795836,8918330,877506,9
1976,May,62.3,56.8,9828900,8953226,875674,8.9
1976,Jun,62.5,56.9,9870502,8990510,879992,8.9
1976,Jul,62.6,56.9,9912233,9021152,891081,9
1976,Aug,62.7,57,9950583,9044297,906286,9.1
1976,Sep,62.7,57,9986516,9065302,921214,9.2
1976,Oct,62.8,57,10021070,9087546,933524,9.3
1976,Nov,62.9,57,10056309,9115173,941136,9.4
1976,Dec,63,57.1,10093699,9151973,941726,9.3
1977,Jan,63.1,57.3,10135878,9199971,935907,9.2
1977,Feb,63.2,57.5,10181728,9257211,924517,9.1
1977,Mar,63.4,57.7,10227514,9318337,909177,8.9
1977,Apr,63.5,58,10272205,9379392,892813,8.7
1977,May,63.6,58.2,10315498,9438033,877465,8.5
1977,Jun,63.7,58.4,10358157,9493732,864425,8.3
1977,Jul,63.8,58.6,10401572,9548241,853331,8.2
1977,Aug,64,58.8,10446699,9603442,843257,8.1
1977,Sep,64.1,59,10492875,9659732,833143,7.9
1977,Oct,64.2,59.2,10538290,9715329,822961,7.8
1977,Nov,64.3,59.4,10583084,9768620,814464,7.7
1977,Dec,64.4,59.5,10628014,9818542,809472,7.6
1978,Jan,64.5,59.7,10674473,9867392,807081,7.6
1978,Feb,64.7,59.8,10723892,9917174,806718,7.5
1978,Mar,64.8,60,10775522,9967957,807565,7.5
1978,Apr,65,60.1,10825872,10018792,807080,7.5
1978,May,65.1,60.3,10871987,10068727,803260,7.4
1978,Jun,65.1,60.4,10910642,10116371,794271,7.3
1978,Jul,65.2,60.5,10941527,10159808,781719,7.1
1978,Aug,65.2,60.6,10968580,10199635,768945,7
1978,Sep,65.2,60.7,10996589,10239151,757438,6.9
1978,Oct,65.3,60.9,11029927,10282077,747850,6.8
1978,Nov,65.4,61,11067799,10327770,740029,6.7
1978,Dec,65.4,61.1,11104386,10370987,733399,6.6
1979,Jan,65.5,61.2,11133630,10406766,726864,6.5
1979,Feb,65.4,61.2,11153562,10435092,718470,6.4
1979,Mar,65.4,61.2,11167257,10459189,708068,6.3
1979,Apr,65.3,61.3,11180830,10482334,698496,6.2
1979,May,65.3,61.3,11201201,10508505,692696,6.2
1979,Jun,65.4,61.3,11231899,10539499,692400,6.2
1979,Jul,65.5,61.4,11272889,10576797,696092,6.2
1979,Aug,65.6,61.5,11320187,10618850,701337,6.2
1979,Sep,65.7,61.6,11367481,10661120,706361,6.2
1979,Oct,65.7,61.7,11407816,10699686,708130,6.2
1979,Nov,65.7,61.7,11437692,10732056,705636,6.2
1979,Dec,65.7,61.7,11459312,10756724,702588,6.1
1980,Jan,65.6,61.6,11475997,10771482,704515,6.1
1980,Feb,65.6,61.5,11490920,10775347,715573,6.2
1980,Mar,65.5,61.3,11507409,10770415,736994,6.4
1980,Apr,65.4,61.1,11526649,10761561,765088,6.6
1980,May,65.4,60.9,11548406,10754094,794312,6.9
1980,Jun,65.5,60.8,11573267,10753605,819662,7.1
1980,Jul,65.5,60.8,11597609,10761760,835849,7.2
1980,Aug,65.5,60.8,11617932,10777266,840666,7.2
1980,Sep,65.5,60.8,11634855,10797596,837259,7.2
1980,Oct,65.4,60.8,11650624,10819086,831538,7.1
1980,Nov,65.4,60.8,11668969,10841456,827513,7.1
1980,Dec,65.5,60.8,11693603,10867447,826156,7.1
1981,Jan,65.5,60.9,11724099,10896475,827624,7.1
1981,Feb,65.6,60.9,11755767,10925117,830650,7.1
1981,Mar,65.6,61,11783563,10951168,832395,7.1
1981,Apr,65.6,61,11802894,10970837,832057,7
1981,May,65.5,60.9,11812249,10980904,831345,7
1981,Jun,65.4,60.8,11815527,10982132,833395,7.1
1981,Jul,65.4,60.7,11819958,10976711,843247,7.1
1981,Aug,65.3,60.5,11830962,10967452,863510,7.3
1981,Sep,65.3,60.4,11850437,10957820,892617,7.5
1981,Oct,65.4,60.2,11878918,10950543,928375,7.8
1981,Nov,65.4,60.1,11912986,10944658,968328,8.1
1981,Dec,65.5,60,11949861,10940402,1009459,8.4
1982,Jan,65.6,59.9,11988148,10940606,1047542,8.7
1982,Feb,65.7,59.8,12027553,10945387,1082166,9
1982,Mar,65.8,59.7,12066168,10951665,1114503,9.2
1982,Apr,65.9,59.7,12103095,10958324,1144771,9.5
1982,May,66,59.6,12136639,10963984,1172655,9.7
1982,Jun,66,59.5,12164067,10965076,1198991,9.9
1982,Jul,66,59.4,12186035,10960279,1225756,10.1
1982,Aug,66.1,59.3,12204727,10950739,1253988,10.3
1982,Sep,66.1,59.1,12221164,10937985,1283179,10.5
1982,Oct,66.1,59,12234615,10923944,1310671,10.7
1982,Nov,66,58.9,12244117,10912044,1332073,10.9
1982,Dec,66,58.7,12245885,10903060,1342825,11
1983,Jan,65.9,58.6,12240776,10898047,1342729,11
1983,Feb,65.8,58.6,12233629,10902095,1331534,10.9
1983,Mar,65.6,58.6,12229197,10918657,1310540,10.7
1983,Apr,65.6,58.7,12233450,10949144,1284306,10.5
1983,May,65.6,58.9,12248058,10992202,1255856,10.3
1983,Jun,65.6,59.1,12270288,11044547,1225741,10
1983,Jul,65.7,59.3,12295709,11101896,1193813,9.7
1983,Aug,65.7,59.5,12319495,11158314,1161181,9.4
1983,Sep,65.7,59.7,12338962,11210014,1128948,9.1
1983,Oct,65.6,59.8,12354670,11256541,1098129,8.9
1983,Nov,65.6,59.9,12370076,11298898,1071178,8.7
1983,Dec,65.5,60,12390658,11340747,1049911,8.5
1984,Jan,65.6,60.1,12419719,11387443,1032276,8.3
1984,Feb,65.6,60.3,12457252,11440834,1016418,8.2
1984,Mar,65.7,60.4,12501958,11498762,1003196,8
1984,Apr,65.8,60.6,12548798,11556539,992259,7.9
1984,May,65.9,60.8,12594746,11610302,984444,7.8
1984,Jun,66,60.9,12636924,11657727,979197,7.7
1984,Jul,66.1,61,12672525,11698235,974290,7.7
1984,Aug,66.1,61.1,12703451,11734076,969375,7.6
1984,Sep,66.1,61.1,12732809,11768088,964721,7.6
1984,Oct,66.1,61.2,12763771,11804290,959481,7.5
1984,Nov,66.2,61.2,12799067,11845937,953130,7.4
1984,Dec,66.2,61.3,12837779,11891523,946256,7.4
1985,Jan,66.3,61.4,12874926,11933959,940967,7.3
1985,Feb,66.3,61.5,12905317,11966262,939055,7.3
1985,Mar,66.3,61.4,12925568,11986395,939173,7.3
1985,Apr,66.2,61.4,12936909,11997160,939749,7.3
1985,May,66.1,61.3,12944832,12004242,940590,7.3
1985,Jun,66,61.2,12955497,12014317,941180,7.3
1985,Jul,65.9,61.2,12972909,12031922,940987,7.3
1985,Aug,65.9,61.2,12996682,12060631,936051,7.2
1985,Sep,66,61.3,13024685,12099311,925374,7.1
1985,Oct,66,61.4,13054442,12141686,912756,7
1985,Nov,66,61.5,13082914,12181327,901587,6.9
1985,Dec,66.1,61.6,13109100,12214417,894683,6.8
1986,Jan,66.1,61.6,13135610,12241894,893716,6.8
1986,Feb,66.1,61.6,13166354,12268403,897951,6.8
1986,Mar,66.2,61.7,13202326,12297776,904550,6.9
1986,Apr,66.3,61.7,13242420,12331995,910425,6.9
1986,May,66.4,61.8,13283132,12370849,912283,6.9
1986,Jun,66.5,61.9,13323161,12413356,909805,6.8
1986,Jul,66.6,62.1,13362255,12457662,904593,6.8
1986,Aug,66.6,62.2,13399406,12500320,899086,6.7
1986,Sep,66.7,62.2,13434273,12539608,894665,6.7
1986,Oct,66.7,62.3,13467014,12576773,890241,6.6
1986,Nov,66.7,62.3,13497905,12612458,885447,6.6
1986,Dec,66.7,62.4,13530074,12651094,878980,6.5
1987,Jan,66.8,62.5,13564202,12695031,869171,6.4
1987,Feb,66.8,62.6,13597830,12742741,855089,6.3
1987,Mar,66.9,62.7,13631173,12793105,838068,6.1
1987,Apr,66.9,62.9,13663518,12843895,819623,6
1987,May,66.9,63,13694397,12892730,801667,5.9
1987,Jun,66.9,63.1,13724674,12937779,786895,5.7
1987,Jul,66.9,63.2,13755585,12979060,776525,5.6
1987,Aug,67,63.2,13788770,13017875,770895,5.6
1987,Sep,67,63.3,13825180,13056839,768341,5.6
1987,Oct,67.1,63.4,13862841,13095779,767062,5.5
1987,Nov,67.2,63.5,13899418,13134912,764506,5.5
1987,Dec,67.2,63.5,13932138,13171698,760440,5.5
1988,Jan,67.2,63.6,13960181,13204699,755482,5.4
1988,Feb,67.2,63.6,13986655,13236242,750413,5.4
1988,Mar,67.2,63.6,14014830,13267702,747128,5.3
1988,Apr,67.3,63.7,14047062,13300242,746820,5.3
1988,May,67.3,63.7,14083126,13334410,748716,5.3
1988,Jun,67.4,63.8,14121334,13370143,751191,5.3
1988,Jul,67.4,63.8,14159613,13406558,753055,5.3
1988,Aug,67.5,63.9,14197171,13443131,754040,5.3
1988,Sep,67.5,64,14234140,13480410,753730,5.3
1988,Oct,67.6,64,14269974,13519951,750023,5.3
1988,Nov,67.6,64.1,14305473,13562221,743252,5.2
1988,Dec,67.6,64.2,14339994,13605181,734813,5.1
1989,Jan,67.7,64.3,14373960,13647116,726844,5.1
1989,Feb,67.7,64.3,14407606,13684399,723207,5
1989,Mar,67.7,64.3,14441014,13716858,724156,5
1989,Apr,67.8,64.4,14474319,13745527,728792,5
1989,May,67.8,64.4,14508099,13771623,736476,5.1
1989,Jun,67.8,64.4,14542130,13796845,745285,5.1
1989,Jul,67.9,64.4,14574877,13821784,753093,5.2
1989,Aug,67.9,64.4,14605479,13846993,758486,5.2
1989,Sep,67.9,64.3,14634001,13872633,761368,5.2
1989,Oct,67.9,64.3,14663391,13900384,763007,5.2
1989,Nov,67.9,64.4,14694027,13929078,764949,5.2
1989,Dec,67.9,64.4,14726368,13957119,769249,5.2
1990,Jan,66.5,63,15006699,14230583,776116,5.2
1990,Feb,66.9,63.5,15108068,14324311,783757,5.2
1990,Mar,67.1,63.6,15148896,14355989,792907,5.2
1990,Apr,67.2,63.6,15164991,14359864,805127,5.3
1990,May,67.2,63.6,15169173,14348414,820759,5.4
1990,Jun,67.2,63.5,15165909,14325734,840175,5.5
1990,Jul,67.1,63.3,15160425,14295964,864461,5.7
1990,Aug,67.1,63.1,15155035,14261614,893421,5.9
1990,Sep,67,62.9,15148084,14222028,926056,6.1
1990,Oct,66.9,62.6,15139185,14176515,962670,6.4
1990,Nov,66.8,62.4,15129979,14129323,1000656,6.6
1990,Dec,66.7,62.1,15121697,14084463,1037234,6.9
1991,Jan,66.6,61.9,15115456,14042942,1072514,7.1
1991,Feb,66.6,61.7,15113706,14008200,1105506,7.3
1991,Mar,66.6,61.6,15113573,13980838,1132735,7.5
1991,Apr,66.5,61.4,15113131,13961200,1151931,7.6
1991,May,66.5,61.3,15112948,13949592,1163356,7.7
1991,Jun,66.4,61.3,15114191,13945559,1168632,7.7
1991,Jul,66.4,61.2,15116703,13946036,1170667,7.7
1991,Aug,66.3,61.2,15122207,13947745,1174462,7.8
1991,Sep,66.3,61.1,15133835,13948583,1185252,7.8
1991,Oct,66.3,61,15150562,13945443,1205119,8
1991,Nov,66.3,60.9,15169840,13937417,1232423,8.1
1991,Dec,66.3,60.8,15188594,13925992,1262602,8.3
1992,Jan,66.3,60.7,15207298,13915017,1292281,8.5
1992,Feb,66.3,60.6,15228215,13907091,1321124,8.7
1992,Mar,66.4,60.5,15254202,13905274,1348928,8.8
1992,Apr,66.4,60.5,15284995,13908347,1376648,9
1992,May,66.5,60.4,15313616,13910133,1403483,9.2
1992,Jun,66.5,60.3,15334765,13906393,1428372,9.3
1992,Jul,66.5,60.2,15347638,13895966,1451672,9.5
1992,Aug,66.5,60.1,15351319,13879781,1471538,9.6
1992,Sep,66.4,60,15346155,13860329,1485826,9.7
1992,Oct,66.4,59.9,15335527,13841904,1493623,9.7
1992,Nov,66.3,59.8,15321124,13824785,1496339,9.8
1992,Dec,66.2,59.7,15304969,13809859,1495110,9.8
1993,Jan,66.1,59.7,15289389,13799752,1489637,9.7
1993,Feb,66,59.6,15275639,13794944,1480695,9.7
1993,Mar,66,59.6,15266733,13796047,1470686,9.6
1993,Apr,66,59.7,15262939,13802757,1460182,9.6
1993,May,66,59.7,15263787,13812057,1451730,9.5
1993,Jun,66,59.7,15267070,13820046,1447024,9.5
1993,Jul,66,59.7,15266447,13823754,1442693,9.5
1993,Aug,65.9,59.7,15260868,13823870,1436998,9.4
1993,Sep,65.9,59.7,15254773,13824414,1430359,9.4
1993,Oct,65.8,59.7,15251892,13828431,1423461,9.3
1993,Nov,65.8,59.7,15255336,13837182,1418154,9.3
1993,Dec,65.9,59.8,15265213,13851811,1413402,9.3
1994,Jan,65.9,59.8,15276329,13870212,1406117,9.2
1994,Feb,65.9,59.9,15281312,13887456,1393856,9.1
1994,Mar,65.9,60,15276679,13898973,1377706,9
1994,Apr,65.8,60,15264372,13904749,1359623,8.9
1994,May,65.8,60,15250343,13909425,1340918,8.8
1994,Jun,65.7,60,15240009,13917365,1322644,8.7
1994,Jul,65.7,60.1,15237155,13931605,1305550,8.6
1994,Aug,65.7,60.1,15240365,13951800,1288565,8.5
1994,Sep,65.7,60.2,15244859,13975746,1269113,8.3
1994,Oct,65.7,60.3,15245724,14001208,1244516,8.2
1994,Nov,65.6,60.4,15242989,14025994,1216995,8
1994,Dec,65.6,60.5,15237141,14043658,1193483,7.8
1995,Jan,65.6,60.5,15228773,14049009,1179764,7.7
1995,Feb,65.5,60.5,15221749,14044498,1177251,7.7
1995,Mar,65.5,60.4,15218201,14034480,1183721,7.8
1995,Apr,65.5,60.3,15218092,14023229,1194863,7.9
1995,May,65.5,60.3,15222611,14016852,1205759,7.9
1995,Jun,65.5,60.3,15232334,14019657,1212677,8
1995,Jul,65.6,60.3,15245982,14031628,1214354,8
1995,Aug,65.6,60.4,15259718,14048415,1211303,7.9
1995,Sep,65.6,60.4,15270532,14064877,1205655,7.9
1995,Oct,65.5,60.4,15277933,14077484,1200449,7.9
1995,Nov,65.5,60.4,15280783,14085584,1195199,7.8
1995,Dec,65.5,60.4,15281262,14091747,1189515,7.8
1996,Jan,65.5,60.4,15284736,14101377,1183359,7.7
1996,Feb,65.5,60.4,15294874,14118369,1176505,7.7
1996,Mar,65.5,60.5,15312795,14145038,1167757,7.6
1996,Apr,65.6,60.6,15336918,14181381,1155537,7.5
1996,May,65.7,60.8,15364351,14225102,1139249,7.4
1996,Jun,65.7,61,15394088,14273312,1120776,7.3
1996,Jul,65.8,61.1,15426880,14323690,1103190,7.2
1996,Aug,65.9,61.2,15463546,14373814,1089732,7
1996,Sep,65.9,61.3,15500647,14418861,1081786,7
1996,Oct,66,61.4,15535052,14455817,1079235,6.9
1996,Nov,66,61.4,15566100,14487027,1079073,6.9
1996,Dec,66,61.5,15594306,14517785,1076521,6.9
1997,Jan,66.1,61.5,15620867,14551579,1069288,6.8
1997,Feb,66.1,61.6,15647167,14590214,1056953,6.8
1997,Mar,66.1,61.7,15675166,14635058,1040108,6.6
1997,Apr,66.2,61.9,15707982,14684531,1023451,6.5
1997,May,66.2,62,15743525,14733392,1010133,6.4
1997,Jun,66.3,62.1,15778082,14778297,999785,6.3
1997,Jul,66.3,62.2,15810801,14819455,991346,6.3
1997,Aug,66.4,62.2,15842518,14858017,984501,6.2
1997,Sep,66.4,62.3,15873595,14895810,977785,6.2
1997,Oct,66.4,62.3,15904891,14932740,972151,6.1
1997,Nov,66.4,62.4,15935207,14967009,968198,6.1
1997,Dec,66.4,62.4,15964672,14999299,965373,6
1998,Jan,66.4,62.4,15993559,15030487,963072,6
1998,Feb,66.5,62.5,16022258,15061018,961240,6
1998,Mar,66.5,62.5,16049676,15089666,960010,6
1998,Apr,66.5,62.5,16076286,15117428,958858,6
1998,May,66.5,62.6,16104713,15145627,959086,6
1998,Jun,66.5,62.6,16135374,15173399,961975,6
1998,Jul,66.6,62.6,16166318,15199929,966389,6
1998,Aug,66.6,62.6,16196070,15227062,969008,6
1998,Sep,66.6,62.6,16224342,15256009,968333,6
1998,Oct,66.6,62.6,16248252,15286737,961515,5.9
1998,Nov,66.5,62.7,16265706,15316966,948740,5.8
1998,Dec,66.5,62.7,16277468,15344431,933037,5.7
1999,Jan,66.4,62.7,16285394,15369917,915477,5.6
1999,Feb,66.4,62.7,16294579,15395845,898734,5.5
1999,Mar,66.4,62.8,16309455,15424886,884569,5.4
1999,Apr,66.3,62.8,16330728,15457598,873130,5.3
1999,May,66.3,62.8,16356903,15492946,863957,5.3
1999,Jun,66.4,62.9,16387076,15530536,856540,5.2
1999,Jul,66.4,63,16419117,15568249,850868,5.2
1999,Aug,66.4,63,16451416,15605549,845867,5.1
1999,Sep,66.5,63.1,16485582,15644789,840793,5.1
1999,Oct,66.5,63.2,16524747,15687986,836761,5.1
1999,Nov,66.6,63.3,16571553,15737714,833839,5
1999,Dec,66.7,63.4,16624457,15791932,832525,5
2000,Jan,66.9,63.5,16680246,15845618,834628,5
2000,Feb,67,63.7,16732795,15893795,839000,5
2000,Mar,67.1,63.7,16778343,15933360,844983,5
2000,Apr,67.2,63.8,16815943,15964423,851520,5.1
2000,May,67.2,63.8,16844925,15989651,855274,5.1
2000,Jun,67.2,63.8,16866287,16011773,854514,5.1
2000,Jul,67.2,63.8,16883614,16035176,848438,5
2000,Aug,67.2,63.9,16903091,16064840,838251,5
2000,Sep,67.2,63.9,16927979,16101860,826119,4.9
2000,Oct,67.2,64,16959864,16145401,814463,4.8
2000,Nov,67.3,64.1,16997809,16190207,807602,4.8
2000,Dec,67.3,64.1,17036809,16229214,807595,4.7
2001,Jan,67.4,64.1,17070072,16256366,813706,4.8
2001,Feb,67.4,64.1,17093194,16268791,824403,4.8
2001,Mar,67.3,64,17104065,16266461,837604,4.9
2001,Apr,67.2,63.9,17103944,16251524,852420,5
2001,May,67.1,63.7,17100740,16230429,870311,5.1
2001,Jun,67,63.5,17101431,16208473,892958,5.2
2001,Jul,67,63.4,17110734,16189295,921439,5.4
2001,Aug,67,63.2,17126405,16170299,956106,5.6
2001,Sep,66.9,63.1,17145088,16150410,994678,5.8
2001,Oct,66.9,62.9,17164421,16131509,1032912,6
2001,Nov,66.9,62.8,17181235,16114443,1066792,6.2
2001,Dec,66.9,62.7,17196546,16102353,1094193,6.4
2002,Jan,66.9,62.6,17211457,16096902,1114555,6.5
2002,Feb,66.9,62.5,17224746,16096157,1128589,6.6
2002,Mar,66.9,62.4,17235515,16097533,1137982,6.6
2002,Apr,66.8,62.4,17245819,16101941,1143878,6.6
2002,May,66.8,62.4,17256450,16109272,1147178,6.6
2002,Jun,66.8,62.3,17266132,16118157,1147975,6.6
2002,Jul,66.7,62.3,17272995,16124848,1148147,6.6
2002,Aug,66.6,62.2,17277546,16127877,1149669,6.7
2002,Sep,66.6,62.1,17280761,16126530,1154231,6.7
2002,Oct,66.5,62,17280269,16118891,1161378,6.7
2002,Nov,66.4,61.9,17277019,16108458,1168561,6.8
2002,Dec,66.3,61.8,17271392,16098315,1173077,6.8
2003,Jan,66.2,61.7,17267788,16091904,1175884,6.8
2003,Feb,66.2,61.7,17269968,16091634,1178334,6.8
2003,Mar,66.2,61.6,17276224,16095216,1181008,6.8
2003,Apr,66.1,61.6,17280709,16096131,1184578,6.9
2003,May,66,61.5,17279492,16090153,1189339,6.9
2003,Jun,66,61.4,17275282,16081216,1194066,6.9
2003,Jul,65.9,61.3,17270200,16075435,1194765,6.9
2003,Aug,65.8,61.2,17266429,16077283,1189146,6.9
2003,Sep,65.7,61.2,17266654,16089822,1176832,6.8
2003,Oct,65.7,61.2,17273942,16112386,1161556,6.7
2003,Nov,65.7,61.3,17288156,16140095,1148061,6.6
2003,Dec,65.7,61.3,17305161,16166912,1138249,6.6
2004,Jan,65.7,61.4,17319513,16187910,1131603,6.5
2004,Feb,65.6,61.4,17329769,16203029,1126740,6.5
2004,Mar,65.6,61.4,17340226,16217583,1122643,6.5
2004,Apr,65.6,61.4,17351609,16235525,1116084,6.4
2004,May,65.6,61.4,17363161,16258110,1105051,6.4
2004,Jun,65.6,61.5,17374274,16284558,1089716,6.3
2004,Jul,65.6,61.5,17386330,16313380,1072950,6.2
2004,Aug,65.6,61.6,17398727,16341739,1056988,6.1
2004,Sep,65.5,61.6,17409509,16365928,1043581,6
2004,Oct,65.5,61.6,17417684,16384328,1033356,5.9
2004,Nov,65.5,61.6,17423380,16399053,1024327,5.9
2004,Dec,65.5,61.7,17431266,16415179,1016087,5.8
2005,Jan,65.5,61.7,17443049,16436374,1006675,5.8
2005,Feb,65.5,61.7,17457294,16462727,994567,5.7
2005,Mar,65.5,61.8,17473007,16493906,979101,5.6
