Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,67.3,63.6,1232334,1164563,67771,5.5
1976,Feb,67.1,63.4,1232109,1164631,67478,5.5
1976,Mar,66.9,63.3,1231539,1164628,66911,5.4
1976,Apr,66.7,63.1,1231011,1164119,66892,5.4
1976,May,66.5,62.9,1231050,1163412,67638,5.5
1976,Jun,66.4,62.7,1232568,1163342,69226,5.6
1976,Jul,66.5,62.6,1235853,1164288,71565,5.8
1976,Aug,66.5,62.6,1240888,1166968,73920,6
1976,Sep,66.7,62.6,1247308,1171424,75884,6.1
1976,Oct,66.9,62.7,1254476,1176908,77568,6.2
1976,Nov,67.1,62.9,1261663,1182382,79281,6.3
1976,Dec,67.2,62.9,1268361,1187185,81176,6.4
1977,Jan,67.4,63,1274428,1191307,83121,6.5
1977,Feb,67.4,63,1279809,1195055,84754,6.6
1977,Mar,67.4,62.9,1284126,1198433,85693,6.7
1977,Apr,67.4,62.9,1287111,1201482,85629,6.7
1977,May,67.3,62.9,1288954,1204375,84579,6.6
1977,Jun,67.2,62.9,1290346,1207360,82986,6.4
1977,Jul,67.1,62.9,1291967,1210767,81200,6.3
1977,Aug,67,62.9,1294796,1214718,80078,6.2
1977,Sep,67,62.9,1298913,1219060,79853,6.1
1977,Oct,67.1,62.9,1303489,1223548,79941,6.1
1977,Nov,67.1,63,1308177,1228044,80133,6.1
1977,Dec,67.1,63,1312573,1232406,80167,6.1
1978,Jan,67.2,63.1,1316933,1237025,79908,6.1
1978,Feb,67.2,63.2,1321494,1242209,79285,6
1978,Mar,67.2,63.3,1326486,1248085,78401,5.9
1978,Apr,67.3,63.4,1332018,1254611,77407,5.8
1978,May,67.4,63.6,1337972,1261586,76386,5.7
1978,Jun,67.5,63.7,1344064,1268812,75252,5.6
1978,Jul,67.6,63.9,1350043,1275960,74083,5.5
1978,Aug,67.7,64,1355843,1283026,72817,5.4
1978,Sep,67.8,64.2,1361886,1290402,71484,5.2
1978,Oct,67.9,64.4,1368817,1298426,70391,5.1
1978,Nov,68,64.6,1376217,1306875,69342,5
1978,Dec,68.2,64.8,1383534,1315057,68477,4.9
1979,Jan,68.3,65,1390268,1322425,67843,4.9
1979,Feb,68.4,65.1,1396441,1329204,67237,4.8
1979,Mar,68.4,65.2,1402704,1336013,66691,4.8
1979,Apr,68.6,65.3,1409605,1343293,66312,4.7
1979,May,68.7,65.5,1417528,1351293,66235,4.7
1979,Jun,68.9,65.7,1426110,1359527,66583,4.7
1979,Jul,69.1,65.9,1434777,1367521,67256,4.7
1979,Aug,69.4,66.1,1442967,1374884,68083,4.7
1979,Sep,69.6,66.3,1450186,1381319,68867,4.7
1979,Oct,69.7,66.4,1456190,1386935,69255,4.8
1979,Nov,69.8,66.5,1461281,1392049,69232,4.7
1979,Dec,69.9,66.6,1465918,1396744,69174,4.7
1980,Jan,69.9,66.6,1470282,1400615,69667,4.7
1980,Feb,70,66.6,1474693,1403225,71468,4.8
1980,Mar,70.1,66.5,1479234,1404421,74813,5.1
1980,Apr,70.2,66.4,1483866,1404408,79458,5.4
1980,May,70.2,66.2,1488455,1403676,84779,5.7
1980,Jun,70.3,66,1492946,1403093,89853,6
1980,Jul,70.3,65.9,1496909,1403211,93698,6.3
1980,Aug,70.2,65.8,1499791,1404052,95739,6.4
1980,Sep,70.2,65.7,1501571,1405392,96179,6.4
1980,Oct,70.1,65.6,1502766,1407086,95680,6.4
1980,Nov,70,65.6,1504370,1409635,94735,6.3
1980,Dec,69.9,65.6,1507387,1413846,93541,6.2
1981,Jan,70,65.7,1512057,1419683,92374,6.1
1981,Feb,70.1,65.9,1517779,1426473,91306,6
1981,Mar,70.2,66.1,1523894,1433733,90161,5.9
1981,Apr,70.3,66.2,1529691,1440865,88826,5.8
1981,May,70.4,66.4,1534706,1447378,87328,5.7
1981,Jun,70.4,66.5,1539179,1453271,85908,5.6
1981,Jul,70.5,66.6,1543378,1458368,85010,5.5
1981,Aug,70.5,66.6,1547326,1462438,84888,5.5
1981,Sep,70.4,66.6,1550975,1465458,85517,5.5
1981,Oct,70.4,66.5,1554417,1467451,86966,5.6
1981,Nov,70.4,66.3,1557569,1468285,89284,5.7
1981,Dec,70.3,66.2,1560750,1468509,92241,5.9
1982,Jan,70.3,66,1564617,1469226,95391,6.1
1982,Feb,70.4,66,1569426,1470844,98582,6.3
1982,Mar,70.4,65.9,1574902,1472976,101926,6.5
1982,Apr,70.5,65.8,1580754,1475259,105495,6.7
1982,May,70.6,65.7,1586554,1477143,109411,6.9
1982,Jun,70.7,65.6,1591901,1478035,113866,7.2
1982,Jul,70.7,65.4,1597137,1478225,118912,7.4
1982,Aug,70.8,65.3,1602990,1478674,124316,7.8
1982,Sep,70.9,65.2,1609769,1480290,129479,8
1982,Oct,71.1,65.2,1617248,1483618,133630,8.3
1982,Nov,71.3,65.3,1625129,1488723,136406,8.4
1982,Dec,71.5,65.4,1632599,1494818,137781,8.4
1983,Jan,71.6,65.6,1639050,1501103,137947,8.4
1983,Feb,71.7,65.7,1644532,1507559,136973,8.3
1983,Mar,71.7,65.8,1649261,1514401,134860,8.2
1983,Apr,71.8,66,1653847,1522058,131789,8
1983,May,71.8,66.3,1658779,1530935,127844,7.7
1983,Jun,71.9,66.6,1664075,1541146,122929,7.4
1983,Jul,72,66.9,1669571,1552358,117213,7
1983,Aug,72.1,67.3,1674946,1563625,111321,6.6
1983,Sep,72.2,67.7,1680008,1574097,105911,6.3
1983,Oct,72.3,68,1684607,1583321,101286,6
1983,Nov,72.4,68.2,1688556,1591133,97423,5.8
1983,Dec,72.5,68.4,1692143,1597834,94309,5.6
1984,Jan,72.5,68.6,1696023,1604104,91919,5.4
1984,Feb,72.6,68.8,1700759,1610440,90319,5.3
1984,Mar,72.8,68.9,1706458,1616774,89684,5.3
1984,Apr,72.9,69.1,1712367,1622497,89870,5.2
1984,May,73.1,69.2,1717658,1626959,90699,5.3
1984,Jun,73.1,69.2,1721634,1629608,92026,5.3
1984,Jul,73.1,69.2,1723818,1630318,93500,5.4
1984,Aug,73.1,69,1724187,1629445,94742,5.5
1984,Sep,73,68.9,1723211,1627493,95718,5.6
1984,Oct,72.8,68.7,1721986,1625342,96644,5.6
1984,Nov,72.7,68.6,1721564,1623963,97601,5.7
1984,Dec,72.7,68.5,1722093,1623632,98461,5.7
1985,Jan,72.6,68.5,1722807,1623644,99163,5.8
1985,Feb,72.5,68.3,1722632,1622934,99698,5.8
1985,Mar,72.4,68.2,1721147,1620944,100203,5.8
1985,Apr,72.2,68,1718774,1617849,100925,5.9
1985,May,72,67.8,1716098,1614157,101941,5.9
1985,Jun,71.9,67.5,1713649,1610470,103179,6
1985,Jul,71.7,67.3,1711664,1607163,104501,6.1
1985,Aug,71.6,67.1,1710437,1604806,105631,6.2
1985,Sep,71.5,67,1709944,1603416,106528,6.2
1985,Oct,71.4,66.9,1709530,1602138,107392,6.3
1985,Nov,71.3,66.8,1708654,1600114,108540,6.4
1985,Dec,71.1,66.5,1707249,1596926,110323,6.5
1986,Jan,71,66.3,1705714,1592932,112782,6.6
1986,Feb,70.9,66.1,1704681,1588996,115685,6.8
1986,Mar,70.8,65.8,1704190,1585654,118536,7
1986,Apr,70.7,65.7,1703943,1582888,121055,7.1
1986,May,70.6,65.5,1703874,1580475,123399,7.2
1986,Jun,70.6,65.4,1704135,1578275,125860,7.4
1986,Jul,70.5,65.2,1704815,1576033,128782,7.6
1986,Aug,70.5,65,1705738,1573519,132219,7.8
1986,Sep,70.5,64.9,1706673,1570968,135705,8
1986,Oct,70.5,64.7,1707589,1568878,138711,8.1
1986,Nov,70.4,64.6,1708212,1567304,140908,8.2
1986,Dec,70.4,64.5,1708562,1566539,142023,8.3
1987,Jan,70.3,64.5,1708446,1566483,141963,8.3
1987,Feb,70.3,64.5,1707370,1566626,140744,8.2
1987,Mar,70.1,64.4,1705414,1566918,138496,8.1
1987,Apr,70,64.4,1702816,1567436,135380,8
1987,May,69.8,64.4,1699924,1568279,131645,7.7
1987,Jun,69.7,64.4,1697373,1569583,127790,7.5
1987,Jul,69.5,64.4,1695845,1571576,124269,7.3
1987,Aug,69.5,64.5,1695738,1574129,121609,7.2
1987,Sep,69.6,64.6,1697164,1577023,120141,7.1
1987,Oct,69.6,64.7,1699581,1579870,119711,7
1987,Nov,69.7,64.8,1702207,1582433,119774,7
1987,Dec,69.8,64.9,1704007,1584252,119755,7
1988,Jan,69.8,64.9,1704329,1585136,119193,7
1988,Feb,69.7,64.9,1703519,1585551,117968,6.9
1988,Mar,69.6,64.9,1702169,1585775,116394,6.8
1988,Apr,69.6,64.9,1700919,1586045,114874,6.8
1988,May,69.5,64.9,1700062,1586547,113515,6.7
1988,Jun,69.5,64.9,1699374,1587186,112188,6.6
1988,Jul,69.4,64.9,1698386,1587729,110657,6.5
1988,Aug,69.3,64.9,1696657,1587964,108693,6.4
1988,Sep,69.2,64.8,1694097,1587768,106329,6.3
1988,Oct,69,64.8,1691004,1587220,103784,6.1
1988,Nov,68.9,64.7,1687969,1586577,101392,6
1988,Dec,68.7,64.7,1685520,1586067,99453,5.9
1989,Jan,68.6,64.6,1684245,1586092,98153,5.8
1989,Feb,68.6,64.6,1684232,1586753,97479,5.8
1989,Mar,68.6,64.7,1685541,1588488,97053,5.8
1989,Apr,68.7,64.8,1688108,1591591,96517,5.7
1989,May,68.8,64.9,1691793,1595907,95886,5.7
1989,Jun,69,65.1,1696528,1601194,95334,5.6
1989,Jul,69.2,65.3,1701988,1606883,95105,5.6
1989,Aug,69.4,65.5,1707760,1612545,95215,5.6
1989,Sep,69.6,65.7,1713449,1618094,95355,5.6
1989,Oct,69.7,65.9,1719132,1623891,95241,5.5
1989,Nov,69.9,66.1,1724800,1630010,94790,5.5
1989,Dec,70.1,66.3,1730593,1636478,94115,5.4
1990,Jan,69.9,66.1,1736587,1643233,93354,5.4
1990,Feb,70.1,66.4,1742520,1649883,92637,5.3
1990,Mar,70.4,66.7,1748100,1655884,92216,5.3
1990,Apr,70.6,66.9,1753317,1661077,92240,5.3
1990,May,70.8,67.1,1758442,1665862,92580,5.3
1990,Jun,71,67.3,1763323,1670386,92937,5.3
1990,Jul,71.3,67.5,1768034,1675050,92984,5.3
1990,Aug,71.3,67.6,1772470,1679890,92580,5.2
1990,Sep,71.3,67.6,1776112,1684219,91893,5.2
1990,Oct,71.2,67.6,1778443,1687317,91126,5.1
1990,Nov,71.1,67.5,1779758,1689400,90358,5.1
1990,Dec,71,67.4,1780570,1690906,89664,5
1991,Jan,70.9,67.3,1781282,1692047,89235,5
1991,Feb,70.8,67.3,1782769,1693527,89242,5
1991,Mar,70.8,67.2,1785107,1695439,89668,5
1991,Apr,70.7,67.2,1788000,1697598,90402,5.1
1991,May,70.7,67.1,1791139,1699798,91341,5.1
1991,Jun,70.7,67.1,1794282,1701828,92454,5.2
1991,Jul,70.6,67,1796970,1703204,93766,5.2
1991,Aug,70.6,66.8,1799120,1703810,95310,5.3
1991,Sep,70.5,66.7,1801088,1704113,96975,5.4
1991,Oct,70.3,66.5,1803233,1704480,98753,5.5
1991,Nov,70.3,66.3,1805848,1705244,100604,5.6
1991,Dec,70.2,66.2,1809074,1706642,102432,5.7
1992,Jan,70.2,66.2,1813198,1708966,104232,5.7
1992,Feb,70.2,66.1,1818204,1712185,106019,5.8
1992,Mar,70.3,66.2,1824185,1716425,107760,5.9
1992,Apr,70.4,66.2,1830759,1721352,109407,6
1992,May,70.5,66.2,1837040,1726257,110783,6
1992,Jun,70.5,66.2,1842573,1730915,111658,6.1
1992,Jul,70.5,66.2,1847602,1735518,112084,6.1
1992,Aug,70.5,66.2,1852686,1740392,112294,6.1
1992,Sep,70.5,66.2,1858395,1745804,112591,6.1
1992,Oct,70.5,66.2,1865239,1752186,113053,6.1
1992,Nov,70.6,66.3,1872826,1759315,113511,6.1
1992,Dec,70.6,66.4,1880650,1766960,113690,6
1993,Jan,70.7,66.5,1888369,1775151,113218,6
1993,Feb,70.8,66.6,1895747,1783830,111917,5.9
1993,Mar,70.9,66.8,1903052,1793201,109851,5.8
1993,Apr,70.9,67,1910662,1803407,107255,5.6
1993,May,71,67.2,1918590,1814002,104588,5.5
1993,Jun,71.1,67.3,1926712,1824451,102261,5.3
1993,Jul,71.2,67.5,1934823,1834513,100310,5.2
1993,Aug,71.3,67.7,1942756,1844166,98590,5.1
1993,Sep,71.4,67.8,1950782,1853684,97098,5
1993,Oct,71.4,68,1959085,1863171,95914,4.9
1993,Nov,71.6,68.1,1967832,1872609,95223,4.8
1993,Dec,71.7,68.3,1977212,1882263,94949,4.8
1994,Jan,71.9,68.4,1986872,1892138,94734,4.8
1994,Feb,72,68.6,1996135,1901929,94206,4.7
1994,Mar,72.1,68.8,2004611,1911414,93197,4.6
1994,Apr,72.2,68.9,2012651,1920993,91658,4.6
1994,May,72.3,69.1,2021248,1931617,89631,4.4
1994,Jun,72.5,69.4,2031107,1943763,87344,4.3
1994,Jul,72.7,69.6,2042303,1957208,85095,4.2
1994,Aug,72.9,70,2054339,1971234,83105,4
1994,Sep,73.2,70.3,2066291,1984891,81400,3.9
1994,Oct,73.3,70.5,2077183,1997342,79841,3.8
1994,Nov,73.5,70.7,2086652,2008132,78520,3.8
1994,Dec,73.6,70.8,2094281,2016502,77779,3.7
1995,Jan,73.6,70.9,2099899,2022022,77877,3.7
1995,Feb,73.6,70.8,2104241,2025415,78826,3.7
1995,Mar,73.5,70.7,2108101,2027665,80436,3.8
1995,Apr,73.5,70.6,2112014,2029599,82415,3.9
1995,May,73.5,70.5,2116444,2032023,84421,4
1995,Jun,73.5,70.5,2121617,2035485,86132,4.1
1995,Jul,73.5,70.5,2127527,2040160,87367,4.1
1995,Aug,73.5,70.5,2133672,2045503,88169,4.1
1995,Sep,73.6,70.5,2139306,2050601,88705,4.1
1995,Oct,73.5,70.5,2143813,2054614,89199,4.2
1995,Nov,73.5,70.4,2146808,2057165,89643,4.2
1995,Dec,73.4,70.3,2148577,2058539,90038,4.2
1996,Jan,73.3,70.2,2150136,2059492,90644,4.2
1996,Feb,73.2,70.1,2151994,2060381,91613,4.3
1996,Mar,73.1,70,2153925,2061146,92779,4.3
1996,Apr,73,69.8,2155459,2061625,93834,4.4
1996,May,72.9,69.7,2156234,2061758,94476,4.4
1996,Jun,72.7,69.5,2156090,2061578,94512,4.4
1996,Jul,72.5,69.4,2155205,2061365,93840,4.4
1996,Aug,72.3,69.2,2154341,2061822,92519,4.3
1996,Sep,72.1,69.1,2154155,2063467,90688,4.2
1996,Oct,72,69,2155280,2066611,88669,4.1
1996,Nov,72,69.1,2158188,2071489,86699,4
1996,Dec,72,69.2,2162858,2078077,84781,3.9
1997,Jan,72,69.3,2168876,2086088,82788,3.8
1997,Feb,72.1,69.5,2175964,2095308,80656,3.7
1997,Mar,72.3,69.7,2184274,2105744,78530,3.6
1997,Apr,72.4,69.9,2193734,2117069,76665,3.5
1997,May,72.6,70.2,2203618,2128448,75170,3.4
1997,Jun,72.8,70.4,2213431,2139347,74084,3.3
1997,Jul,73,70.6,2223076,2149562,73514,3.3
1997,Aug,73.1,70.7,2232379,2158855,73524,3.3
1997,Sep,73.3,70.9,2241375,2167279,74096,3.3
1997,Oct,73.4,71,2250178,2174943,75235,3.3
1997,Nov,73.6,71.1,2258788,2181944,76844,3.4
1997,Dec,73.7,71.2,2267531,2188727,78804,3.5
1998,Jan,73.9,71.3,2276334,2195479,80855,3.6
1998,Feb,74.1,71.4,2284933,2202173,82760,3.6
1998,Mar,74.2,71.5,2292832,2208549,84283,3.7
1998,Apr,74.3,71.5,2299943,2214643,85300,3.7
1998,May,74.4,71.6,2306599,2220655,85944,3.7
1998,Jun,74.4,71.7,2312795,2226493,86302,3.7
1998,Jul,74.5,71.7,2318246,2231971,86275,3.7
1998,Aug,74.5,71.7,2323028,2237294,85734,3.7
1998,Sep,74.4,71.7,2327226,2242633,84593,3.6
1998,Oct,74.4,71.7,2330751,2248034,82717,3.5
1998,Nov,74.3,71.7,2333507,2253252,80255,3.4
1998,Dec,74.2,71.7,2335601,2258017,77584,3.3
1999,Jan,74.1,71.7,2337419,2262255,75164,3.2
1999,Feb,74,71.7,2339261,2265817,73444,3.1
1999,Mar,73.9,71.6,2341129,2268568,72561,3.1
1999,Apr,73.8,71.5,2342760,2270396,72364,3.1
1999,May,73.7,71.4,2343805,2271258,72547,3.1
1999,Jun,73.5,71.2,2344372,2271580,72792,3.1
1999,Jul,73.4,71.1,2344704,2271816,72888,3.1
1999,Aug,73.2,71,2344996,2272380,72616,3.1
1999,Sep,73.1,70.9,2345577,2273693,71884,3.1
1999,Oct,73,70.8,2346824,2276027,70797,3
1999,Nov,72.9,70.8,2349080,2279617,69463,3
1999,Dec,72.9,70.8,2351915,2283883,68032,2.9
2000,Jan,72.8,70.8,2354671,2287986,66685,2.8
2000,Feb,72.8,70.8,2356780,2291250,65530,2.8
2000,Mar,72.7,70.7,2357991,2293200,64791,2.7
2000,Apr,72.7,70.7,2358321,2293730,64591,2.7
2000,May,72.5,70.5,2357978,2293201,64777,2.7
2000,Jun,72.3,70.3,2357302,2292153,65149,2.8
2000,Jul,72.2,70.2,2356861,2291396,65465,2.8
2000,Aug,72,70,2357452,2291922,65530,2.8
2000,Sep,71.9,69.9,2359410,2294060,65350,2.8
2000,Oct,71.8,69.9,2362477,2297454,65023,2.8
2000,Nov,71.8,69.8,2365870,2301056,64814,2.7
2000,Dec,71.7,69.8,2368896,2303807,65089,2.7
2001,Jan,71.6,69.7,2371069,2304962,66107,2.8
2001,Feb,71.5,69.5,2372464,2304480,67984,2.9
2001,Mar,71.4,69.3,2373609,2302879,70730,3
2001,Apr,71.3,69.1,2375054,2300762,74292,3.1
2001,May,71.2,68.9,2377689,2299027,78662,3.3
2001,Jun,71.2,68.7,2382031,2298113,83918,3.5
2001,Jul,71.3,68.6,2388265,2298151,90114,3.8
2001,Aug,71.4,68.5,2395575,2298315,97260,4.1
2001,Sep,71.5,68.4,2403007,2298010,104997,4.4
2001,Oct,71.6,68.2,2410087,2297403,112684,4.7
2001,Nov,71.7,68.1,2416394,2296659,119735,5
2001,Dec,71.7,68,2421809,2296270,125539,5.2
2002,Jan,71.8,67.9,2426393,2296628,129765,5.3
2002,Feb,71.8,67.9,2430101,2297663,132438,5.4
2002,Mar,71.8,67.8,2433076,2299278,133798,5.5
2002,Apr,71.8,67.8,2436172,2301814,134358,5.5
2002,May,71.8,67.8,2439827,2305162,134665,5.5
2002,Jun,71.8,67.8,2443731,2308771,134960,5.5
2002,Jul,71.8,67.8,2447093,2311774,135319,5.5
