Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,64.2,57.9,1443606,1302422,141184,9.8
1976,Feb,64.1,57.8,1442758,1301572,141186,9.8
1976,Mar,64,57.8,1442821,1301890,140931,9.8
1976,Apr,64.1,57.9,1446187,1306078,140109,9.7
1976,May,64.3,58.1,1451468,1312227,139241,9.6
1976,Jun,64.5,58.4,1457458,1319292,138166,9.5
1976,Jul,64.7,58.6,1462313,1325601,136712,9.3
1976,Aug,64.7,58.8,1465194,1330591,134603,9.2
1976,Sep,64.7,58.9,1466342,1334686,131656,9
1976,Oct,64.7,59,1466512,1338099,128413,8.8
1976,Nov,64.6,59.1,1466636,1341376,125260,8.5
1976,Dec,64.6,59.2,1467455,1345228,122227,8.3
1977,Jan,64.6,59.4,1469625,1350365,119260,8.1
1977,Feb,64.7,59.6,1472815,1356636,116179,7.9
1977,Mar,64.8,59.8,1475910,1363044,112866,7.6
1977,Apr,64.8,60,1478384,1368978,109406,7.4
1977,May,64.8,60.2,1480361,1374228,106133,7.2
1977,Jun,64.9,60.4,1482432,1379006,103426,7
1977,Jul,64.9,60.5,1485113,1383722,101391,6.8
1977,Aug,65,60.7,1488588,1388697,99891,6.7
1977,Sep,65.1,60.8,1492327,1394022,98305,6.6
1977,Oct,65.2,61,1495216,1399225,95991,6.4
1977,Nov,65.2,61.1,1496758,1403810,92948,6.2
1977,Dec,65.1,61.2,1497015,1407483,89532,6
1978,Jan,65.1,61.3,1496835,1410761,86074,5.8
1978,Feb,65,61.4,1497192,1414299,82893,5.5
1978,Mar,65,61.5,1498791,1418461,80330,5.4
1978,Apr,65.1,61.7,1501744,1423185,78559,5.2
1978,May,65.2,61.8,1505691,1428200,77491,5.1
1978,Jun,65.3,62,1509892,1433075,76817,5.1
1978,Jul,65.4,62.1,1513927,1437508,76419,5
1978,Aug,65.5,62.2,1518005,1441586,76419,5
1978,Sep,65.7,62.4,1522650,1445744,76906,5.1
1978,Oct,65.9,62.5,1528491,1450604,77887,5.1
1978,Nov,66.1,62.7,1535393,1456190,79203,5.2
1978,Dec,66.3,62.9,1542363,1461641,80722,5.2
