Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63,58.1,262688,242382,20306,7.7
1976,Feb,62.8,58,262592,242420,20172,7.7
1976,Mar,62.8,58,262596,242340,20256,7.7
1976,Apr,62.8,57.7,262989,241923,21066,8
1976,May,62.8,57.5,263585,241399,22186,8.4
1976,Jun,62.9,57.4,264322,240938,23384,8.8
1976,Jul,63,57.2,265027,240614,24413,9.2
1976,Aug,62.9,57,265641,240547,25094,9.4
1976,Sep,63.1,57,266225,240675,25550,9.6
1976,Oct,63.1,57,266885,240999,25886,9.7
1976,Nov,63.1,57,267699,241581,26118,9.8
1976,Dec,63.4,57.2,268702,242498,26204,9.8
1977,Jan,63.5,57.4,269870,243757,26113,9.7
1977,Feb,63.6,57.6,271090,245257,25833,9.5
1977,Mar,63.9,57.9,272185,246836,25349,9.3
1977,Apr,63.9,58.2,273009,248330,24679,9
1977,May,63.9,58.3,273473,249589,23884,8.7
1977,Jun,63.9,58.5,273603,250531,23072,8.4
1977,Jul,63.8,58.5,273524,251174,22350,8.2
1977,Aug,63.6,58.5,273383,251614,21769,8
1977,Sep,63.6,58.6,273280,251956,21324,7.8
1977,Oct,63.4,58.5,273253,252250,21003,7.7
1977,Nov,63.4,58.6,273331,252509,20822,7.6
1977,Dec,63.3,58.5,273516,252763,20753,7.6
1978,Jan,63.4,58.6,273820,253086,20734,7.6
1978,Feb,63.3,58.6,274287,253556,20731,7.6
1978,Mar,63.5,58.7,274961,254207,20754,7.5
1978,Apr,63.6,58.8,275831,255033,20798,7.5
1978,May,63.8,59,276817,255989,20828,7.5
1978,Jun,63.9,59.1,277760,256964,20796,7.5
1978,Jul,64,59.3,278508,257815,20693,7.4
1978,Aug,64.1,59.4,279000,258456,20544,7.4
1978,Sep,64,59.4,279253,258888,20365,7.3
1978,Oct,64.1,59.4,279351,259164,20187,7.2
1978,Nov,63.9,59.3,279391,259310,20081,7.2
1978,Dec,63.9,59.3,279429,259327,20102,7.2
1979,Jan,64,59.3,279470,259239,20231,7.2
1979,Feb,63.8,59.2,279484,259103,20381,7.3
1979,Mar,63.8,59.1,279433,258989,20444,7.3
1979,Apr,63.6,59,279336,258963,20373,7.3
1979,May,63.6,59,279317,259104,20213,7.2
1979,Jun,63.5,59,279528,259471,20057,7.2
1979,Jul,63.7,59.1,280069,260084,19985,7.1
1979,Aug,63.8,59.3,280906,260859,20047,7.1
1979,Sep,64.1,59.5,281876,261662,20214,7.2
1979,Oct,64.3,59.6,282730,262379,20351,7.2
1979,Nov,64.4,59.8,283258,262906,20352,7.2
1979,Dec,64.6,59.9,283390,263176,20214,7.1
1980,Jan,64.5,60,283209,263181,20028,7.1
1980,Feb,64.4,59.9,282926,262975,19951,7.1
1980,Mar,64.4,59.8,282778,262653,20125,7.1
1980,Apr,64.4,59.8,282899,262306,20593,7.3
1980,May,64.5,59.7,283267,261995,21272,7.5
1980,Jun,64.5,59.5,283771,261785,21986,7.7
1980,Jul,64.6,59.5,284258,261720,22538,7.9
1980,Aug,64.5,59.4,284612,261815,22797,8
1980,Sep,64.6,59.4,284831,262051,22780,8
1980,Oct,64.6,59.5,284997,262376,22621,7.9
1980,Nov,64.5,59.5,285205,262774,22431,7.9
1980,Dec,64.6,59.6,285511,263226,22285,7.8
1981,Jan,64.5,59.5,285879,263668,22211,7.8
1981,Feb,64.6,59.6,286226,264072,22154,7.7
1981,Mar,64.7,59.7,286538,264461,22077,7.7
1981,Apr,64.6,59.7,286820,264850,21970,7.7
1981,May,64.7,59.7,287086,265232,21854,7.6
1981,Jun,64.6,59.7,287345,265550,21795,7.6
1981,Jul,64.6,59.7,287627,265753,21874,7.6
1981,Aug,64.6,59.6,288005,265844,22161,7.7
1981,Sep,64.7,59.6,288579,265895,22684,7.9
1981,Oct,64.7,59.5,289413,266035,23378,8.1
1981,Nov,65,59.6,290494,266369,24125,8.3
1981,Dec,65.1,59.6,291729,266950,24779,8.5
1982,Jan,65.4,59.8,292984,267743,25241,8.6
1982,Feb,65.5,59.8,294061,268596,25465,8.7
1982,Mar,65.6,60,294758,269308,25450,8.6
1982,Apr,65.6,59.9,295016,269765,25251,8.6
1982,May,65.5,60,294927,269972,24955,8.5
1982,Jun,65.3,59.9,294661,270008,24653,8.4
1982,Jul,65.3,59.9,294398,269983,24415,8.3
1982,Aug,65.2,59.9,294226,269985,24241,8.2
1982,Sep,65.1,59.7,294138,270055,24083,8.2
1982,Oct,65.1,59.8,294104,270162,23942,8.1
1982,Nov,64.9,59.7,294097,270254,23843,8.1
1982,Dec,64.9,59.7,294078,270286,23792,8.1
1983,Jan,64.9,59.7,294034,270255,23779,8.1
1983,Feb,64.8,59.5,293997,270226,23771,8.1
1983,Mar,64.8,59.5,294006,270289,23717,8.1
1983,Apr,64.6,59.5,294110,270519,23591,8
1983,May,64.7,59.6,294374,270954,23420,8
1983,Jun,64.7,59.6,294858,271636,23222,7.9
1983,Jul,64.8,59.8,295595,272592,23003,7.8
1983,Aug,64.9,59.9,296565,273785,22780,7.7
1983,Sep,65.1,60.2,297677,275155,22522,7.6
1983,Oct,65.2,60.4,298804,276645,22159,7.4
1983,Nov,65.5,60.7,299844,278200,21644,7.2
1983,Dec,65.5,61,300781,279799,20982,7
1984,Jan,65.7,61.3,301673,281412,20261,6.7
1984,Feb,65.8,61.5,302608,282958,19650,6.5
1984,Mar,65.9,61.7,303637,284356,19281,6.4
1984,Apr,66.1,61.9,304754,285577,19177,6.3
1984,May,66.2,62,305924,286657,19267,6.3
1984,Jun,66.5,62.3,307086,287648,19438,6.3
1984,Jul,66.6,62.3,308164,288598,19566,6.3
1984,Aug,66.6,62.4,309120,289545,19575,6.3
1984,Sep,66.7,62.5,309932,290472,19460,6.3
1984,Oct,66.8,62.7,310593,291345,19248,6.2
1984,Nov,66.8,62.7,311132,292146,18986,6.1
1984,Dec,66.7,62.7,311596,292882,18714,6
1985,Jan,66.7,62.7,312037,293614,18423,5.9
1985,Feb,66.8,62.9,312547,294475,18072,5.8
1985,Mar,66.8,63,313245,295571,17674,5.6
1985,Apr,66.9,63.2,314197,296932,17265,5.5
1985,May,67,63.4,315355,298501,16854,5.3
1985,Jun,67.2,63.7,316594,300153,16441,5.2
1985,Jul,67.3,63.9,317753,301726,16027,5
1985,Aug,67.4,64.1,318689,303097,15592,4.9
1985,Sep,67.5,64.3,319352,304188,15164,4.7
1985,Oct,67.5,64.3,319799,304973,14826,4.6
1985,Nov,67.4,64.3,320156,305491,14665,4.6
1985,Dec,67.5,64.4,320574,305838,14736,4.6
1986,Jan,67.5,64.3,321191,306162,15029,4.7
1986,Feb,67.5,64.3,322043,306593,15450,4.8
1986,Mar,67.7,64.4,323029,307203,15826,4.9
1986,Apr,67.8,64.4,323971,307998,15973,4.9
1986,May,67.8,64.5,324704,308917,15787,4.9
1986,Jun,67.9,64.7,325165,309896,15269,4.7
1986,Jul,67.8,64.8,325419,310902,14517,4.5
1986,Aug,67.7,64.9,325610,311947,13663,4.2
1986,Sep,67.6,65,325898,313087,12811,3.9
1986,Oct,67.6,65.1,326397,314369,12028,3.7
1986,Nov,67.6,65.2,327149,315771,11378,3.5
1986,Dec,67.7,65.4,328117,317216,10901,3.3
1987,Jan,67.7,65.5,329158,318561,10597,3.2
1987,Feb,67.9,65.8,330099,319668,10431,3.2
1987,Mar,67.9,65.8,330822,320481,10341,3.1
1987,Apr,67.9,65.8,331288,321023,10265,3.1
1987,May,67.8,65.7,331564,321402,10162,3.1
1987,Jun,67.7,65.7,331806,321771,10035,3
1987,Jul,67.7,65.6,332207,322280,9927,3
1987,Aug,67.7,65.7,332935,323013,9922,3
1987,Sep,67.8,65.7,334074,323997,10077,3
1987,Oct,68.1,66,335575,325211,10364,3.1
1987,Nov,68.3,66.1,337285,326611,10674,3.2
1987,Dec,68.5,66.3,338997,328125,10872,3.2
1988,Jan,68.7,66.5,340594,329707,10887,3.2
1988,Feb,68.8,66.7,342076,331353,10723,3.1
1988,Mar,69,66.9,343523,333053,10470,3
1988,Apr,69.3,67.2,345050,334763,10287,3
1988,May,69.5,67.4,346697,336403,10294,3
1988,Jun,69.7,67.6,348386,337876,10510,3
1988,Jul,69.9,67.7,349974,339104,10870,3.1
1988,Aug,70,67.7,351328,340080,11248,3.2
1988,Sep,70.1,67.8,352390,340876,11514,3.3
1988,Oct,70.2,67.9,353192,341598,11594,3.3
1988,Nov,70.2,67.9,353844,342348,11496,3.2
1988,Dec,70.2,68,354475,343178,11297,3.2
1989,Jan,70.2,68,355187,344068,11119,3.1
1989,Feb,70.4,68.2,356032,344913,11119,3.1
1989,Mar,70.4,68.2,357021,345649,11372,3.2
1989,Apr,70.5,68.2,358110,346291,11819,3.3
1989,May,70.6,68.1,359231,346869,12362,3.4
1989,Jun,70.8,68.3,360290,347412,12878,3.6
