Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,55.9,50.6,3592149,3248523,343626,9.6
1976,Feb,55.8,50.4,3591389,3247280,344109,9.6
1976,Mar,55.7,50.4,3591633,3249159,342474,9.5
1976,Apr,55.6,50.4,3594014,3258015,335999,9.3
1976,May,55.5,50.4,3597871,3269479,328392,9.1
1976,Jun,55.4,50.5,3602438,3280804,321634,8.9
1976,Jul,55.4,50.5,3605780,3288271,317509,8.8
1976,Aug,55.2,50.4,3608167,3291137,317030,8.8
1976,Sep,55.1,50.3,3609567,3291006,318561,8.8
1976,Oct,55,50.1,3610341,3289260,321081,8.9
1976,Nov,54.9,49.9,3611946,3288007,323939,9
1976,Dec,54.8,49.8,3616376,3289929,326447,9
1977,Jan,54.8,49.8,3626043,3297602,328441,9.1
1977,Feb,54.9,49.9,3640399,3311630,328769,9
1977,Mar,54.9,50,3656840,3330199,326641,8.9
1977,Apr,55.1,50.2,3673735,3351765,321970,8.8
1977,May,55.2,50.4,3690261,3374951,315310,8.5
1977,Jun,55.3,50.7,3706641,3398744,307897,8.3
1977,Jul,55.4,50.9,3724185,3423652,300533,8.1
1977,Aug,55.5,51.2,3744507,3450730,293777,7.8
1977,Sep,55.7,51.4,3768320,3480190,288130,7.6
1977,Oct,55.9,51.7,3794285,3510739,283546,7.5
1977,Nov,56.1,52,3820042,3540489,279553,7.3
1977,Dec,56.3,52.2,3843092,3567090,276002,7.2
1978,Jan,56.4,52.4,3863066,3590894,272172,7
1978,Feb,56.5,52.6,3881476,3612889,268587,6.9
1978,Mar,56.6,52.7,3899834,3633608,266226,6.8
1978,Apr,56.7,52.9,3918418,3653217,265201,6.8
1978,May,56.8,53,3937372,3672073,265299,6.7
1978,Jun,56.9,53.1,3956057,3690425,265632,6.7
1978,Jul,57,53.2,3973552,3707691,265861,6.7
1978,Aug,57,53.2,3989934,3723828,266106,6.7
1978,Sep,57,53.2,4006225,3740244,265981,6.6
1978,Oct,57.1,53.3,4024534,3759083,265451,6.6
1978,Nov,57.1,53.4,4045188,3780545,264643,6.5
1978,Dec,57.2,53.5,4065529,3802128,263401,6.5
1979,Jan,57.2,53.6,4082104,3820723,261381,6.4
1979,Feb,57.2,53.6,4093813,3835543,258270,6.3
1979,Mar,57.1,53.6,4101708,3847359,254349,6.2
1979,Apr,57,53.5,4107701,3857117,250584,6.1
1979,May,56.9,53.4,4114563,3866770,247793,6
1979,Jun,56.8,53.4,4123188,3877029,246159,6
1979,Jul,56.7,53.4,4133934,3889195,244739,5.9
1979,Aug,56.7,53.3,4146610,3903766,242844,5.9
1979,Sep,56.6,53.4,4160344,3919911,240433,5.8
1979,Oct,56.6,53.4,4173810,3936833,236977,5.7
1979,Nov,56.5,53.4,4186531,3953754,232777,5.6
1979,Dec,56.5,53.4,4198924,3969198,229726,5.5
1980,Jan,56.4,53.3,4210270,3980580,229690,5.5
1980,Feb,56.3,53.2,4219406,3986257,233149,5.5
1980,Mar,56.2,53,4226343,3986769,239574,5.7
1980,Apr,56.1,52.8,4232383,3984610,247773,5.9
1980,May,56,52.6,4239330,3982923,256407,6
1980,Jun,55.9,52.5,4250168,3985850,264318,6.2
1980,Jul,55.9,52.4,4265523,3995287,270236,6.3
1980,Aug,56,52.4,4284306,4010715,273591,6.4
1980,Sep,56.1,52.5,4305153,4030260,274893,6.4
1980,Oct,56.2,52.6,4326666,4050961,275705,6.4
1980,Nov,56.3,52.7,4349575,4072794,276781,6.4
1980,Dec,56.5,52.9,4376671,4098700,277971,6.4
1981,Jan,56.7,53.1,4408535,4128788,279747,6.3
1981,Feb,57,53.3,4442632,4160211,282421,6.4
1981,Mar,57.2,53.6,4475884,4190659,285225,6.4
1981,Apr,57.4,53.7,4504086,4216609,287477,6.4
1981,May,57.5,53.8,4524184,4234939,289245,6.4
1981,Jun,57.4,53.7,4537022,4245616,291406,6.4
1981,Jul,57.4,53.6,4545626,4249835,295791,6.5
1981,Aug,57.3,53.5,4552729,4250198,302531,6.6
1981,Sep,57.3,53.4,4561017,4250202,310815,6.8
1981,Oct,57.3,53.3,4572837,4252585,320252,7
1981,Nov,57.3,53.2,4587058,4256573,330485,7.2
1981,Dec,57.4,53.1,4602989,4261667,341322,7.4
1982,Jan,57.4,53.1,4621396,4269730,351666,7.6
1982,Feb,57.6,53.1,4642574,4281331,361243,7.8
1982,Mar,57.7,53.1,4665084,4294860,370224,7.9
1982,Apr,57.8,53.2,4688572,4310056,378516,8.1
1982,May,58,53.2,4711937,4326136,385801,8.2
