Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,70.1,63,408869,367414,41455,10.1
1976,Feb,69.9,62.8,408905,367268,41637,10.2
1976,Mar,69.8,62.7,409265,367467,41798,10.2
1976,Apr,69.7,62.7,409939,368550,41389,10.1
1976,May,69.6,62.7,410495,369908,40587,9.9
1976,Jun,69.5,62.8,410779,371272,39507,9.6
1976,Jul,69.2,62.8,410576,372349,38227,9.3
1976,Aug,69.1,62.8,410176,373163,37013,9
1976,Sep,68.8,62.7,410045,373983,36062,8.8
1976,Oct,68.7,62.8,410397,374963,35434,8.6
1976,Nov,68.6,62.8,411212,376165,35047,8.5
1976,Dec,68.7,62.9,412337,377575,34762,8.4
1977,Jan,68.8,63.1,413616,379133,34483,8.3
1977,Feb,68.8,63.1,414902,380730,34172,8.2
1977,Mar,68.9,63.3,415929,382233,33696,8.1
1977,Apr,68.7,63.3,416462,383521,32941,7.9
1977,May,68.6,63.3,416569,384494,32075,7.7
1977,Jun,68.4,63.2,416515,385092,31423,7.5
1977,Jul,68.3,63.2,416627,385371,31256,7.5
1977,Aug,68.2,63.1,417000,385449,31551,7.6
1977,Sep,68.2,63,417476,385445,32031,7.7
1977,Oct,68.2,62.9,417914,385453,32461,7.8
1977,Nov,68,62.7,418156,385517,32639,7.8
1977,Dec,67.9,62.6,418076,385623,32453,7.8
1978,Jan,67.7,62.5,417633,385743,31890,7.6
1978,Feb,67.5,62.4,417004,385889,31115,7.5
1978,Mar,67.3,62.4,416525,386105,30420,7.3
1978,Apr,67.2,62.3,416500,386454,30046,7.2
1978,May,67,62.2,416994,386991,30003,7.2
1978,Jun,67.1,62.2,417847,387773,30074,7.2
1978,Jul,67.1,62.3,418807,388786,30021,7.2
1978,Aug,67,62.3,419622,389881,29741,7.1
1978,Sep,66.9,62.2,420187,390910,29277,7
1978,Oct,66.8,62.3,420445,391788,28657,6.8
1978,Nov,66.6,62.2,420473,392467,28006,6.7
1978,Dec,66.4,62.1,420461,392958,27503,6.5
1979,Jan,66.2,61.9,420610,393360,27250,6.5
1979,Feb,66.2,61.9,421047,393824,27223,6.5
1979,Mar,66.1,61.8,421835,394525,27310,6.5
1979,Apr,66.1,61.8,422942,395624,27318,6.5
1979,May,66.1,61.9,424172,397139,27033,6.4
1979,Jun,66.2,62,425369,398840,26529,6.2
1979,Jul,66.1,62.1,426417,400446,25971,6.1
1979,Aug,66,62.1,427284,401891,25393,5.9
1979,Sep,66,62.1,428055,403249,24806,5.8
1979,Oct,66,62.3,428876,404637,24239,5.7
1979,Nov,65.9,62.3,429918,406240,23678,5.5
1979,Dec,65.9,62.4,431236,408161,23075,5.4
1980,Jan,66,62.5,432730,410280,22450,5.2
1980,Feb,66.1,62.8,434206,412358,21848,5
1980,Mar,66.1,62.8,435491,414130,21361,4.9
1980,Apr,66,62.8,436513,415358,21155,4.8
1980,May,66.1,62.8,437355,416025,21330,4.9
1980,Jun,66.1,62.8,438138,416431,21707,5
1980,Jul,66.1,62.8,438980,416906,22074,5
1980,Aug,66.2,62.8,440007,417587,22420,5.1
1980,Sep,66.2,62.8,441210,418478,22732,5.2
1980,Oct,66.3,62.9,442501,419530,22971,5.2
1980,Nov,66.4,63,443761,420645,23116,5.2
1980,Dec,66.5,63,444955,421749,23206,5.2
1981,Jan,66.6,63.1,446093,422804,23289,5.2
1981,Feb,66.6,63.2,447165,423755,23410,5.2
1981,Mar,66.7,63.2,448121,424554,23567,5.3
1981,Apr,66.7,63.2,448913,425227,23686,5.3
1981,May,66.7,63.2,449564,425805,23759,5.3
1981,Jun,66.7,63.2,450165,426279,23886,5.3
1981,Jul,66.7,63.1,450753,426652,24101,5.3
1981,Aug,66.7,63.1,451320,426925,24395,5.4
1981,Sep,66.6,63,451860,427062,24798,5.5
1981,Oct,66.6,62.9,452382,427010,25372,5.6
1981,Nov,66.5,62.7,452833,426732,26101,5.8
1981,Dec,66.4,62.5,453182,426286,26896,5.9
1982,Jan,66.4,62.3,453501,425840,27661,6.1
1982,Feb,66.4,62.2,453913,425566,28347,6.2
1982,Mar,66.4,62.1,454504,425580,28924,6.4
1982,Apr,66.4,62.1,455326,425956,29370,6.5
1982,May,66.3,62,456360,426723,29637,6.5
1982,Jun,66.4,62.1,457503,427861,29642,6.5
1982,Jul,66.5,62.2,458736,429301,29435,6.4
1982,Aug,66.5,62.3,460100,430979,29121,6.3
1982,Sep,66.6,62.5,461613,432790,28823,6.2
1982,Oct,66.7,62.5,463267,434563,28704,6.2
1982,Nov,66.8,62.7,464976,436108,28868,6.2
1982,Dec,66.8,62.6,466542,437238,29304,6.3
1983,Jan,66.9,62.6,467731,437871,29860,6.4
1983,Feb,66.8,62.5,468499,438196,30303,6.5
1983,Mar,66.7,62.4,469048,438590,30458,6.5
1983,Apr,66.7,62.4,469639,439346,30293,6.5
1983,May,66.6,62.4,470431,440556,29875,6.4
1983,Jun,66.7,62.5,471446,442079,29367,6.2
1983,Jul,66.7,62.6,472579,443668,28911,6.1
1983,Aug,66.7,62.7,473539,445010,28529,6
1983,Sep,66.7,62.7,474061,445870,28191,5.9
1983,Oct,66.6,62.7,474046,446200,27846,5.9
1983,Nov,66.4,62.6,473654,446142,27512,5.8
1983,Dec,66.3,62.5,473238,446004,27234,5.8
