Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63.2,58.9,5133491,4788469,345022,6.7
1976,Feb,63.1,58.8,5132066,4787725,344341,6.7
1976,Mar,63,58.8,5131818,4789790,342028,6.7
1976,Apr,63,58.8,5135150,4796640,338510,6.6
1976,May,63,58.9,5141327,4804591,336736,6.5
1976,Jun,63,58.9,5148731,4811721,337010,6.5
1976,Jul,63,58.8,5154904,4815656,339248,6.6
1976,Aug,63,58.8,5159514,4817462,342052,6.6
1976,Sep,62.9,58.8,5161664,4819299,342365,6.6
1976,Oct,62.9,58.8,5162302,4822883,339419,6.6
1976,Nov,62.8,58.8,5163967,4830097,333870,6.5
1976,Dec,62.8,58.9,5169396,4842649,326747,6.3
1977,Jan,62.9,59,5181856,4861433,320423,6.2
1977,Feb,63.1,59.3,5201026,4884765,316261,6.1
1977,Mar,63.3,59.5,5223076,4908178,314898,6
1977,Apr,63.5,59.7,5245102,4928603,316499,6
1977,May,63.7,59.8,5265352,4944440,320912,6.1
1977,Jun,63.8,59.9,5283181,4955641,327540,6.2
1977,Jul,63.9,59.9,5298086,4964523,333563,6.3
1977,Aug,64,60,5311995,4974415,337580,6.4
1977,Sep,64.2,60.1,5327223,4987142,340081,6.4
1977,Oct,64.3,60.2,5342744,5001735,341009,6.4
1977,Nov,64.4,60.3,5357147,5016340,340807,6.4
1977,Dec,64.5,60.4,5369423,5028504,340919,6.3
1978,Jan,64.6,60.5,5379483,5038595,340888,6.3
1978,Feb,64.6,60.6,5388092,5048100,339992,6.3
1978,Mar,64.7,60.6,5396456,5058245,338211,6.3
1978,Apr,64.7,60.7,5404670,5069425,335245,6.2
1978,May,64.8,60.8,5413243,5082006,331237,6.1
1978,Jun,64.8,60.9,5422060,5096035,326025,6
1978,Jul,64.9,61,5430839,5109904,320935,5.9
1978,Aug,64.9,61.1,5438582,5121852,316730,5.8
1978,Sep,65,61.2,5444403,5131592,312811,5.7
1978,Oct,65,61.3,5449656,5139995,309661,5.7
1978,Nov,65,61.4,5454292,5146787,307505,5.6
1978,Dec,65,61.4,5455519,5149603,305916,5.6
1979,Jan,64.9,61.3,5450816,5146556,304260,5.6
1979,Feb,64.8,61.2,5441129,5139335,301794,5.5
1979,Mar,64.6,61.1,5429335,5132116,297219,5.5
1979,Apr,64.4,61,5418993,5128267,290726,5.4
1979,May,64.3,61,5413890,5129683,284207,5.2
1979,Jun,64.3,61,5415706,5135092,280614,5.2
1979,Jul,64.4,61.1,5424660,5143098,281562,5.2
1979,Aug,64.6,61.1,5440509,5152362,288147,5.3
1979,Sep,64.8,61.2,5461423,5160998,300425,5.5
1979,Oct,65,61.3,5483015,5167243,315772,5.8
1979,Nov,65.2,61.3,5501644,5170104,331540,6
1979,Dec,65.3,61.2,5516566,5169767,346799,6.3
1980,Jan,65.4,61.1,5527858,5165643,362215,6.6
1980,Feb,65.5,61,5536017,5156497,379520,6.9
1980,Mar,65.5,60.8,5542657,5142025,400632,7.2
1980,Apr,65.6,60.6,5548404,5124072,424332,7.6
1980,May,65.6,60.3,5553271,5105610,447661,8.1
1980,Jun,65.6,60.1,5558454,5090240,468214,8.4
1980,Jul,65.6,59.9,5563157,5079298,483859,8.7
1980,Aug,65.6,59.8,5565343,5072084,493259,8.9
1980,Sep,65.6,59.7,5564825,5067712,497113,8.9
1980,Oct,65.5,59.7,5563804,5065969,497835,8.9
1980,Nov,65.5,59.7,5565128,5068386,496742,8.9
1980,Dec,65.5,59.7,5571678,5077315,494363,8.9
1981,Jan,65.6,59.9,5582922,5091853,491069,8.8
1981,Feb,65.7,60,5595042,5108897,486145,8.7
1981,Mar,65.8,60.2,5604814,5125962,478852,8.5
1981,Apr,65.8,60.3,5609822,5138889,470933,8.4
