Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63.8,59.7,2418961,2260951,158010,6.5
1976,Feb,63.7,59.6,2418034,2259666,158368,6.5
1976,Mar,63.7,59.5,2418009,2260937,157072,6.5
1976,Apr,63.7,59.7,2421035,2269249,151786,6.3
1976,May,63.7,59.9,2426290,2280665,145625,6
1976,Jun,63.9,60.2,2433743,2292942,140801,5.8
1976,Jul,64,60.4,2441098,2302543,138555,5.7
1976,Aug,64.1,60.4,2446534,2308102,138432,5.7
1976,Sep,64.1,60.4,2449803,2310374,139429,5.7
1976,Oct,64,60.3,2451113,2309792,141321,5.8
1976,Nov,63.9,60.2,2450735,2307827,142908,5.8
1976,Dec,63.8,60.1,2449848,2306491,143357,5.9
1977,Jan,63.8,60.1,2450849,2307840,143009,5.8
1977,Feb,63.8,60.1,2455042,2312544,142498,5.8
1977,Mar,63.9,60.2,2461636,2319534,142102,5.8
1977,Apr,64,60.4,2469608,2327568,142040,5.8
1977,May,64.2,60.5,2477586,2335266,142320,5.7
1977,Jun,64.3,60.6,2484971,2342099,142872,5.7
1977,Jul,64.4,60.7,2492340,2348443,143897,5.8
1977,Aug,64.5,60.8,2500562,2355133,145429,5.8
1977,Sep,64.7,60.9,2509449,2362916,146533,5.8
1977,Oct,64.8,61,2518128,2371529,146599,5.8
1977,Nov,64.9,61.2,2526710,2380288,146422,5.8
1977,Dec,65.1,61.3,2535021,2388471,146550,5.8
1978,Jan,65.2,61.4,2542724,2396136,146588,5.8
1978,Feb,65.3,61.5,2550283,2403936,146347,5.7
1978,Mar,65.4,61.7,2558808,2413013,145795,5.7
1978,Apr,65.6,61.9,2568670,2423748,144922,5.6
1978,May,65.8,62.1,2579613,2435707,143906,5.6
1978,Jun,66,62.3,2590550,2447637,142913,5.5
1978,Jul,66.1,62.5,2600238,2457912,142326,5.5
1978,Aug,66.2,62.6,2608117,2465669,142448,5.5
1978,Sep,66.3,62.7,2614264,2471068,143196,5.5
1978,Oct,66.4,62.8,2620055,2475615,144440,5.5
1978,Nov,66.5,62.8,2625841,2480148,145693,5.5
1978,Dec,66.5,62.8,2630718,2484023,146695,5.6
1979,Jan,66.6,62.8,2633644,2486271,147373,5.6
1979,Feb,66.5,62.8,2633951,2486179,147772,5.6
1979,Mar,66.4,62.6,2632070,2483431,148639,5.6
1979,Apr,66.2,62.4,2629445,2478349,151096,5.7
1979,May,66.1,62.2,2628052,2472176,155876,5.9
1979,Jun,66.1,62,2628732,2465934,162798,6.2
1979,Jul,66.1,61.8,2631761,2460879,170882,6.5
1979,Aug,66.2,61.7,2636719,2457281,179438,6.8
1979,Sep,66.3,61.6,2642135,2454316,187819,7.1
1979,Oct,66.3,61.4,2645764,2450837,194927,7.4
1979,Nov,66.3,61.3,2646575,2445896,200679,7.6
1979,Dec,66.2,61,2645461,2439157,206304,7.8
1980,Jan,66.1,60.7,2643812,2429913,213899,8.1
1980,Feb,66,60.4,2642605,2417618,224987,8.5
1980,Mar,65.9,60,2641722,2402389,239333,9.1
