Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,70.4,65.3,1506003,1397325,108678,7.2
2010,Feb,70.3,65.3,1504661,1396164,108497,7.2
2010,Mar,70.2,65.2,1503545,1395688,107857,7.2
2010,Apr,70,65,1502629,1395747,106882,7.1
2010,May,69.9,65,1501761,1396071,105690,7
2010,Jun,69.8,65,1500929,1396182,104747,7
2010,Jul,69.8,64.9,1500087,1395787,104300,7
2010,Aug,69.7,64.8,1499249,1394978,104271,7
2010,Sep,69.6,64.8,1498527,1393989,104538,7
2010,Oct,69.6,64.7,1498125,1393254,104871,7
2010,Nov,69.5,64.6,1497897,1392963,104934,7
2010,Dec,69.5,64.6,1497590,1393039,104551,7
2011,Jan,69.4,64.6,1497002,1393260,103742,6.9
2011,Feb,69.3,64.6,1495829,1393342,102487,6.9
2011,Mar,69.2,64.6,1494025,1393176,100849,6.8
2011,Apr,69.1,64.5,1491929,1392856,99073,6.6
2011,May,69,64.5,1490149,1392637,97512,6.5
2011,Jun,68.9,64.5,1489125,1392802,96323,6.5
2011,Jul,68.9,64.5,1488961,1393396,95565,6.4
2011,Aug,68.9,64.5,1489304,1394198,95106,6.4
2011,Sep,68.8,64.5,1489593,1395030,94563,6.3
2011,Oct,68.8,64.5,1489501,1395785,93716,6.3
2011,Nov,68.7,64.4,1488863,1396313,92550,6.2
2011,Dec,68.6,64.4,1487729,1396598,91131,6.1
2012,Jan,68.6,64.4,1486440,1396822,89618,6
2012,Feb,68.5,64.4,1485381,1397111,88270,5.9
2012,Mar,68.4,64.4,1484558,1397295,87263,5.9
2012,Apr,68.3,64.4,1483742,1397324,86418,5.8
2012,May,68.3,64.3,1483049,1397448,85601,5.8
2012,Jun,68.2,64.3,1482687,1397941,84746,5.7
2012,Jul,68.2,64.3,1482906,1399007,83899,5.7
2012,Aug,68.2,64.4,1483901,1400598,83303,5.6
2012,Sep,68.3,64.4,1485494,1402370,83124,5.6
2012,Oct,68.3,64.5,1487079,1403867,83212,5.6
