Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,60.6,57.2,1489641,1406646,82995,5.6
1976,Feb,60.4,57,1489199,1406247,82952,5.6
1976,Mar,60.3,56.9,1488878,1406193,82685,5.6
1976,Apr,60.2,56.9,1489497,1407354,82143,5.5
1976,May,60.1,56.8,1490936,1409389,81547,5.5
1976,Jun,60.1,56.8,1492875,1411989,80886,5.4
1976,Jul,60,56.8,1494595,1414170,80425,5.4
1976,Aug,60,56.8,1495794,1416017,79777,5.3
1976,Sep,59.9,56.7,1496632,1417964,78668,5.3
1976,Oct,59.9,56.8,1498091,1420505,77586,5.2
1976,Nov,59.9,56.8,1501132,1424211,76921,5.1
1976,Dec,60,56.9,1506093,1429442,76651,5.1
1977,Jan,60.1,57.1,1512702,1436071,76631,5.1
1977,Feb,60.3,57.3,1519806,1443414,76392,5
1977,Mar,60.5,57.5,1525804,1450053,75751,5
1977,Apr,60.5,57.6,1529936,1455042,74894,4.9
1977,May,60.5,57.6,1532361,1458427,73934,4.8
1977,Jun,60.5,57.6,1533975,1461025,72950,4.8
1977,Jul,60.4,57.6,1535854,1463770,72084,4.7
1977,Aug,60.5,57.6,1539136,1467138,71998,4.7
1977,Sep,60.6,57.7,1543953,1471034,72919,4.7
1977,Oct,60.7,57.8,1549235,1474816,74419,4.8
1977,Nov,60.8,57.9,1554290,1478198,76092,4.9
1977,Dec,60.9,57.9,1558938,1481279,77659,5
1978,Jan,61,57.9,1563156,1484469,78687,5
1978,Feb,61.1,58,1567269,1488114,79155,5.1
1978,Mar,61.2,58.1,1571756,1492471,79285,5
1978,Apr,61.3,58.2,1576598,1497301,79297,5
1978,May,61.4,58.3,1581563,1501882,79681,5
1978,Jun,61.5,58.4,1585900,1505469,80431,5.1
1978,Jul,61.5,58.3,1589111,1507673,81438,5.1
1978,Aug,61.5,58.3,1591204,1508728,82476,5.2
1978,Sep,61.5,58.3,1592342,1509202,83140,5.2
1978,Oct,61.4,58.2,1593201,1509859,83342,5.2
1978,Nov,61.4,58.2,1594132,1510817,83315,5.2
1978,Dec,61.3,58.1,1594884,1511600,83284,5.2
1979,Jan,61.3,58.1,1595459,1512070,83389,5.2
1979,Feb,61.3,58,1596382,1512697,83685,5.2
1979,Mar,61.3,58,1598355,1514124,84231,5.3
1979,Apr,61.3,58.1,1601999,1516756,85243,5.3
1979,May,61.4,58.1,1607418,1520632,86786,5.4
1979,Jun,61.6,58.2,1613981,1525140,88841,5.5
1979,Jul,61.8,58.3,1620680,1529807,90873,5.6
1979,Aug,62,58.4,1626376,1534103,92273,5.7
1979,Sep,62.1,58.5,1630605,1537382,93223,5.7
1979,Oct,62.1,58.5,1633338,1539206,94132,5.8
1979,Nov,62.1,58.5,1634995,1539529,95466,5.8
1979,Dec,62.1,58.4,1636511,1538616,97895,6
1980,Jan,62.1,58.3,1638679,1536646,102033,6.2
1980,Feb,62.2,58.1,1641478,1533609,107869,6.6
1980,Mar,62.2,57.9,1644595,1529824,114771,7
1980,Apr,62.3,57.7,1647859,1526006,121853,7.4
1980,May,62.4,57.5,1651513,1522888,128625,7.8
1980,Jun,62.5,57.4,1656061,1521195,134866,8.1
1980,Jul,62.7,57.4,1661210,1521017,140193,8.4
1980,Aug,62.8,57.4,1666376,1522074,144302,8.7
1980,Sep,62.9,57.4,1671022,1524109,146913,8.8
1980,Oct,63,57.5,1674604,1526711,147893,8.8
1980,Nov,63.1,57.5,1676816,1529501,147315,8.8
1980,Dec,63,57.6,1677778,1532170,145608,8.7
1981,Jan,63,57.6,1677589,1534186,143403,8.5
1981,Feb,62.9,57.6,1676153,1535023,141130,8.4
1981,Mar,62.7,57.5,1673723,1534505,139218,8.3
1981,Apr,62.6,57.4,1670298,1532567,137731,8.2
1981,May,62.3,57.2,1665795,1529508,136287,8.2
1981,Jun,62.1,57.1,1661115,1525862,135253,8.1
1981,Jul,62,56.9,1657847,1521900,135947,8.2
1981,Aug,61.9,56.7,1656657,1517798,138859,8.4
1981,Sep,61.8,56.5,1657389,1513783,143606,8.7
1981,Oct,61.9,56.3,1659397,1509940,149457,9
1981,Nov,61.9,56.1,1661849,1506271,155578,9.4
1981,Dec,62,56,1664396,1503220,161176,9.7
1982,Jan,62,55.9,1666953,1501355,165598,9.9
1982,Feb,62.1,55.8,1669907,1500761,169146,10.1
1982,Mar,62.2,55.8,1673196,1501087,172109,10.3
