Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,56.7,53.1,1513827,1417816,96011,6.3
1976,Feb,56.5,52.9,1513026,1417468,95558,6.3
1976,Mar,56.4,52.8,1513093,1417499,95594,6.3
1976,Apr,56.3,52.7,1516323,1418904,97419,6.4
1976,May,56.4,52.7,1521492,1421200,100292,6.6
1976,Jun,56.5,52.7,1527804,1424206,103598,6.8
1976,Jul,56.5,52.6,1533265,1426892,106373,6.9
1976,Aug,56.5,52.6,1536888,1428989,107899,7
1976,Sep,56.5,52.5,1538809,1430467,108342,7
1976,Oct,56.4,52.5,1539587,1431362,108225,7
1976,Nov,56.3,52.4,1540432,1432371,108061,7
1976,Dec,56.3,52.4,1542754,1434769,107985,7
1977,Jan,56.4,52.5,1547949,1439858,108091,7
1977,Feb,56.6,52.6,1556163,1447930,108233,7
1977,Mar,56.8,52.9,1566229,1458109,108120,6.9
1977,Apr,57.1,53.2,1576996,1469214,107782,6.8
1977,May,57.3,53.5,1587365,1479770,107595,6.8
1977,Jun,57.6,53.7,1596665,1488694,107971,6.8
1977,Jul,57.8,53.8,1605103,1495586,109517,6.8
1977,Aug,58,53.9,1613426,1500984,112442,7
1977,Sep,58.2,54,1622028,1505819,116209,7.2
1977,Oct,58.4,54.1,1630797,1510705,120092,7.4
1977,Nov,58.6,54.2,1639295,1515864,123431,7.5
1977,Dec,58.7,54.2,1646915,1521158,125757,7.6
1978,Jan,58.9,54.4,1653280,1526600,126680,7.7
1978,Feb,59,54.5,1658304,1532120,126184,7.6
1978,Mar,59,54.6,1662127,1537683,124444,7.5
1978,Apr,59,54.7,1665075,1543303,121772,7.3
1978,May,59,54.8,1667548,1548990,118558,7.1
1978,Jun,58.9,54.9,1669619,1554561,115058,6.9
1978,Jul,58.9,55,1671163,1559652,111511,6.7
1978,Aug,58.8,55,1672168,1564110,108058,6.5
1978,Sep,58.7,55,1673075,1568245,104830,6.3
1978,Oct,58.7,55.1,1674793,1572845,101948,6.1
1978,Nov,58.6,55.2,1677787,1578073,99714,5.9
1978,Dec,58.7,55.2,1681702,1583251,98451,5.9
1979,Jan,58.7,55.3,1686136,1587769,98367,5.8
1979,Feb,58.8,55.3,1690966,1591436,99530,5.9
1979,Mar,58.8,55.3,1696194,1594135,102059,6
1979,Apr,58.9,55.2,1701742,1595825,105917,6.2
1979,May,59,55.2,1708189,1597591,110598,6.5
1979,Jun,59.2,55.2,1716342,1600858,115484,6.7
1979,Jul,59.4,55.3,1726439,1606758,119681,6.9
1979,Aug,59.6,55.4,1738019,1615414,122605,7.1
1979,Sep,59.9,55.7,1750063,1625838,124225,7.1
1979,Oct,60.2,55.9,1760954,1636517,124437,7.1
1979,Nov,60.3,56.1,1769447,1646020,123427,7
1979,Dec,60.4,56.2,1775044,1653058,121986,6.9
1980,Jan,60.3,56.2,1777343,1656635,120708,6.8
1980,Feb,60.1,56.1,1776694,1656961,119733,6.7
1980,Mar,59.9,55.9,1774359,1655470,118889,6.7
1980,Apr,59.7,55.7,1771777,1653934,117843,6.7
1980,May,59.6,55.6,1770519,1653605,116914,6.6
1980,Jun,59.5,55.6,1771898,1655187,116711,6.6
1980,Jul,59.5,55.6,1776489,1658877,117612,6.6
1980,Aug,59.7,55.7,1784225,1664297,119928,6.7
1980,Sep,59.9,55.8,1794228,1670676,123552,6.9
1980,Oct,60.2,55.9,1805058,1676924,128134,7.1
1980,Nov,60.4,56,1815765,1682706,133059,7.3
1980,Dec,60.6,56.1,1826049,1688551,137498,7.5
1981,Jan,60.9,56.2,1835619,1694415,141204,7.7
1981,Feb,61,56.3,1844049,1699588,144461,7.8
1981,Mar,61.2,56.3,1851267,1703708,147559,8
1981,Apr,61.2,56.3,1856869,1706311,150558,8.1
1981,May,61.2,56.2,1860028,1707033,152995,8.2
1981,Jun,61.1,56.1,1860713,1706073,154640,8.3
1981,Jul,61,55.9,1859735,1703779,155956,8.4
1981,Aug,60.9,55.7,1857927,1700474,157453,8.5
1981,Sep,60.7,55.5,1856341,1696746,159595,8.6
1981,Oct,60.6,55.3,1856121,1693316,162805,8.8
1981,Nov,60.5,55.1,1857119,1690199,166920,9
1981,Dec,60.5,54.9,1858988,1687532,171456,9.2
1982,Jan,60.4,54.7,1861712,1685914,175798,9.4
1982,Feb,60.4,54.6,1864877,1685356,179521,9.6
1982,Mar,60.4,54.5,1867615,1685146,182469,9.8
1982,Apr,60.4,54.4,1869812,1684929,184883,9.9
1982,May,60.3,54.3,1871323,1684154,187169,10
1982,Jun,60.2,54.1,1871570,1681998,189572,10.1
1982,Jul,60.1,53.9,1870447,1678282,192165,10.3
1982,Aug,59.9,53.7,1868535,1673548,194987,10.4
1982,Sep,59.8,53.4,1866665,1668477,198188,10.6
1982,Oct,59.7,53.2,1865699,1663650,202049,10.8
1982,Nov,59.6,53,1866528,1659832,206696,11.1
1982,Dec,59.6,52.8,1869020,1657142,211878,11.3
1983,Jan,59.6,52.7,1872974,1655596,217378,11.6
1983,Feb,59.7,52.6,1878630,1655971,222659,11.9
