Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,62.3,56.8,475639,433990,41649,8.8
1976,Feb,62.1,56.6,475595,433930,41665,8.8
1976,Mar,62,56.6,475697,434134,41563,8.7
1976,Apr,61.9,56.5,476036,434823,41213,8.7
1976,May,61.8,56.5,476408,435607,40801,8.6
1976,Jun,61.8,56.5,476771,436293,40478,8.5
1976,Jul,61.6,56.4,477028,436637,40391,8.5
1976,Aug,61.6,56.4,477300,436719,40581,8.5
1976,Sep,61.5,56.2,477675,436709,40966,8.6
1976,Oct,61.5,56.1,478254,436721,41533,8.7
1976,Nov,61.4,56,479045,436837,42208,8.8
1976,Dec,61.4,56,479906,437133,42773,8.9
1977,Jan,61.5,56,480715,437681,43034,9
1977,Feb,61.4,55.9,481378,438409,42969,8.9
1977,Mar,61.4,55.9,481778,439138,42640,8.9
1977,Apr,61.2,55.9,481844,439764,42080,8.7
1977,May,61.1,55.9,481532,440217,41315,8.6
1977,Jun,60.9,55.8,480887,440468,40419,8.4
1977,Jul,60.7,55.7,480034,440555,39479,8.2
1977,Aug,60.5,55.6,479154,440596,38558,8
1977,Sep,60.3,55.5,478420,440789,37631,7.9
1977,Oct,60.1,55.5,477895,441269,36626,7.7
1977,Nov,60,55.5,477591,442074,35517,7.4
1977,Dec,59.9,55.6,477461,443078,34383,7.2
1978,Jan,59.8,55.6,477478,444224,33254,7
1978,Feb,59.7,55.7,477685,445567,32118,6.7
1978,Mar,59.7,55.8,478247,447139,31108,6.5
1978,Apr,59.8,56,479238,448830,30408,6.3
1978,May,59.8,56,480665,450556,30109,6.3
1978,Jun,59.9,56.2,482411,452286,30125,6.2
1978,Jul,60.1,56.3,484304,453976,30328,6.3
1978,Aug,60.2,56.5,486159,455573,30586,6.3
1978,Sep,60.4,56.6,487773,456977,30796,6.3
1978,Oct,60.5,56.6,489144,458150,30994,6.3
1978,Nov,60.5,56.6,490327,459090,31237,6.4
1978,Dec,60.5,56.6,491389,459778,31611,6.4
1979,Jan,60.5,56.6,492253,460131,32122,6.5
1979,Feb,60.6,56.5,492899,460193,32706,6.6
1979,Mar,60.5,56.5,493374,460156,33218,6.7
1979,Apr,60.5,56.4,493870,460301,33569,6.8
1979,May,60.5,56.3,494673,460885,33788,6.8
1979,Jun,60.5,56.4,495880,461934,33946,6.8
1979,Jul,60.7,56.5,497462,463389,34073,6.8
1979,Aug,60.9,56.7,499318,465088,34230,6.9
1979,Sep,61.1,56.9,501274,466807,34467,6.9
1979,Oct,61.3,57,502937,468322,34615,6.9
1979,Nov,61.3,57.1,504112,469455,34657,6.9
1979,Dec,61.4,57.2,504859,470140,34719,6.9
1980,Jan,61.5,57.2,505405,470433,34972,6.9
1980,Feb,61.5,57.1,505790,470257,35533,7
1980,Mar,61.5,57.1,505948,469557,36391,7.2
1980,Apr,61.4,56.9,505938,468471,37467,7.4
1980,May,61.3,56.6,505815,467226,38589,7.6
1980,Jun,61.2,56.4,505718,466175,39543,7.8
1980,Jul,61.2,56.4,505709,465534,40175,7.9
1980,Aug,61.2,56.3,505821,465366,40455,8
1980,Sep,61.1,56.2,506054,465609,40445,8
1980,Oct,61.1,56.2,506426,466121,40305,8
1980,Nov,61.1,56.2,506857,466814,40043,7.9
1980,Dec,61.1,56.3,507194,467641,39553,7.8
1981,Jan,61.1,56.4,507450,468483,38967,7.7
1981,Feb,61,56.4,507769,469422,38347,7.6
1981,Mar,61,56.5,508261,470609,37652,7.4
1981,Apr,61,56.6,508770,471852,36918,7.3
1981,May,61.1,56.7,509193,472916,36277,7.1
1981,Jun,61,56.7,509580,473665,35915,7
1981,Jul,61,56.7,510029,474075,35954,7
1981,Aug,61,56.7,510537,474191,36346,7.1
1981,Sep,61.1,56.6,511096,474099,36997,7.2
1981,Oct,61.1,56.5,511747,473878,37869,7.4
1981,Nov,61.2,56.5,512454,473539,38915,7.6
1981,Dec,61.2,56.4,513261,473215,40046,7.8
1982,Jan,61.3,56.4,514155,473134,41021,8
1982,Feb,61.3,56.3,515136,473296,41840,8.1
1982,Mar,61.4,56.3,516143,473526,42617,8.3
1982,Apr,61.5,56.3,517117,473890,43227,8.4
1982,May,61.5,56.3,517974,474389,43585,8.4
1982,Jun,61.6,56.4,518601,474867,43734,8.4
1982,Jul,61.6,56.4,518996,475246,43750,8.4
1982,Aug,61.5,56.3,519351,475590,43761,8.4
1982,Sep,61.5,56.3,519964,476046,43918,8.4
1982,Oct,61.6,56.4,521017,476741,44276,8.5
1982,Nov,61.7,56.4,522553,477784,44769,8.6
1982,Dec,61.8,56.5,524473,479114,45359,8.6
1983,Jan,62.1,56.7,526547,480569,45978,8.7
1983,Feb,62.3,56.8,528599,482121,46478,8.8
1983,Mar,62.4,56.9,530586,483827,46759,8.8
1983,Apr,62.6,57.1,532554,485713,46841,8.8
1983,May,62.7,57.2,534423,487757,46666,8.7
1983,Jun,62.9,57.4,536114,489976,46138,8.6
1983,Jul,63,57.6,537600,492301,45299,8.4
1983,Aug,63,57.8,538819,494569,44250,8.2
1983,Sep,63.1,58,539733,496698,43035,8
1983,Oct,63.1,58.2,540480,498755,41725,7.7
1983,Nov,63.1,58.4,541249,500824,40425,7.5
1983,Dec,63.1,58.6,542173,502990,39183,7.2
1984,Jan,63.2,58.8,543335,505345,37990,7
1984,Feb,63.3,59,544746,507864,36882,6.8
1984,Mar,63.4,59.2,546275,510354,35921,6.6
1984,Apr,63.5,59.4,547660,512474,35186,6.4
1984,May,63.5,59.5,548664,513994,34670,6.3
1984,Jun,63.5,59.5,549130,514869,34261,6.2
1984,Jul,63.4,59.5,549048,515228,33820,6.2
1984,Aug,63.3,59.4,548624,515376,33248,6.1
1984,Sep,63.2,59.4,548209,515600,32609,5.9
1984,Oct,63.2,59.5,548145,516121,32024,5.8
1984,Nov,63.1,59.5,548699,517049,31650,5.8
1984,Dec,63.2,59.6,549830,518298,31532,5.7
1985,Jan,63.3,59.7,551145,519562,31583,5.7
1985,Feb,63.4,59.8,552086,520448,31638,5.7
1985,Mar,63.3,59.7,552214,520731,31483,5.7
1985,Apr,63.2,59.6,551550,520525,31025,5.6
1985,May,63,59.5,550519,520161,30358,5.5
1985,Jun,62.9,59.5,549646,519937,29709,5.4
1985,Jul,62.8,59.4,549363,520094,29269,5.3
1985,Aug,62.8,59.4,549921,520763,29158,5.3
1985,Sep,62.9,59.6,551248,521900,29348,5.3
1985,Oct,63.1,59.7,552959,523299,29660,5.4
1985,Nov,63.2,59.8,554635,524691,29944,5.4
1985,Dec,63.3,59.9,555982,525862,30120,5.4
1986,Jan,63.4,59.9,556936,526779,30157,5.4
1986,Feb,63.4,60,557685,527617,30068,5.4
1986,Mar,63.5,60.1,558502,528564,29938,5.4
1986,Apr,63.5,60.1,559548,529685,29863,5.3
1986,May,63.6,60.2,560781,530923,29858,5.3
1986,Jun,63.7,60.3,562111,532210,29901,5.3
1986,Jul,63.8,60.4,563434,533480,29954,5.3
1986,Aug,63.9,60.5,564603,534672,29931,5.3
1986,Sep,63.8,60.5,565566,535801,29765,5.3
1986,Oct,63.9,60.5,566437,537003,29434,5.2
1986,Nov,63.9,60.6,567339,538447,28892,5.1
1986,Dec,63.9,60.8,568506,540359,28147,5
1987,Jan,64,60.9,570225,542822,27403,4.8
1987,Feb,64.2,61.2,572464,545727,26737,4.7
1987,Mar,64.4,61.5,575128,548968,26160,4.5
1987,Apr,64.7,61.8,578210,552463,25747,4.5
1987,May,64.9,62.1,581622,556072,25550,4.4
1987,Jun,65.2,62.4,585118,559571,25547,4.4
1987,Jul,65.5,62.7,588366,562733,25633,4.4
1987,Aug,65.7,62.8,591069,565388,25681,4.3
1987,Sep,65.8,63,593003,567476,25527,4.3
1987,Oct,65.8,63,594044,568953,25091,4.2
1987,Nov,65.7,63,594274,569907,24367,4.1
1987,Dec,65.6,63,593912,570487,23425,3.9
1988,Jan,65.4,62.9,593268,570875,22393,3.8
1988,Feb,65.2,62.9,592874,571355,21519,3.6
1988,Mar,65.2,62.9,593120,572067,21053,3.5
1988,Apr,65.1,62.8,593965,572975,20990,3.5
1988,May,65.2,62.9,595332,574057,21275,3.6
1988,Jun,65.3,62.9,597172,575387,21785,3.6
1988,Jul,65.4,63,599303,576976,22327,3.7
1988,Aug,65.6,63.1,601405,578693,22712,3.8
1988,Sep,65.7,63.2,603165,580368,22797,3.8
1988,Oct,65.8,63.3,604354,581877,22477,3.7
1988,Nov,65.8,63.4,604936,583125,21811,3.6
1988,Dec,65.7,63.4,605119,584051,21068,3.5
1989,Jan,65.6,63.4,605279,584732,20547,3.4
1989,Feb,65.6,63.4,605767,585224,20543,3.4
1989,Mar,65.7,63.4,606864,585693,21171,3.5
1989,Apr,65.8,63.4,608742,586403,22339,3.7
1989,May,66,63.4,611235,587441,23794,3.9
1989,Jun,66.2,63.5,613915,588696,25219,4.1
1989,Jul,66.4,63.6,616414,590031,26383,4.3
1989,Aug,66.6,63.7,618585,591414,27171,4.4
1989,Sep,66.7,63.7,620413,592811,27602,4.4
1989,Oct,66.8,63.8,622015,594205,27810,4.5
1989,Nov,66.9,63.9,623498,595590,27908,4.5
1989,Dec,67,64,624902,596968,27934,4.5
1990,Jan,67.2,64.2,626301,598373,27928,4.5
