Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,64.5,60.3,1905561,1781850,123711,6.5
1976,Feb,64.4,60.2,1904839,1781465,123374,6.5
1976,Mar,64.3,60.1,1904177,1781135,123042,6.5
1976,Apr,64.2,60.1,1905507,1781610,123897,6.5
1976,May,64.2,60,1908475,1783003,125472,6.6
1976,Jun,64.3,60,1912938,1785651,127287,6.7
1976,Jul,64.4,60,1917430,1788622,128808,6.7
1976,Aug,64.4,60,1921043,1791765,129278,6.7
1976,Sep,64.4,60.1,1924391,1795002,129389,6.7
1976,Oct,64.4,60.1,1928737,1798409,130328,6.8
1976,Nov,64.5,60.1,1934119,1802323,131796,6.8
1976,Dec,64.6,60.2,1940048,1807161,132887,6.8
1977,Jan,64.7,60.3,1946311,1813119,133192,6.8
1977,Feb,64.8,60.4,1952130,1819863,132267,6.8
1977,Mar,64.9,60.6,1956482,1826574,129908,6.6
1977,Apr,64.9,60.7,1959080,1832788,126292,6.4
1977,May,64.8,60.8,1960743,1838453,122290,6.2
1977,Jun,64.8,60.9,1963111,1843863,119248,6.1
1977,Jul,64.9,61,1967973,1849700,118273,6
1977,Aug,65.1,61.1,1975793,1856446,119347,6
1977,Sep,65.3,61.3,1984662,1863976,120686,6.1
1977,Oct,65.4,61.5,1992736,1871736,121000,6.1
1977,Nov,65.6,61.6,1999582,1879255,120327,6
1977,Dec,65.7,61.8,2005149,1886348,118801,5.9
1978,Jan,65.8,62,2009684,1893274,116410,5.8
1978,Feb,65.8,62.1,2014163,1900364,113799,5.6
1978,Mar,65.9,62.3,2019750,1907834,111916,5.5
1978,Apr,66.1,62.4,2026691,1915585,111106,5.5
1978,May,66.2,62.6,2034586,1923421,111165,5.5
1978,Jun,66.4,62.8,2042412,1931119,111293,5.4
1978,Jul,66.5,62.9,2049513,1938292,111221,5.4
1978,Aug,66.7,63.1,2055978,1944678,111300,5.4
1978,Sep,66.8,63.2,2062526,1950340,112186,5.4
1978,Oct,67,63.3,2069366,1955593,113773,5.5
1978,Nov,67.1,63.4,2076372,1960553,115819,5.6
1978,Dec,67.3,63.5,2083214,1964984,118230,5.7
1979,Jan,67.4,63.5,2089611,1969034,120577,5.8
1979,Feb,67.5,63.6,2095269,1973146,122123,5.8
1979,Mar,67.6,63.7,2100091,1977437,122654,5.8
1979,Apr,67.7,63.8,2104520,1981809,122711,5.8
1979,May,67.8,63.8,2108803,1986099,122704,5.8
1979,Jun,67.8,63.9,2112826,1989907,122919,5.8
1979,Jul,67.9,63.9,2116249,1993203,123046,5.8
1979,Aug,67.9,64,2119053,1996136,122917,5.8
1979,Sep,68,64,2121485,1998924,122561,5.8
1979,Oct,68,64.1,2123593,2001712,121881,5.7
1979,Nov,68,64.1,2125675,2004417,121258,5.7
1979,Dec,68.1,64.2,2128322,2006767,121555,5.7
1980,Jan,68.1,64.2,2131570,2007990,123580,5.8
1980,Feb,68.2,64.1,2135312,2007631,127681,6
