Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,64.7,58.1,2715161,2435124,280037,10.3
1976,Feb,64.7,58,2714974,2434220,280754,10.3
1976,Mar,64.6,58,2715650,2435324,280326,10.3
1976,Apr,64.6,58.1,2717527,2441683,275844,10.2
1976,May,64.6,58.2,2719627,2450016,269611,9.9
1976,Jun,64.7,58.4,2721925,2459155,262770,9.7
1976,Jul,64.6,58.6,2723542,2467055,256487,9.4
1976,Aug,64.6,58.7,2724895,2473326,251569,9.2
1976,Sep,64.6,58.7,2726270,2478825,247445,9.1
1976,Oct,64.6,58.8,2727715,2483762,243953,8.9
1976,Nov,64.6,58.9,2729521,2488634,240887,8.8
1976,Dec,64.6,59,2732178,2494193,237985,8.7
1977,Jan,64.6,59.1,2736372,2501143,235229,8.6
1977,Feb,64.7,59.2,2741918,2509691,232227,8.5
1977,Mar,64.8,59.4,2748044,2519277,228767,8.3
1977,Apr,64.9,59.6,2754308,2529103,225205,8.2
1977,May,65,59.7,2759927,2538267,221660,8
1977,Jun,65,59.9,2764312,2546166,218146,7.9
1977,Jul,65,60,2767582,2553077,214505,7.8
1977,Aug,65,60.1,2770477,2560004,210473,7.6
1977,Sep,65.1,60.2,2773738,2567798,205940,7.4
1977,Oct,65.1,60.4,2777470,2576525,200945,7.2
1977,Nov,65.1,60.6,2781371,2585669,195702,7
1977,Dec,65.2,60.7,2785021,2594434,190587,6.8
1978,Jan,65.2,60.9,2788534,2602710,185824,6.7
1978,Feb,65.2,61,2792371,2610452,181919,6.5
1978,Mar,65.3,61.1,2796729,2617592,179137,6.4
1978,Apr,65.3,61.2,2801362,2624190,177172,6.3
1978,May,65.4,61.3,2806240,2630614,175626,6.3
1978,Jun,65.5,61.4,2811159,2637168,173991,6.2
1978,Jul,65.5,61.5,2815937,2643536,172401,6.1
1978,Aug,65.5,61.6,2820487,2649325,171162,6.1
1978,Sep,65.6,61.7,2824969,2654730,170239,6
1978,Oct,65.7,61.7,2830160,2660490,169670,6
1978,Nov,65.8,61.8,2836186,2666707,169479,6
1978,Dec,65.8,61.9,2841893,2672539,169354,6
1979,Jan,65.9,62,2846200,2677304,168896,5.9
1979,Feb,65.9,62,2848588,2681244,167344,5.9
1979,Mar,65.8,62,2849066,2684716,164350,5.8
1979,Apr,65.8,62.1,2848602,2688045,160557,5.6
1979,May,65.7,62.1,2848475,2691596,156879,5.5
1979,Jun,65.7,62.1,2849080,2694969,154111,5.4
1979,Jul,65.7,62.1,2850741,2698301,152440,5.3
1979,Aug,65.7,62.2,2853371,2701559,151812,5.3
1979,Sep,65.7,62.2,2856326,2704332,151994,5.3
1979,Oct,65.7,62.2,2858732,2706446,152286,5.3
1979,Nov,65.7,62.2,2860145,2707986,152159,5.3
1979,Dec,65.7,62.2,2860694,2708829,151865,5.3
1980,Jan,65.6,62.2,2860287,2708207,152080,5.3
1980,Feb,65.6,62.1,2859235,2705679,153556,5.4
1980,Mar,65.5,61.9,2858359,2701843,156516,5.5
1980,Apr,65.5,61.8,2857966,2697887,160079,5.6
1980,May,65.4,61.7,2858502,2695062,163440,5.7
1980,Jun,65.4,61.6,2860928,2694852,166076,5.8
1980,Jul,65.5,61.6,2864854,2697568,167286,5.8
1980,Aug,65.5,61.7,2869537,2702628,166909,5.8
1980,Sep,65.6,61.8,2874639,2709016,165623,5.8
1980,Oct,65.6,61.9,2879871,2715390,164481,5.7
1980,Nov,65.7,62,2885769,2721564,164205,5.7
1980,Dec,65.8,62.1,2893417,2728419,164998,5.7
1981,Jan,66,62.2,2902770,2736104,166666,5.7
1981,Feb,66.2,62.3,2912857,2743730,169127,5.8
1981,Mar,66.3,62.4,2922971,2750614,172357,5.9
1981,Apr,66.5,62.5,2932106,2755749,176357,6
1981,May,66.6,62.5,2939240,2758330,180910,6.2
1981,Jun,66.6,62.4,2944417,2758620,185797,6.3
1981,Jul,66.7,62.4,2948245,2757117,191128,6.5
1981,Aug,66.7,62.3,2951512,2754619,196893,6.7
1981,Sep,66.8,62.2,2954963,2752172,202791,6.9
1981,Oct,66.8,62.1,2959062,2750491,208571,7
1981,Nov,66.9,62.1,2963182,2749245,213937,7.2
1981,Dec,67,62,2967253,2748489,218764,7.4
1982,Jan,67,62,2971809,2748885,222924,7.5
1982,Feb,67.1,62,2976886,2750485,226401,7.6
1982,Mar,67.2,62.1,2981766,2752584,229182,7.7
1982,Apr,67.3,62.1,2986216,2754878,231338,7.7
1982,May,67.3,62.1,2989876,2757151,232725,7.8
1982,Jun,67.4,62.1,2992029,2758733,233296,7.8
1982,Jul,67.4,62.1,2992893,2759529,233364,7.8
1982,Aug,67.3,62.1,2992836,2759797,233039,7.8
1982,Sep,67.3,62,2991885,2759600,232285,7.8
1982,Oct,67.2,62,2990275,2759041,231234,7.7
1982,Nov,67.1,61.9,2988264,2758373,229891,7.7
1982,Dec,67,61.9,2985076,2757157,227919,7.6
1983,Jan,66.9,61.8,2980912,2755581,225331,7.6
1983,Feb,66.8,61.8,2977257,2755279,221978,7.5
1983,Mar,66.7,61.8,2975305,2757568,217737,7.3
1983,Apr,66.7,61.9,2976282,2763236,213046,7.2
1983,May,66.7,62.1,2980657,2772163,208494,7
1983,Jun,66.8,62.3,2987874,2783585,204289,6.8
1983,Jul,67,62.5,2996797,2796519,200278,6.7
1983,Aug,67.2,62.8,3005808,2809374,196434,6.5
1983,Sep,67.3,63,3013543,2820908,192635,6.4
1983,Oct,67.3,63.1,3019157,2830725,188432,6.2
1983,Nov,67.4,63.3,3022719,2838914,183805,6.1
1983,Dec,67.4,63.4,3025251,2846466,178785,5.9
1984,Jan,67.4,63.5,3027792,2854744,173048,5.7
1984,Feb,67.4,63.7,3030734,2864145,166589,5.5
1984,Mar,67.4,63.9,3034187,2874179,160008,5.3
1984,Apr,67.4,64,3037500,2883837,153663,5.1
1984,May,67.4,64.2,3040175,2892256,147919,4.9
1984,Jun,67.4,64.3,3041740,2898730,143010,4.7
1984,Jul,67.4,64.3,3041800,2902853,138947,4.6
1984,Aug,67.3,64.3,3040770,2905144,135626,4.5
1984,Sep,67.3,64.3,3039445,2906549,132896,4.4
1984,Oct,67.2,64.3,3038871,2908351,130520,4.3
1984,Nov,67.2,64.4,3039946,2911813,128133,4.2
1984,Dec,67.3,64.5,3042721,2916951,125770,4.1
1985,Jan,67.3,64.6,3046152,2922301,123851,4.1
1985,Feb,67.4,64.7,3049047,2926412,122635,4
1985,Mar,67.4,64.7,3050746,2928763,121983,4
1985,Apr,67.4,64.7,3051132,2929535,121597,4
1985,May,67.3,64.7,3050588,2929268,121320,4
1985,Jun,67.3,64.6,3049883,2928817,121066,4
1985,Jul,67.3,64.6,3049657,2928848,120809,4
1985,Aug,67.3,64.6,3050590,2930200,120390,3.9
1985,Sep,67.3,64.6,3052701,2932914,119787,3.9
1985,Oct,67.3,64.7,3055180,2936024,119156,3.9
1985,Nov,67.3,64.7,3056986,2938430,118556,3.9
1985,Dec,67.3,64.7,3057632,2939468,118164,3.9
1986,Jan,67.2,64.6,3057504,2939318,118186,3.9
1986,Feb,67.2,64.6,3057365,2938739,118626,3.9
1986,Mar,67.1,64.5,3057678,2938338,119340,3.9
1986,Apr,67.1,64.5,3058795,2938532,120263,3.9
1986,May,67.1,64.5,3060840,2939658,121182,4
1986,Jun,67.2,64.5,3063832,2941973,121859,4
1986,Jul,67.2,64.5,3067367,2945347,122020,4
1986,Aug,67.2,64.6,3070548,2949087,121461,4
1986,Sep,67.3,64.6,3073020,2952811,120209,3.9
1986,Oct,67.3,64.7,3075023,2956547,118476,3.9
1986,Nov,67.3,64.7,3076627,2960006,116621,3.8
1986,Dec,67.3,64.8,3078412,2963616,114796,3.7
1987,Jan,67.3,64.8,3080517,2967597,112920,3.7
1987,Feb,67.3,64.9,3082625,2971673,110952,3.6
1987,Mar,67.4,65,3084653,2975903,108750,3.5
1987,Apr,67.4,65,3086410,2980370,106040,3.4
1987,May,67.4,65.1,3087890,2985087,102803,3.3
1987,Jun,67.4,65.2,3089409,2990072,99337,3.2
1987,Jul,67.4,65.3,3091639,2995492,96147,3.1
1987,Aug,67.4,65.4,3095139,3001302,93837,3
1987,Sep,67.5,65.5,3100179,3007417,92762,3
1987,Oct,67.6,65.6,3106271,3013346,92925,3
1987,Nov,67.7,65.7,3112936,3018929,94007,3
1987,Dec,67.8,65.7,3119105,3023595,95510,3.1
1988,Jan,67.9,65.8,3124068,3027096,96972,3.1
1988,Feb,67.9,65.8,3127986,3029828,98158,3.1
1988,Mar,68,65.8,3130894,3031884,99010,3.2
1988,Apr,68,65.8,3133219,3033574,99645,3.2
1988,May,68,65.8,3135481,3035301,100180,3.2
1988,Jun,68,65.8,3138041,3037261,100780,3.2
1988,Jul,68.1,65.9,3141178,3039485,101693,3.2
1988,Aug,68.1,65.9,3145041,3041985,103056,3.3
1988,Sep,68.2,66,3149355,3044637,104718,3.3
1988,Oct,68.3,66,3153665,3047280,106385,3.4
1988,Nov,68.4,66.1,3157723,3049682,108041,3.4
1988,Dec,68.5,66.1,3161312,3051534,109778,3.5
1989,Jan,68.5,66.1,3164383,3052664,111719,3.5
1989,Feb,68.6,66.1,3166818,3052799,114019,3.6
1989,Mar,68.6,66.1,3169212,3052392,116820,3.7
1989,Apr,68.7,66.1,3171743,3051541,120202,3.8
1989,May,68.7,66,3174207,3050054,124153,3.9
1989,Jun,68.8,66,3176582,3047981,128601,4
1989,Jul,68.8,65.9,3178348,3045125,133223,4.2
1989,Aug,68.8,65.9,3179368,3041667,137701,4.3
1989,Sep,68.9,65.8,3180320,3038252,142068,4.5
1989,Oct,68.9,65.7,3182335,3035814,146521,4.6
1989,Nov,69,65.7,3185799,3034507,151292,4.7
1989,Dec,69.1,65.7,3190800,3034102,156698,4.9
1990,Jan,68,64.6,3196828,3034108,162720,5.1
1990,Feb,68.1,64.5,3202665,3033607,169058,5.3
1990,Mar,68.1,64.4,3207107,3031505,175602,5.5
1990,Apr,68.1,64.3,3209594,3027271,182323,5.7
1990,May,68.1,64,3210320,3021203,189117,5.9
1990,Jun,68,63.8,3209543,3013562,195981,6.1
1990,Jul,67.9,63.6,3208304,3005074,203230,6.3
1990,Aug,68,63.5,3207223,2996080,211143,6.6
1990,Sep,68,63.3,3205957,2986249,219708,6.9
1990,Oct,67.9,63.1,3204235,2975395,228840,7.1
1990,Nov,67.9,62.9,3202367,2964342,238025,7.4
1990,Dec,67.9,62.7,3200585,2953849,246736,7.7
1991,Jan,67.9,62.5,3199020,2944138,254882,8
1991,Feb,68,62.4,3198266,2935928,262338,8.2
1991,Mar,68,62.3,3198048,2929264,268784,8.4
1991,Apr,68.1,62.2,3198131,2924077,274054,8.6
1991,May,68.1,62.2,3198490,2920324,278166,8.7
1991,Jun,68.1,62.2,3198792,2917711,281081,8.8
1991,Jul,68.2,62.2,3198378,2915676,282702,8.8
1991,Aug,68.2,62.1,3196914,2913865,283049,8.9
1991,Sep,68.1,62.1,3194515,2912210,282305,8.8
1991,Oct,68,62,3191275,2910521,280754,8.8
1991,Nov,68,62,3187489,2908712,278777,8.7
1991,Dec,67.9,62,3183549,2906892,276657,8.7
1992,Jan,67.8,62,3180284,2905549,274735,8.6
1992,Feb,67.8,62,3178323,2904821,273502,8.6
1992,Mar,67.8,62,3178222,2905170,273052,8.6
1992,Apr,67.9,62,3179921,2906657,273264,8.6
1992,May,67.9,62.1,3182119,2908477,273642,8.6
1992,Jun,68,62.1,3183687,2910172,273515,8.6
1992,Jul,68,62.2,3184330,2911804,272526,8.6
1992,Aug,68,62.2,3183881,2913452,270429,8.5
1992,Sep,67.9,62.2,3182361,2915147,267214,8.4
1992,Oct,67.8,62.2,3180364,2917253,263111,8.3
1992,Nov,67.8,62.3,3178196,2919733,258463,8.1
1992,Dec,67.7,62.3,3176262,2922774,253488,8
1993,Jan,67.7,62.4,3174904,2926740,248164,7.8
1993,Feb,67.7,62.5,3173949,2931505,242444,7.6
1993,Mar,67.7,62.6,3173398,2936862,236536,7.5
1993,Apr,67.7,62.7,3173055,2942451,230604,7.3
1993,May,67.7,62.9,3172812,2947748,225064,7.1
1993,Jun,67.6,62.9,3172737,2952391,220346,6.9
1993,Jul,67.6,63,3172466,2956145,216321,6.8
1993,Aug,67.6,63.1,3172387,2959417,212970,6.7
1993,Sep,67.6,63.1,3173492,2963148,210344,6.6
1993,Oct,67.6,63.1,3175986,2967624,208362,6.6
1993,Nov,67.6,63.2,3179520,2972495,207025,6.5
1993,Dec,67.7,63.3,3183527,2977514,206013,6.5
1994,Jan,67.7,63.4,3187092,2982298,204794,6.4
1994,Feb,67.8,63.5,3189369,2986360,203009,6.4
1994,Mar,67.8,63.5,3190196,2989483,200713,6.3
1994,Apr,67.8,63.6,3190265,2992191,198074,6.2
1994,May,67.8,63.6,3190923,2995577,195346,6.1
1994,Jun,67.8,63.7,3193210,3000287,192923,6
1994,Jul,67.9,63.8,3197602,3006463,191139,6
1994,Aug,67.9,63.9,3203481,3013604,189877,5.9
1994,Sep,68,64,3209560,3020877,188683,5.9
1994,Oct,68.1,64.1,3214574,3027616,186958,5.8
1994,Nov,68.1,64.2,3218021,3033524,184497,5.7
1994,Dec,68.1,64.2,3219418,3037759,181659,5.6
1995,Jan,68,64.2,3218615,3039715,178900,5.6
1995,Feb,68,64.2,3216660,3040132,176528,5.5
1995,Mar,67.9,64.2,3214614,3039883,174731,5.4
1995,Apr,67.8,64.1,3213019,3039510,173509,5.4
1995,May,67.7,64.1,3212440,3039754,172686,5.4
1995,Jun,67.7,64.1,3212984,3041126,171858,5.3
