Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,61.7,55.6,3959251,3568988,390263,9.9
1976,Feb,61.6,55.5,3957748,3566516,391232,9.9
1976,Mar,61.6,55.5,3959594,3567979,391615,9.9
1976,Apr,61.7,55.6,3969449,3580904,388545,9.8
1976,May,61.8,55.9,3982406,3599367,383039,9.6
1976,Jun,62,56.1,3996173,3620055,376118,9.4
1976,Jul,62.1,56.4,4007046,3637730,369316,9.2
1976,Aug,62.1,56.5,4014317,3650144,364173,9.1
1976,Sep,62.1,56.5,4019823,3658709,361114,9
1976,Oct,62.1,56.6,4025048,3664565,360483,9
1976,Nov,62.2,56.6,4030981,3669679,361302,9
1976,Dec,62.2,56.6,4037844,3676377,361467,9
1977,Jan,62.2,56.7,4046562,3686679,359883,8.9
1977,Feb,62.3,56.9,4056627,3700838,355789,8.8
1977,Mar,62.4,57,4066758,3716881,349877,8.6
1977,Apr,62.5,57.2,4077260,3733183,344077,8.4
1977,May,62.6,57.4,4088355,3749088,339267,8.3
1977,Jun,62.7,57.6,4100553,3764049,336504,8.2
1977,Jul,62.8,57.7,4114470,3778745,335725,8.2
1977,Aug,63,57.9,4129718,3794421,335297,8.1
1977,Sep,63.2,58.1,4144399,3811069,333330,8
1977,Oct,63.3,58.3,4155637,3827163,328474,7.9
1977,Nov,63.3,58.4,4162597,3841830,320767,7.7
1977,Dec,63.3,58.5,4166367,3854673,311694,7.5
1978,Jan,63.2,58.7,4169021,3866844,302177,7.2
1978,Feb,63.2,58.8,4172557,3878842,293715,7
1978,Mar,63.2,58.9,4178021,3889834,288187,6.9
1978,Apr,63.3,58.9,4185118,3899214,285904,6.8
1978,May,63.3,59,4193157,3907083,286074,6.8
1978,Jun,63.4,59,4200891,3913720,287171,6.8
1978,Jul,63.4,59,4208185,3918966,289219,6.9
1978,Aug,63.4,59,4216022,3923561,292461,6.9
1978,Sep,63.5,59.1,4225542,3929790,295752,7
1978,Oct,63.6,59.2,4238487,3939856,298631,7
1978,Nov,63.8,59.3,4254688,3952888,301800,7.1
1978,Dec,64,59.4,4270972,3965614,305358,7.1
1979,Jan,64.1,59.5,4284035,3975332,308703,7.2
1979,Feb,64.2,59.5,4292133,3982060,310073,7.2
1979,Mar,64.2,59.5,4295722,3986200,309522,7.2
1979,Apr,64.1,59.5,4296743,3987304,309439,7.2
1979,May,64,59.4,4298107,3985641,312466,7.3
1979,Jun,64,59.3,4300459,3981094,319365,7.4
1979,Jul,64,59.1,4303437,3974854,328583,7.6
1979,Aug,64,59,4306901,3967435,339466,7.9
1979,Sep,64,58.8,4310759,3958126,352633,8.2
1979,Oct,64,58.6,4313919,3947190,366729,8.5
1979,Nov,64,58.3,4314777,3934367,380410,8.8
1979,Dec,63.9,58,4313929,3917534,396395,9.2
