Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,60.3,56.7,2088814,1963951,124863,6
1976,Feb,60.2,56.6,2087305,1962686,124619,6
1976,Mar,60.1,56.5,2087996,1963435,124561,6
1976,Apr,60.3,56.7,2095946,1970155,125791,6
1976,May,60.5,56.9,2107426,1979762,127664,6.1
1976,Jun,60.8,57.1,2120593,1990642,129951,6.1
1976,Jul,61.1,57.3,2132641,2000098,132543,6.2
1976,Aug,61.3,57.5,2142316,2006941,135375,6.3
1976,Sep,61.5,57.5,2150007,2011687,138320,6.4
1976,Oct,61.6,57.5,2155677,2014721,140956,6.5
1976,Nov,61.6,57.6,2159828,2017377,142451,6.6
1976,Dec,61.7,57.6,2163567,2021522,142045,6.6
1977,Jan,61.7,57.7,2169076,2028693,140383,6.5
1977,Feb,61.9,58,2177301,2038976,138325,6.4
1977,Mar,62.1,58.2,2187601,2050903,136698,6.2
1977,Apr,62.4,58.5,2199105,2063173,135932,6.2
1977,May,62.6,58.8,2210554,2074618,135936,6.1
1977,Jun,62.9,59,2220906,2084446,136460,6.1
1977,Jul,63,59.2,2229405,2092990,136415,6.1
1977,Aug,63.1,59.3,2236129,2101127,135002,6
1977,Sep,63.2,59.5,2241727,2109220,132507,5.9
1977,Oct,63.3,59.6,2246311,2116560,129751,5.8
1977,Nov,63.3,59.7,2250156,2122347,127809,5.7
1977,Dec,63.3,59.8,2253009,2126018,126991,5.6
1978,Jan,63.3,59.8,2254557,2128489,126068,5.6
1978,Feb,63.3,59.8,2255062,2130805,124257,5.5
1978,Mar,63.2,59.8,2254714,2133235,121479,5.4
1978,Apr,63.1,59.8,2253329,2135548,117781,5.2
1978,May,62.9,59.8,2251359,2137812,113547,5
1978,Jun,62.8,59.8,2249517,2140258,109259,4.9
1978,Jul,62.7,59.8,2248702,2142742,105960,4.7
1978,Aug,62.7,59.8,2249466,2145593,103873,4.6
1978,Sep,62.7,59.9,2252126,2149837,102289,4.5
1978,Oct,62.8,60,2257129,2156490,100639,4.5
1978,Nov,62.9,60.2,2263761,2164895,98866,4.4
1978,Dec,63.1,60.3,2270000,2172552,97448,4.3
1979,Jan,63.1,60.4,2273989,2176998,96991,4.3
1979,Feb,63.1,60.4,2274965,2177792,97173,4.3
1979,Mar,63,60.3,2273843,2175946,97897,4.3
1979,Apr,62.9,60.2,2272439,2172734,99705,4.4
1979,May,62.9,60,2272418,2169808,102610,4.5
1979,Jun,62.9,59.9,2274045,2167748,106297,4.7
1979,Jul,62.9,59.8,2277316,2167139,110177,4.8
1979,Aug,63,59.8,2282041,2167871,114170,5
1979,Sep,63,59.8,2287359,2168934,118425,5.2
1979,Oct,63.1,59.7,2292215,2169529,122686,5.4
1979,Nov,63.1,59.6,2295672,2169229,126443,5.5
1979,Dec,63.1,59.5,2297685,2167641,130044,5.7
1980,Jan,63.1,59.4,2298482,2163901,134581,5.9
1980,Feb,63,59.1,2298451,2157488,140963,6.1
1980,Mar,62.9,58.8,2298603,2149178,149425,6.5
1980,Apr,62.9,58.6,2299462,2140626,158836,6.9
1980,May,62.9,58.3,2301261,2133304,167957,7.3
1980,Jun,62.9,58.2,2304536,2128940,175596,7.6
1980,Jul,63,58.1,2308303,2127957,180346,7.8
1980,Aug,63.1,58.1,2311276,2129526,181750,7.9
1980,Sep,63.1,58.2,2313114,2132473,180641,7.8
1980,Oct,63,58.2,2313757,2135311,178446,7.7
1980,Nov,63,58.2,2314553,2137930,176623,7.6
1980,Dec,63.1,58.3,2317589,2141710,175879,7.6
1981,Jan,63.2,58.4,2322791,2146879,175912,7.6
1981,Feb,63.3,58.5,2328244,2152344,175900,7.6
1981,Mar,63.3,58.6,2331836,2157213,174623,7.5
1981,Apr,63.3,58.6,2331986,2160029,171957,7.4
1981,May,63.2,58.6,2328680,2159674,169006,7.3
1981,Jun,63,58.5,2323564,2156426,167138,7.2
1981,Jul,62.8,58.3,2318620,2150785,167835,7.2
1981,Aug,62.7,58.1,2315111,2143634,171477,7.4
1981,Sep,62.7,57.9,2313582,2136244,177338,7.7
1981,Oct,62.7,57.7,2314213,2129745,184468,8
1981,Nov,62.7,57.5,2315399,2124132,191267,8.3
1981,Dec,62.7,57.4,2315844,2119743,196101,8.5
1982,Jan,62.7,57.3,2316002,2117621,198381,8.6
1982,Feb,62.7,57.3,2317147,2117948,199199,8.6
1982,Mar,62.7,57.3,2319543,2119654,199889,8.6
1982,Apr,62.8,57.4,2323259,2122019,201240,8.7
1982,May,62.9,57.4,2327343,2123934,203409,8.7
1982,Jun,63,57.4,2330058,2123479,206579,8.9
1982,Jul,63,57.3,2331250,2119916,211334,9.1
1982,Aug,63,57.1,2331408,2113765,217643,9.3
1982,Sep,62.9,56.8,2330672,2106027,224645,9.6
1982,Oct,62.8,56.6,2329435,2098105,231330,9.9
1982,Nov,62.8,56.4,2328802,2091659,237143,10.2
1982,Dec,62.7,56.2,2328723,2087086,241637,10.4
1983,Jan,62.7,56.1,2329296,2084532,244764,10.5
1983,Feb,62.7,56.1,2331375,2084823,246552,10.6
1983,Mar,62.8,56.1,2335107,2087997,247110,10.6
1983,Apr,62.9,56.3,2340785,2094103,246682,10.5
1983,May,63,56.5,2347924,2102799,245125,10.4
1983,Jun,63.2,56.7,2355634,2113558,242076,10.3
1983,Jul,63.4,57,2363021,2125921,237100,10
1983,Aug,63.5,57.3,2369173,2138476,230697,9.7
1983,Sep,63.6,57.6,2373984,2150064,223920,9.4
1983,Oct,63.6,57.8,2377682,2160352,217330,9.1
1983,Nov,63.7,58,2380480,2169106,211374,8.9
1983,Dec,63.7,58.2,2382938,2176781,206157,8.7
1984,Jan,63.7,58.4,2385344,2184650,200694,8.4
1984,Feb,63.7,58.5,2387107,2193144,193963,8.1
1984,Mar,63.7,58.7,2387850,2201498,186352,7.8
1984,Apr,63.6,58.9,2387059,2208445,178614,7.5
1984,May,63.5,59,2385116,2213621,171495,7.2
1984,Jun,63.4,59,2382582,2217079,165503,6.9
1984,Jul,63.3,59,2380088,2219053,161035,6.8
1984,Aug,63.3,59.1,2379336,2220824,158512,6.7
1984,Sep,63.3,59.1,2381486,2223642,157844,6.6
1984,Oct,63.4,59.2,2387171,2228705,158466,6.6
1984,Nov,63.7,59.4,2396710,2237003,159707,6.7
1984,Dec,64,59.7,2409121,2247884,161237,6.7
1985,Jan,64.3,60,2422015,2258789,163226,6.7
1985,Feb,64.6,60.2,2432878,2267609,165269,6.8
1985,Mar,64.7,60.3,2440301,2274002,166299,6.8
1985,Apr,64.8,60.4,2444448,2278602,165846,6.8
1985,May,64.9,60.5,2446992,2282585,164407,6.7
1985,Jun,64.9,60.6,2450403,2287763,162640,6.6
1985,Jul,65.1,60.8,2456285,2295261,161024,6.6
1985,Aug,65.2,61,2464868,2305744,159124,6.5
1985,Sep,65.4,61.3,2475387,2318381,157006,6.3
1985,Oct,65.7,61.6,2486171,2330929,155242,6.2
1985,Nov,65.8,61.8,2495067,2341297,153770,6.2
1985,Dec,65.9,61.9,2500931,2348419,152512,6.1
1986,Jan,65.9,61.9,2504672,2352727,151945,6.1
1986,Feb,65.9,61.9,2508546,2355882,152664,6.1
1986,Mar,66,62,2514032,2359477,154555,6.1
1986,Apr,66.1,62,2521488,2364414,157074,6.2
1986,May,66.3,62.1,2530161,2370549,159612,6.3
1986,Jun,66.5,62.2,2538899,2377254,161645,6.4
1986,Jul,66.6,62.3,2546201,2383756,162445,6.4
1986,Aug,66.6,62.4,2551008,2388993,162015,6.4
1986,Sep,66.6,62.4,2553464,2392534,160930,6.3
1986,Oct,66.6,62.4,2554476,2394716,159760,6.3
1986,Nov,66.6,62.4,2555217,2395568,159649,6.2
1986,Dec,66.6,62.4,2557702,2396542,161160,6.3
1987,Jan,66.6,62.4,2562312,2398743,163569,6.4
1987,Feb,66.7,62.4,2568057,2402010,166047,6.5
1987,Mar,66.8,62.4,2574579,2406356,168223,6.5
1987,Apr,66.9,62.5,2580867,2411616,169251,6.6
1987,May,67,62.6,2585891,2417322,168569,6.5
1987,Jun,67,62.7,2589334,2422620,166714,6.4
1987,Jul,67,62.7,2591288,2426832,164456,6.3
1987,Aug,66.9,62.7,2591510,2429601,161909,6.2
1987,Sep,66.8,62.7,2589912,2431484,158428,6.1
1987,Oct,66.7,62.7,2586516,2432708,153808,5.9
1987,Nov,66.6,62.7,2582189,2433878,148311,5.7
1987,Dec,66.4,62.7,2577749,2434637,143112,5.6
1988,Jan,66.3,62.7,2574227,2434597,139630,5.4
1988,Feb,66.2,62.6,2572940,2434307,138633,5.4
1988,Mar,66.2,62.6,2574017,2433786,140231,5.4
1988,Apr,66.2,62.5,2577151,2433201,143950,5.6
1988,May,66.3,62.5,2581231,2432954,148277,5.7
1988,Jun,66.3,62.4,2584787,2433353,151434,5.9
1988,Jul,66.3,62.4,2587303,2434437,152866,5.9
1988,Aug,66.4,62.4,2589313,2436132,153181,5.9
1988,Sep,66.4,62.5,2591456,2438362,153094,5.9
1988,Oct,66.5,62.5,2593977,2441259,152718,5.9
1988,Nov,66.5,62.6,2596668,2444753,151915,5.9
1988,Dec,66.5,62.7,2598449,2448309,150140,5.8
1989,Jan,66.6,62.8,2599161,2451725,147436,5.7
1989,Feb,66.5,62.8,2599001,2454335,144666,5.6
1989,Mar,66.5,62.9,2598867,2456651,142216,5.5
1989,Apr,66.5,62.9,2599763,2459090,140673,5.4
1989,May,66.6,63,2602159,2461581,140578,5.4
1989,Jun,66.7,63,2606209,2464270,141939,5.4
1989,Jul,66.8,63.1,2611070,2466967,144103,5.5
1989,Aug,66.9,63.1,2615941,2469865,146076,5.6
1989,Sep,67,63.2,2620615,2473255,147360,5.6
1989,Oct,67.1,63.3,2626023,2478057,147966,5.6
1989,Nov,67.2,63.5,2632445,2484325,148120,5.6
1989,Dec,67.4,63.6,2639876,2491836,148040,5.6
1990,Jan,67.9,64,2603785,2456764,147021,5.6
1990,Feb,67.6,63.8,2596432,2452145,144287,5.6
1990,Mar,67.5,63.8,2595984,2455164,140820,5.4
1990,Apr,67.4,63.8,2596927,2458587,138340,5.3
1990,May,67.4,63.8,2599175,2461137,138038,5.3
1990,Jun,67.4,63.8,2603032,2462472,140560,5.4
1990,Jul,67.5,63.7,2609375,2463473,145902,5.6
1990,Aug,67.7,63.7,2617968,2464575,153393,5.9
1990,Sep,67.9,63.7,2626829,2465050,161779,6.2
1990,Oct,68,63.6,2634068,2464216,169852,6.4
1990,Nov,68.1,63.5,2639103,2462940,176163,6.7
1990,Dec,68.1,63.5,2642226,2461990,180236,6.8
1991,Jan,68.1,63.4,2644179,2461233,182946,6.9
1991,Feb,68.1,63.4,2646242,2461498,184744,7
1991,Mar,68.2,63.4,2647795,2462732,185063,7
1991,Apr,68.1,63.4,2648247,2464755,183492,6.9
1991,May,68.1,63.5,2648106,2467527,180579,6.8
1991,Jun,68.1,63.5,2647972,2471050,176922,6.7
1991,Jul,68,63.6,2647504,2474577,172927,6.5
1991,Aug,67.9,63.6,2646718,2477407,169311,6.4
1991,Sep,67.9,63.6,2646078,2479565,166513,6.3
1991,Oct,67.8,63.6,2645072,2480606,164466,6.2
1991,Nov,67.7,63.5,2643769,2480588,163181,6.2
1991,Dec,67.7,63.5,2642613,2480140,162473,6.1
1992,Jan,67.6,63.5,2642661,2480350,162311,6.1
1992,Feb,67.7,63.5,2644853,2481737,163116,6.2
1992,Mar,67.8,63.5,2649854,2485072,164782,6.2
1992,Apr,67.9,63.6,2656498,2489768,166730,6.3
1992,May,68,63.7,2661559,2493633,167926,6.3
1992,Jun,68,63.7,2662863,2495180,167683,6.3
1992,Jul,67.9,63.6,2660334,2494157,166177,6.2
1992,Aug,67.6,63.5,2654917,2491135,163782,6.2
1992,Sep,67.4,63.3,2648701,2487104,161597,6.1
1992,Oct,67.2,63.2,2644572,2483731,160841,6.1
1992,Nov,67.2,63,2643329,2481399,161930,6.1
1992,Dec,67.1,63,2644874,2480553,164321,6.2
1993,Jan,67.2,62.9,2649190,2482005,167185,6.3
1993,Feb,67.3,63,2655410,2485646,169764,6.4
1993,Mar,67.4,63.1,2662887,2491263,171624,6.4
1993,Apr,67.6,63.2,2670797,2498493,172304,6.5
1993,May,67.7,63.4,2678431,2506339,172092,6.4
1993,Jun,67.8,63.5,2685369,2513899,171470,6.4
1993,Jul,67.9,63.6,2690734,2520523,170211,6.3
1993,Aug,67.9,63.7,2694792,2526545,168247,6.2
1993,Sep,67.9,63.8,2698733,2533124,165609,6.1
1993,Oct,68,63.9,2703326,2540778,162548,6
1993,Nov,68.1,64,2709142,2549310,159832,5.9
1993,Dec,68.2,64.2,2715912,2558600,157312,5.8
1994,Jan,68.3,64.4,2722062,2567941,154121,5.7
1994,Feb,68.3,64.6,2726122,2576413,149709,5.5
1994,Mar,68.3,64.7,2728415,2583767,144648,5.3
1994,Apr,68.3,64.8,2730721,2590922,139799,5.1
1994,May,68.4,65,2735659,2599873,135786,5
1994,Jun,68.6,65.2,2745188,2611935,133253,4.9
1994,Jul,68.9,65.5,2760339,2627512,132827,4.8
1994,Aug,69.3,65.9,2779832,2645630,134202,4.8
1994,Sep,69.7,66.3,2800867,2664480,136387,4.9
1994,Oct,70.2,66.7,2820601,2682504,138097,4.9
