Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,71.5,65.1,322417,293574,28843,8.9
1976,Feb,71,64.6,322146,293280,28866,9
1976,Mar,70.7,64.4,322327,293456,28871,9
1976,Apr,70.7,64.4,323929,295160,28769,8.9
1976,May,70.9,64.7,326152,297525,28627,8.8
1976,Jun,71.1,64.9,328597,300068,28529,8.7
1976,Jul,71.3,65.1,330705,302176,28529,8.6
1976,Aug,71.3,65.2,332310,303615,28695,8.6
1976,Sep,71.1,65,333660,304702,28958,8.7
1976,Oct,71.1,64.9,334967,305782,29185,8.7
1976,Nov,71,64.8,336500,307230,29270,8.7
1976,Dec,71.1,65,338319,309221,29098,8.6
1977,Jan,71.2,65.2,340412,311743,28669,8.4
1977,Feb,71.2,65.4,342653,314641,28012,8.2
1977,Mar,71.4,65.8,344802,317643,27159,7.9
1977,Apr,71.3,65.9,346682,320508,26174,7.5
1977,May,71.4,66.2,348213,323094,25119,7.2
1977,Jun,71.2,66.3,349482,325440,24042,6.9
1977,Jul,71.1,66.5,350702,327739,22963,6.5
1977,Aug,71,66.6,352106,330216,21890,6.2
1977,Sep,70.9,66.7,353852,332987,20865,5.9
1977,Oct,70.9,66.9,355912,335996,19916,5.6
1977,Nov,70.9,67.1,358119,339089,19030,5.3
1977,Dec,70.9,67.3,360339,342115,18224,5.1
1978,Jan,70.9,67.5,362466,345000,17466,4.8
1978,Feb,70.8,67.5,364501,347724,16777,4.6
1978,Mar,70.8,67.6,366570,350362,16208,4.4
1978,Apr,70.8,67.7,368767,352956,15811,4.3
1978,May,70.8,67.8,371102,355461,15641,4.2
1978,Jun,70.9,67.9,373460,357752,15708,4.2
1978,Jul,70.9,67.9,375611,359622,15989,4.3
1978,Aug,70.8,67.7,377357,360940,16417,4.4
1978,Sep,70.5,67.4,378642,361760,16882,4.5
1978,Oct,70.3,67.1,379689,362387,17302,4.6
1978,Nov,70.1,66.9,380844,363201,17643,4.6
1978,Dec,70,66.7,382352,364443,17909,4.7
1979,Jan,69.9,66.6,384374,366192,18182,4.7
1979,Feb,70,66.6,386963,368422,18541,4.8
1979,Mar,70.1,66.7,389988,370991,18997,4.9
1979,Apr,70.3,66.9,393227,373723,19504,5
1979,May,70.4,66.9,396502,376524,19978,5
1979,Jun,70.6,67,399693,379309,20384,5.1
1979,Jul,70.8,67.2,402780,382147,20633,5.1
1979,Aug,70.9,67.3,405771,385105,20666,5.1
1979,Sep,70.9,67.4,408637,388120,20517,5
1979,Oct,71,67.5,411311,391024,20287,4.9
1979,Nov,71,67.5,413727,393610,20117,4.9
1979,Dec,71,67.5,415856,395699,20157,4.8
1980,Jan,70.9,67.4,417663,397125,20538,4.9
1980,Feb,70.7,67.1,419176,397851,21325,5.1
1980,Mar,70.6,66.8,420579,398042,22537,5.4
1980,Apr,70.4,66.3,422154,398075,24079,5.7
1980,May,70.4,66.2,424107,398389,25718,6.1
1980,Jun,70.5,66,426524,399399,27125,6.4
1980,Jul,70.7,66.1,429402,401245,28157,6.6
1980,Aug,71,66.3,432623,403757,28866,6.7
1980,Sep,71.2,66.4,435990,406621,29369,6.7
1980,Oct,71.5,66.7,439262,409424,29838,6.8
1980,Nov,71.8,66.9,442286,411925,30361,6.9
1980,Dec,71.9,66.9,445120,414193,30927,6.9
1981,Jan,72.1,67.1,447864,416433,31431,7
1981,Feb,72.3,67.2,450527,418789,31738,7
1981,Mar,72.4,67.3,453137,421386,31751,7
1981,Apr,72.6,67.6,455724,424216,31508,6.9
1981,May,72.8,67.8,458348,427119,31229,6.8
1981,Jun,72.8,67.9,461140,429928,31212,6.8
1981,Jul,73.1,68.1,464157,432491,31666,6.8
1981,Aug,73.4,68.2,467365,434744,32621,7
1981,Sep,73.7,68.3,470672,436661,34011,7.2
1981,Oct,73.9,68.4,473885,438230,35655,7.5
1981,Nov,74.1,68.3,476738,439304,37434,7.9
1981,Dec,74.3,68.2,479009,439737,39272,8.2
1982,Jan,74.3,67.9,480636,439579,41057,8.5
1982,Feb,74.1,67.5,481713,438991,42722,8.9
1982,Mar,74,67.2,482313,438077,44236,9.2
1982,Apr,73.8,66.8,482537,436965,45572,9.4
1982,May,73.6,66.4,482509,435801,46708,9.7
1982,Jun,73.3,66,482286,434605,47681,9.9
1982,Jul,73,65.7,481986,433425,48561,10.1
1982,Aug,72.9,65.4,481786,432368,49418,10.3
1982,Sep,72.8,65.2,481801,431507,50294,10.4
1982,Oct,72.7,65,482090,430901,51189,10.6
1982,Nov,72.7,64.9,482655,430711,51944,10.8
1982,Dec,72.7,64.8,483360,430987,52373,10.8
1983,Jan,72.8,64.9,484050,431650,52400,10.8
1983,Feb,72.8,65,484632,432647,51985,10.7
1983,Mar,72.7,65.1,485044,433885,51159,10.5
1983,Apr,72.6,65.2,485282,435244,50038,10.3
1983,May,72.6,65.3,485403,436638,48765,10
1983,Jun,72.5,65.4,485521,438080,47441,9.8
1983,Jul,72.4,65.5,485705,439608,46097,9.5
1983,Aug,72.2,65.6,485979,441237,44742,9.2
1983,Sep,72.2,65.7,486412,443015,43397,8.9
1983,Oct,72.1,65.8,487071,444991,42080,8.6
1983,Nov,72,65.9,487951,447095,40856,8.4
1983,Dec,72,66.2,489057,449259,39798,8.1
1984,Jan,72,66.3,490402,451453,38949,7.9
1984,Feb,72,66.4,491958,453583,38375,7.8
1984,Mar,72.2,66.6,493688,455564,38124,7.7
1984,Apr,72.2,66.7,495525,457319,38206,7.7
1984,May,72.3,66.7,497413,458840,38573,7.8
1984,Jun,72.5,66.8,499262,460170,39092,7.8
1984,Jul,72.5,66.8,500977,461348,39629,7.9
1984,Aug,72.4,66.6,502528,462434,40094,8
1984,Sep,72.3,66.5,503907,463500,40407,8
1984,Oct,72.3,66.5,505210,464667,40543,8
1984,Nov,72.2,66.4,506627,466050,40577,8
1984,Dec,72.1,66.3,508270,467666,40604,8
1985,Jan,72,66.3,510083,469377,40706,8
1985,Feb,72,66.3,511922,471039,40883,8
1985,Mar,71.9,66.2,513599,472564,41035,8
1985,Apr,71.9,66.2,514955,473919,41036,8
1985,May,71.8,66.1,515948,475109,40839,7.9
1985,Jun,71.6,66,516655,476169,40486,7.8
1985,Jul,71.3,65.8,517220,477151,40069,7.7
1985,Aug,71.3,65.9,517769,478151,39618,7.7
1985,Sep,71.3,65.9,518315,479223,39092,7.5
1985,Oct,71.4,66.1,518850,480381,38469,7.4
1985,Nov,71.3,66.2,519395,481649,37746,7.3
1985,Dec,71.3,66.3,520026,483113,36913,7.1
1986,Jan,71.3,66.4,520848,484868,35980,6.9
1986,Feb,71.4,66.6,521965,486954,35011,6.7
1986,Mar,71.5,66.8,523454,489330,34124,6.5
1986,Apr,71.8,67.2,525289,491905,33384,6.4
1986,May,71.9,67.5,527355,494554,32801,6.2
1986,Jun,72.1,67.7,529545,497187,32358,6.1
1986,Jul,72.3,68,531760,499747,32013,6
1986,Aug,72.3,68,533935,502164,31771,6
1986,Sep,72.5,68.2,536132,504422,31710,5.9
1986,Oct,72.5,68.2,538345,506518,31827,5.9
