Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,66,61.5,391585,364963,26622,6.8
1976,Feb,65.8,61.3,391323,364669,26654,6.8
1976,Mar,65.7,61.2,391413,364765,26648,6.8
1976,Apr,65.7,61.2,392657,366173,26484,6.7
1976,May,65.9,61.5,394491,368258,26233,6.6
1976,Jun,66,61.7,396701,370769,25932,6.5
1976,Jul,66.2,62,398797,373163,25634,6.4
1976,Aug,66.3,62.1,400582,375185,25397,6.3
1976,Sep,66.4,62.2,402257,376996,25261,6.3
1976,Oct,66.4,62.3,403897,378609,25288,6.3
1976,Nov,66.5,62.3,405574,380131,25443,6.3
1976,Dec,66.6,62.4,407358,381741,25617,6.3
1977,Jan,66.7,62.5,409306,383572,25734,6.3
1977,Feb,66.7,62.5,411302,385621,25681,6.2
1977,Mar,66.7,62.6,413113,387748,25365,6.1
1977,Apr,66.8,62.8,414699,389935,24764,6
1977,May,66.8,62.9,416139,392175,23964,5.8
1977,Jun,66.8,63.1,417506,394423,23083,5.5
1977,Jul,66.8,63.3,418983,396750,22233,5.3
1977,Aug,66.9,63.5,420626,399127,21499,5.1
1977,Sep,66.9,63.6,422231,401355,20876,4.9
1977,Oct,67,63.8,423613,403292,20321,4.8
1977,Nov,67,63.9,424720,404925,19795,4.7
1977,Dec,66.9,63.9,425610,406345,19265,4.5
1978,Jan,66.8,63.9,426472,407775,18697,4.4
1978,Feb,66.8,64,427551,409400,18151,4.2
1978,Mar,66.8,64.1,428989,411296,17693,4.1
1978,Apr,67,64.3,430748,413429,17319,4
1978,May,67.1,64.4,432705,415687,17018,3.9
1978,Jun,67.2,64.6,434672,417912,16760,3.9
1978,Jul,67.2,64.7,436383,419874,16509,3.8
1978,Aug,67.2,64.8,437770,421563,16207,3.7
1978,Sep,67.3,64.9,439025,423190,15835,3.6
1978,Oct,67.3,65,440347,424918,15429,3.5
1978,Nov,67.4,65.1,441832,426787,15045,3.4
1978,Dec,67.5,65.3,443424,428723,14701,3.3
1979,Jan,67.5,65.4,445041,430659,14382,3.2
1979,Feb,67.6,65.4,446564,432494,14070,3.2
1979,Mar,67.7,65.6,447869,434090,13779,3.1
1979,Apr,67.6,65.6,448899,435337,13562,3
1979,May,67.5,65.5,449728,436261,13467,3
1979,Jun,67.6,65.5,450583,437025,13558,3
1979,Jul,67.5,65.5,451728,437873,13855,3.1
1979,Aug,67.7,65.5,453255,438913,14342,3.2
1979,Sep,67.8,65.6,455004,440096,14908,3.3
1979,Oct,67.9,65.6,456797,441414,15383,3.4
1979,Nov,68,65.7,458489,442773,15716,3.4
1979,Dec,68.1,65.8,460010,443989,16021,3.5
1980,Jan,68.2,65.8,461317,444850,16467,3.6
1980,Feb,68.3,65.8,462481,445267,17214,3.7
1980,Mar,68.4,65.7,463665,445328,18337,4
1980,Apr,68.4,65.5,464864,445102,19762,4.3
1980,May,68.4,65.3,465966,444711,21255,4.6
1980,Jun,68.5,65.2,466865,444367,22498,4.8
1980,Jul,68.4,65,467525,444266,23259,5
1980,Aug,68.3,64.9,468063,444572,23491,5
1980,Sep,68.3,64.9,468704,445358,23346,5
1980,Oct,68.3,65,469562,446459,23103,4.9
1980,Nov,68.4,65.1,470599,447669,22930,4.9
1980,Dec,68.4,65.1,471735,448862,22873,4.8
1981,Jan,68.4,65.1,472862,449909,22953,4.9
1981,Feb,68.5,65.1,473825,450755,23070,4.9
1981,Mar,68.5,65.1,474553,451443,23110,4.9
1981,Apr,68.5,65.1,475169,452077,23092,4.9
1981,May,68.4,65,475812,452708,23104,4.9
1981,Jun,68.4,65,476578,453298,23280,4.9
1981,Jul,68.4,65,477502,453792,23710,5
1981,Aug,68.5,65,478527,454123,24404,5.1
1981,Sep,68.5,64.9,479574,454244,25330,5.3
1981,Oct,68.6,64.8,480635,454229,26406,5.5
1981,Nov,68.6,64.7,481702,454100,27602,5.7
1981,Dec,68.7,64.6,482705,453823,28882,6
1982,Jan,68.7,64.4,483553,453435,30118,6.2
1982,Feb,68.7,64.3,484262,453007,31255,6.5
1982,Mar,68.7,64.1,484921,452662,32259,6.7
1982,Apr,68.7,64,485628,452595,33033,6.8
1982,May,68.7,64,486427,452886,33541,6.9
1982,Jun,68.7,64,487250,453437,33813,6.9
1982,Jul,68.7,64,487985,454074,33911,6.9
1982,Aug,68.7,63.9,488519,454619,33900,6.9
1982,Sep,68.7,63.9,488804,454970,33834,6.9
1982,Oct,68.6,63.8,488876,455135,33741,6.9
1982,Nov,68.5,63.8,488920,455333,33587,6.9
1982,Dec,68.4,63.8,489191,455905,33286,6.8
1983,Jan,68.5,63.9,489872,457089,32783,6.7
1983,Feb,68.6,64.1,490976,458972,32004,6.5
1983,Mar,68.7,64.3,492336,461386,30950,6.3
1983,Apr,68.8,64.6,493791,464071,29720,6
1983,May,68.9,64.9,495316,466877,28439,5.7
1983,Jun,69,65.2,496963,469734,27229,5.5
1983,Jul,69.2,65.5,498717,472516,26201,5.3
1983,Aug,69.3,65.8,500537,475132,25405,5.1
1983,Sep,69.4,66,502377,477603,24774,4.9
1983,Oct,69.5,66.2,504187,479998,24189,4.8
1983,Nov,69.6,66.4,505957,482413,23544,4.7
1983,Dec,69.7,66.6,507699,484843,22856,4.5
1984,Jan,69.9,66.8,509443,487201,22242,4.4
1984,Feb,69.9,67,511250,489427,21823,4.3
1984,Mar,70.1,67.1,513191,491535,21656,4.2
1984,Apr,70.2,67.2,515291,493556,21735,4.2
1984,May,70.4,67.4,517472,495467,22005,4.3
1984,Jun,70.5,67.5,519648,497302,22346,4.3
1984,Jul,70.7,67.6,521829,499189,22640,4.3
1984,Aug,70.8,67.7,524002,501191,22811,4.4
1984,Sep,71,67.9,526069,503200,22869,4.3
1984,Oct,71.1,68,527938,505081,22857,4.3
1984,Nov,71.1,68,529582,506761,22821,4.3
1984,Dec,71.2,68.1,531060,508321,22739,4.3
1985,Jan,71.2,68.2,532518,509968,22550,4.2
1985,Feb,71.2,68.2,534051,511777,22274,4.2
1985,Mar,71.3,68.4,535631,513694,21937,4.1
1985,Apr,71.3,68.5,537159,515612,21547,4
1985,May,71.3,68.5,538584,517491,21093,3.9
1985,Jun,71.4,68.7,539945,519364,20581,3.8
1985,Jul,71.4,68.8,541314,521296,20018,3.7
1985,Aug,71.4,68.9,542785,523372,19413,3.6
1985,Sep,71.5,69,544496,525688,18808,3.5
1985,Oct,71.6,69.2,546524,528247,18277,3.3
1985,Nov,71.7,69.4,548755,530872,17883,3.3
1985,Dec,71.8,69.5,550979,533343,17636,3.2
1986,Jan,71.9,69.6,553047,535551,17496,3.2
1986,Feb,72,69.7,554862,537513,17349,3.1
1986,Mar,72,69.8,556481,539371,17110,3.1
1986,Apr,72.1,69.9,558036,541281,16755,3
1986,May,72.1,70,559566,543287,16279,2.9
1986,Jun,72.1,70.1,561011,545301,15710,2.8
1986,Jul,72.1,70.2,562321,547190,15131,2.7
1986,Aug,72.1,70.2,563545,548908,14637,2.6
1986,Sep,72,70.2,564784,550530,14254,2.5
1986,Oct,72,70.3,566126,552177,13949,2.5
1986,Nov,72,70.3,567651,553991,13660,2.4
1986,Dec,72.1,70.4,569426,556072,13354,2.3
1987,Jan,72.1,70.4,571376,558319,13057,2.3
1987,Feb,72.1,70.5,573492,560671,12821,2.2
1987,Mar,72.2,70.7,575769,563093,12676,2.2
1987,Apr,72.3,70.8,578069,565418,12651,2.2
1987,May,72.4,70.8,580311,567497,12814,2.2
1987,Jun,72.5,70.9,582459,569266,13193,2.3
1987,Jul,72.6,70.9,584457,570762,13695,2.3
1987,Aug,72.6,70.9,586207,572057,14150,2.4
1987,Sep,72.7,70.9,587684,573258,14426,2.5
1987,Oct,72.7,70.9,588950,574472,14478,2.5
1987,Nov,72.8,71,590124,575799,14325,2.4
1987,Dec,72.7,71,591285,577243,14042,2.4
1988,Jan,72.8,71.1,592472,578767,13705,2.3
1988,Feb,72.8,71.1,593683,580263,13420,2.3
1988,Mar,72.7,71.1,594865,581552,13313,2.2
1988,Apr,72.8,71.1,596109,582670,13439,2.3
1988,May,72.8,71.1,597483,583723,13760,2.3
1988,Jun,72.9,71.1,599000,584796,14204,2.4
1988,Jul,72.9,71.1,600625,585932,14693,2.4
1988,Aug,73,71.2,602284,587140,15144,2.5
1988,Sep,73.1,71.2,603872,588398,15474,2.6
1988,Oct,73.2,71.3,605278,589682,15596,2.6
1988,Nov,73.2,71.3,606446,590891,15555,2.6
1988,Dec,73.2,71.3,607352,591844,15508,2.6
1989,Jan,73.2,71.3,608090,592451,15639,2.6
1989,Feb,73.2,71.2,608792,592697,16095,2.6
1989,Mar,73.2,71.2,609582,592690,16892,2.8
1989,Apr,73.2,71,610515,592553,17962,2.9
1989,May,73.2,70.9,611560,592363,19197,3.1
1989,Jun,73.2,70.7,612624,592169,20455,3.3
1989,Jul,73.2,70.6,613712,592037,21675,3.5
1989,Aug,73.3,70.6,614831,591960,22871,3.7
1989,Sep,73.3,70.5,615914,591827,24087,3.9
1989,Oct,73.3,70.3,616988,591566,25422,4.1
1989,Nov,73.3,70.1,618056,591167,26889,4.4
1989,Dec,73.4,70,619090,590684,28406,4.6
1990,Jan,73.7,70.2,620015,590121,29894,4.8
1990,Feb,73.6,69.9,620670,589429,31241,5
1990,Mar,73.5,69.7,620979,588591,32388,5.2
1990,Apr,73.4,69.5,621015,587699,33316,5.4
1990,May,73.3,69.3,620905,586880,34025,5.5
1990,Jun,73.1,69,620736,586140,34596,5.6
1990,Jul,72.9,68.8,620521,585362,35159,5.7
1990,Aug,72.9,68.7,620251,584397,35854,5.8
1990,Sep,72.9,68.5,619925,583130,36795,5.9
1990,Oct,72.8,68.3,619473,581478,37995,6.1
1990,Nov,72.8,68.2,618871,579458,39413,6.4
1990,Dec,72.7,67.9,618167,577210,40957,6.6
1991,Jan,72.7,67.7,617379,574953,42426,6.9
1991,Feb,72.6,67.5,616583,572916,43667,7.1
1991,Mar,72.6,67.3,615826,571239,44587,7.2
1991,Apr,72.5,67.2,615076,569901,45175,7.3
1991,May,72.5,67.1,614371,568864,45507,7.4
1991,Jun,72.4,67,613820,568180,45640,7.4
1991,Jul,72.4,67,613445,567838,45607,7.4
1991,Aug,72.3,67,613255,567779,45476,7.4
1991,Sep,72.3,67,613199,567892,45307,7.4
1991,Oct,72.3,67,613103,568006,45097,7.4
1991,Nov,72.3,67,612891,568024,44867,7.3
1991,Dec,72.2,67,612699,568003,44696,7.3
1992,Jan,72.2,67,612783,568073,44710,7.3
1992,Feb,72.3,67,613244,568333,44911,7.3
1992,Mar,72.3,67,613931,568730,45201,7.4
1992,Apr,72.4,67.1,614522,569053,45469,7.4
1992,May,72.4,67.1,614769,569178,45591,7.4
1992,Jun,72.4,67,614622,569105,45517,7.4
1992,Jul,72.3,67,614213,568965,45248,7.4
1992,Aug,72.2,66.9,613791,568970,44821,7.3
1992,Sep,72.1,66.9,613701,569341,44360,7.2
1992,Oct,72.1,66.9,614218,570177,44041,7.2
1992,Nov,72.2,67,615176,571359,43817,7.1
1992,Dec,72.2,67.1,616100,572648,43452,7.1
1993,Jan,72.2,67.2,616567,573812,42755,6.9
1993,Feb,72.1,67.3,616491,574803,41688,6.8
1993,Mar,72.1,67.4,616129,575784,40345,6.5
1993,Apr,72,67.4,615852,576947,38905,6.3
1993,May,72,67.6,615917,578260,37657,6.1
1993,Jun,71.9,67.6,616359,579541,36818,6
1993,Jul,72,67.7,617078,580645,36433,5.9
1993,Aug,72,67.8,617896,581531,36365,5.9
1993,Sep,72,67.8,618630,582290,36340,5.9
1993,Oct,72,67.8,619193,583111,36082,5.8
1993,Nov,72,67.9,619702,584196,35506,5.7
1993,Dec,72,68,620298,585612,34686,5.6
1994,Jan,72,68.1,620978,587290,33688,5.4
1994,Feb,72.1,68.3,621683,589048,32635,5.2
1994,Mar,72,68.4,622366,590685,31681,5.1
1994,Apr,72.1,68.5,623053,592153,30900,5
1994,May,72.1,68.6,623741,593508,30233,4.8
1994,Jun,72.1,68.7,624461,594850,29611,4.7
1994,Jul,72.2,68.8,625269,596248,29021,4.6
1994,Aug,72.2,68.9,626099,597644,28455,4.5
1994,Sep,72.2,69,626794,598899,27895,4.5
1994,Oct,72.1,68.9,627303,599950,27353,4.4
1994,Nov,72,68.9,627698,600831,26867,4.3
1994,Dec,72,69,628089,601613,26476,4.2
1995,Jan,72,69,628594,602393,26201,4.2
1995,Feb,72,69,629182,603174,26008,4.1
1995,Mar,72,69,629734,603874,25860,4.1
1995,Apr,71.9,69,630182,604448,25734,4.1
1995,May,71.9,69,630578,604972,25606,4.1
1995,Jun,71.8,68.9,630969,605547,25422,4
1995,Jul,71.8,68.9,631369,606241,25128,4
1995,Aug,71.8,68.9,631817,607069,24748,3.9
1995,Sep,71.6,68.9,632337,607974,24363,3.9
1995,Oct,71.6,68.9,632872,608838,24034,3.8
1995,Nov,71.6,68.9,633337,609530,23807,3.8
1995,Dec,71.5,68.8,633712,609981,23731,3.7
1996,Jan,71.4,68.7,634075,610241,23834,3.8
1996,Feb,71.4,68.7,634551,610459,24092,3.8
1996,Mar,71.4,68.6,635247,610836,24411,3.8
1996,Apr,71.4,68.6,636148,611452,24696,3.9
1996,May,71.4,68.6,637154,612261,24893,3.9
1996,Jun,71.3,68.6,638153,613177,24976,3.9
1996,Jul,71.4,68.6,639039,614125,24914,3.9
1996,Aug,71.3,68.6,639764,615074,24690,3.9
1996,Sep,71.3,68.6,640358,616022,24336,3.8
1996,Oct,71.3,68.6,640855,616931,23924,3.7
1996,Nov,71.3,68.6,641326,617789,23537,3.7
1996,Dec,71.2,68.7,641904,618682,23222,3.6
1997,Jan,71.2,68.7,642684,619690,22994,3.6
1997,Feb,71.3,68.7,643714,620873,22841,3.5
1997,Mar,71.3,68.8,644985,622264,22721,3.5
1997,Apr,71.4,68.9,646439,623855,22584,3.5
1997,May,71.5,69,647959,625591,22368,3.5
1997,Jun,71.6,69.1,649407,627363,22044,3.4
1997,Jul,71.6,69.2,650661,629021,21640,3.3
1997,Aug,71.6,69.3,651650,630463,21187,3.3
1997,Sep,71.6,69.3,652407,631701,20706,3.2
1997,Oct,71.6,69.4,653112,632876,20236,3.1
1997,Nov,71.6,69.4,653903,634116,19787,3
1997,Dec,71.6,69.5,654833,635463,19370,3
1998,Jan,71.7,69.6,655861,636846,19015,2.9
1998,Feb,71.8,69.7,656920,638190,18730,2.9
1998,Mar,71.8,69.8,657915,639413,18502,2.8
1998,Apr,71.8,69.8,658790,640474,18316,2.8
1998,May,71.8,69.8,659573,641380,18193,2.8
1998,Jun,71.8,69.8,660384,642219,18165,2.8
1998,Jul,71.8,69.8,661383,643140,18243,2.8
1998,Aug,71.9,69.9,662670,644254,18416,2.8
1998,Sep,72,69.9,664214,645560,18654,2.8
1998,Oct,72,69.9,665859,646971,18888,2.8
1998,Nov,72.1,70,667458,648411,19047,2.9
1998,Dec,72.1,70.1,668903,649817,19086,2.9
1999,Jan,72.2,70.1,670114,651133,18981,2.8
1999,Feb,72.2,70.2,671109,652339,18770,2.8
1999,Mar,72.2,70.2,671975,653457,18518,2.8
1999,Apr,72.2,70.2,672798,654528,18270,2.7
1999,May,72.2,70.3,673646,655598,18048,2.7
1999,Jun,72.2,70.3,674535,656652,17883,2.7
1999,Jul,72.2,70.3,675478,657664,17814,2.6
1999,Aug,72.2,70.3,676476,658629,17847,2.6
1999,Sep,72.2,70.3,677516,659558,17958,2.7
1999,Oct,72.2,70.3,678564,660468,18096,2.7
1999,Nov,72.2,70.3,679627,661421,18206,2.7
1999,Dec,72.2,70.3,680731,662465,18266,2.7
2000,Jan,72.3,70.3,681930,663649,18281,2.7
2000,Feb,72.3,70.4,683233,664954,18279,2.7
2000,Mar,72.4,70.4,684572,666266,18306,2.7
2000,Apr,72.5,70.6,685841,667470,18371,2.7
2000,May,72.5,70.6,686928,668482,18446,2.7
2000,Jun,72.5,70.5,687780,669308,18472,2.7
2000,Jul,72.5,70.5,688447,670032,18415,2.7
2000,Aug,72.4,70.5,689098,670800,18298,2.7
2000,Sep,72.4,70.5,689971,671807,18164,2.6
2000,Oct,72.4,70.5,691199,673117,18082,2.6
2000,Nov,72.5,70.6,692708,674564,18144,2.6
2000,Dec,72.5,70.6,694282,675883,18399,2.7
2001,Jan,72.6,70.6,695706,676863,18843,2.7
2001,Feb,72.6,70.6,696779,677315,19464,2.8
2001,Mar,72.6,70.5,697409,677164,20245,2.9
2001,Apr,72.5,70.3,697673,676480,21193,3
2001,May,72.4,70.1,697727,675440,22287,3.2
2001,Jun,72.3,69.9,697729,674265,23464,3.4
2001,Jul,72.2,69.7,697774,673131,24643,3.5
2001,Aug,72.1,69.5,697863,672113,25750,3.7
2001,Sep,72,69.3,697980,671202,26778,3.8
2001,Oct,72,69.1,698171,670441,27730,4
2001,Nov,71.9,69,698481,669887,28594,4.1
2001,Dec,71.9,68.8,698902,669538,29364,4.2
2002,Jan,71.8,68.7,699379,669319,30060,4.3
2002,Feb,71.8,68.6,699871,669224,30647,4.4
2002,Mar,71.8,68.6,700359,669289,31070,4.4
2002,Apr,71.7,68.5,700845,669534,31311,4.5
2002,May,71.7,68.5,701366,669949,31417,4.5
2002,Jun,71.7,68.4,701957,670472,31485,4.5
2002,Jul,71.6,68.4,702615,671031,31584,4.5
2002,Aug,71.6,68.4,703306,671570,31736,4.5
2002,Sep,71.6,68.3,703891,672034,31857,4.5
2002,Oct,71.5,68.3,704229,672372,31857,4.5
2002,Nov,71.4,68.2,704298,672568,31730,4.5
2002,Dec,71.4,68.2,704155,672655,31500,4.5
2003,Jan,71.3,68.1,703949,672740,31209,4.4
2003,Feb,71.2,68.1,703876,672934,30942,4.4
2003,Mar,71.2,68,704154,673371,30783,4.4
2003,Apr,71.2,68.1,704837,674088,30749,4.4
2003,May,71.2,68.1,705831,675038,30793,4.4
2003,Jun,71.2,68.1,707029,676190,30839,4.4
2003,Jul,71.2,68.2,708250,677452,30798,4.3
2003,Aug,71.3,68.2,709300,678655,30645,4.3
2003,Sep,71.3,68.2,710085,679646,30439,4.3
2003,Oct,71.2,68.2,710643,680406,30237,4.3
2003,Nov,71.2,68.2,711071,681060,30011,4.2
2003,Dec,71.1,68.2,711527,681793,29734,4.2
2004,Jan,71.1,68.2,712113,682717,29396,4.1
2004,Feb,71.1,68.2,712823,683852,28971,4.1
2004,Mar,71.1,68.3,713609,685149,28460,4
2004,Apr,71.1,68.3,714409,686519,27890,3.9
2004,May,71.1,68.4,715206,687897,27309,3.8
2004,Jun,71.1,68.4,715945,689171,26774,3.7
2004,Jul,71.1,68.5,716600,690252,26348,3.7
2004,Aug,71.1,68.5,717259,691207,26052,3.6
2004,Sep,71.1,68.5,718024,692160,25864,3.6
2004,Oct,71.1,68.5,718874,693090,25784,3.6
2004,Nov,71.1,68.6,719751,693954,25797,3.6
2004,Dec,71.1,68.6,720659,694798,25861,3.6
2005,Jan,71.2,68.6,721575,695652,25923,3.6
2005,Feb,71.2,68.6,722468,696525,25943,3.6
2005,Mar,71.2,68.7,723275,697375,25900,3.6
2005,Apr,71.2,68.7,724032,698206,25826,3.6
2005,May,71.2,68.7,724795,699009,25786,3.6
2005,Jun,71.2,68.7,725592,699763,25829,3.6
2005,Jul,71.3,68.7,726481,700529,25952,3.6
2005,Aug,71.3,68.7,727357,701271,26086,3.6
2005,Sep,71.3,68.7,728020,701890,26130,3.6
2005,Oct,71.1,68.6,728395,702413,25982,3.6
2005,Nov,71.1,68.6,728529,702920,25609,3.5
2005,Dec,71,68.6,728492,703425,25067,3.4
2006,Jan,70.9,68.5,728449,703970,24479,3.4
2006,Feb,70.9,68.5,728603,704591,24012,3.3
2006,Mar,70.9,68.5,729045,705245,23800,3.3
2006,Apr,70.9,68.5,729737,705862,23875,3.3
2006,May,70.9,68.5,730575,706396,24179,3.3
2006,Jun,70.9,68.5,731454,706824,24630,3.4
2006,Jul,70.9,68.4,732305,707155,25150,3.4
2006,Aug,70.9,68.4,733140,707467,25673,3.5
2006,Sep,70.9,68.4,734014,707870,26144,3.6
2006,Oct,70.9,68.4,734920,708415,26505,3.6
2006,Nov,71,68.4,735757,709018,26739,3.6
2006,Dec,71,68.4,736390,709554,26836,3.6
2007,Jan,71,68.4,736794,710001,26793,3.6
2007,Feb,70.9,68.4,737021,710385,26636,3.6
2007,Mar,70.9,68.3,737185,710780,26405,3.6
2007,Apr,70.9,68.3,737377,711222,26155,3.5
2007,May,70.8,68.3,737588,711651,25937,3.5
2007,Jun,70.8,68.3,737802,712027,25775,3.5
2007,Jul,70.7,68.3,737992,712322,25670,3.5
2007,Aug,70.7,68.2,738199,712580,25619,3.5
2007,Sep,70.7,68.2,738511,712885,25626,3.5
2007,Oct,70.7,68.2,738951,713259,25692,3.5
2007,Nov,70.7,68.2,739553,713739,25814,3.5
