Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,66.6,62.3,2596329,2428430,167899,6.5
1976,Feb,66.5,62.2,2595355,2427272,168083,6.5
1976,Mar,66.4,62.1,2595712,2428876,166836,6.4
1976,Apr,66.3,62.2,2599283,2436634,162649,6.3
1976,May,66.3,62.3,2604867,2446767,158100,6.1
1976,Jun,66.4,62.5,2611298,2456438,154860,5.9
1976,Jul,66.4,62.5,2616425,2462323,154102,5.9
1976,Aug,66.4,62.4,2619902,2463670,156232,6
1976,Sep,66.3,62.2,2621444,2461795,159649,6.1
1976,Oct,66.1,62,2621194,2458088,163106,6.2
1976,Nov,66,61.8,2620587,2454684,165903,6.3
1976,Dec,65.9,61.7,2621032,2454099,166933,6.4
1977,Jan,65.9,61.7,2624989,2458498,166491,6.3
1977,Feb,65.9,61.8,2633368,2468219,165149,6.3
1977,Mar,66.1,62,2644931,2481595,163336,6.2
1977,Apr,66.3,62.3,2658598,2496789,161809,6.1
1977,May,66.5,62.5,2673066,2512115,160951,6
1977,Jun,66.8,62.8,2687046,2526055,160991,6
1977,Jul,67,63,2699832,2538695,161137,6
1977,Aug,67.1,63.2,2711584,2550986,160598,5.9
1977,Sep,67.3,63.4,2722700,2563719,158981,5.8
1977,Oct,67.4,63.6,2732306,2576642,155664,5.7
1977,Nov,67.5,63.8,2739273,2588972,150301,5.5
1977,Dec,67.5,63.9,2743373,2599533,143840,5.2
1978,Jan,67.4,64,2745260,2608349,136911,5
1978,Feb,67.3,64.1,2746283,2615780,130503,4.8
1978,Mar,67.2,64.1,2747853,2622037,125816,4.6
1978,Apr,67.2,64.2,2750671,2627794,122877,4.5
1978,May,67.2,64.2,2755167,2633936,121231,4.4
1978,Jun,67.2,64.2,2760638,2640652,119986,4.3
1978,Jul,67.2,64.3,2765998,2646913,119085,4.3
1978,Aug,67.2,64.3,2770674,2651981,118693,4.3
1978,Sep,67.2,64.3,2775125,2656367,118758,4.3
