Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,61.8,56.8,4756109,4371860,384249,8.1
1976,Feb,61.7,56.7,4756607,4371539,385068,8.1
1976,Mar,61.7,56.7,4757822,4372663,385159,8.1
1976,Apr,61.7,56.7,4757433,4376405,381028,8
1976,May,61.6,56.7,4755323,4380800,374523,7.9
1976,Jun,61.5,56.8,4752606,4385437,367169,7.7
1976,Jul,61.4,56.8,4749372,4388313,361059,7.6
1976,Aug,61.4,56.7,4747542,4390667,356875,7.5
1976,Sep,61.3,56.7,4749246,4393809,355437,7.5
1976,Oct,61.4,56.7,4756134,4398147,357987,7.5
1976,Nov,61.4,56.8,4766906,4404513,362393,7.6
1976,Dec,61.5,56.8,4778882,4414046,364836,7.6
1977,Jan,61.6,57,4790642,4427206,363436,7.6
1977,Feb,61.7,57.1,4800915,4443426,357489,7.4
1977,Mar,61.7,57.3,4808369,4461344,347025,7.2
1977,Apr,61.7,57.5,4813381,4479849,333532,6.9
1977,May,61.7,57.7,4817529,4497884,319645,6.6
1977,Jun,61.8,57.8,4822966,4515022,307944,6.4
1977,Jul,61.8,58,4831709,4531306,300403,6.2
1977,Aug,61.9,58.1,4843433,4546423,297010,6.1
1977,Sep,62,58.2,4854501,4559945,294556,6.1
1977,Oct,62,58.3,4861673,4571153,290520,6
1977,Nov,62,58.4,4865487,4579684,285803,5.9
1977,Dec,62,58.4,4868084,4586443,281641,5.8
1978,Jan,62,58.5,4872244,4594565,277679,5.7
1978,Feb,62.1,58.6,4880654,4606576,274078,5.6
1978,Mar,62.2,58.7,4894484,4623072,271412,5.5
1978,Apr,62.4,58.9,4912445,4642786,269659,5.5
1978,May,62.6,59.2,4931885,4663393,268492,5.4
1978,Jun,62.7,59.3,4949554,4682446,267108,5.4
1978,Jul,62.9,59.5,4963666,4698110,265556,5.3
1978,Aug,63,59.6,4975739,4710535,265204,5.3
1978,Sep,63.1,59.7,4988569,4721534,267035,5.4
