Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,59.1,55.6,1180825,1110620,70205,5.9
1976,Feb,58.9,55.4,1180479,1110306,70173,5.9
1976,Mar,58.8,55.3,1180456,1110496,69960,5.9
1976,Apr,58.8,55.3,1181507,1112144,69363,5.9
1976,May,58.7,55.3,1183247,1114483,68764,5.8
1976,Jun,58.7,55.3,1185470,1117372,68098,5.7
1976,Jul,58.7,55.4,1187467,1120145,67322,5.7
1976,Aug,58.7,55.4,1189336,1122770,66566,5.6
1976,Sep,58.7,55.4,1191335,1125548,65787,5.5
1976,Oct,58.7,55.5,1193855,1128675,65180,5.5
1976,Nov,58.7,55.6,1197127,1132416,64711,5.4
1976,Dec,58.9,55.7,1201436,1136974,64462,5.4
1977,Jan,59,55.9,1207089,1142411,64678,5.4
1977,Feb,59.2,56,1213608,1148434,65174,5.4
1977,Mar,59.5,56.3,1219925,1154455,65470,5.4
1977,Apr,59.6,56.4,1225529,1160211,65318,5.3
1977,May,59.7,56.6,1230292,1165583,64709,5.3
1977,Jun,59.8,56.7,1234329,1170695,63634,5.2
1977,Jul,59.9,56.9,1237977,1175955,62022,5
1977,Aug,59.9,57.1,1241404,1181698,59706,4.8
1977,Sep,60,57.2,1244868,1187690,57178,4.6
1977,Oct,60,57.4,1248301,1193105,55196,4.4
1977,Nov,60.1,57.5,1251496,1197443,54053,4.3
1977,Dec,60.1,57.5,1254366,1200763,53603,4.3
1978,Jan,60.2,57.6,1257135,1203949,53186,4.2
1978,Feb,60.2,57.7,1260126,1207768,52358,4.2
1978,Mar,60.2,57.8,1263211,1212331,50880,4
1978,Apr,60.2,57.9,1265777,1217206,48571,3.8
1978,May,60.2,58,1267581,1221947,45634,3.6
1978,Jun,60.1,58.1,1268858,1226131,42727,3.4
1978,Jul,60.1,58.2,1270140,1229360,40780,3.2
1978,Aug,60.1,58.2,1271903,1231640,40263,3.2
1978,Sep,60.1,58.1,1274439,1233576,40863,3.2
1978,Oct,60.1,58.1,1278004,1236078,41926,3.3
1978,Nov,60.2,58.2,1282396,1239311,43085,3.4
1978,Dec,60.3,58.2,1286526,1242554,43972,3.4
1979,Jan,60.3,58.2,1289540,1245120,44420,3.4
1979,Feb,60.3,58.2,1291606,1247203,44403,3.4
1979,Mar,60.3,58.2,1293768,1249615,44153,3.4
1979,Apr,60.3,58.2,1296986,1252946,44040,3.4
1979,May,60.4,58.3,1301648,1257457,44191,3.4
1979,Jun,60.5,58.5,1307274,1262771,44503,3.4
1979,Jul,60.7,58.6,1313303,1268554,44749,3.4
1979,Aug,60.8,58.8,1319378,1274468,44910,3.4
1979,Sep,61,58.9,1325062,1280163,44899,3.4
1979,Oct,61,59,1329946,1285416,44530,3.3
1979,Nov,61.1,59.1,1334056,1290139,43917,3.3
1979,Dec,61.1,59.1,1337649,1294204,43445,3.2
1980,Jan,61.1,59.1,1340634,1297081,43553,3.2
1980,Feb,61.1,59,1342783,1298295,44488,3.3
1980,Mar,61,58.9,1344254,1297998,46256,3.4
1980,Apr,60.9,58.7,1345632,1297112,48520,3.6
1980,May,60.9,58.6,1347660,1296860,50800,3.8
1980,Jun,61.8,58.6,1369593,1298559,71034,5.2
1980,Jul,62.1,58.7,1379698,1302776,76922,5.6
1980,Aug,62.3,58.8,1386392,1309266,77126,5.6
1980,Sep,62.4,59.1,1391711,1317270,74441,5.3
1980,Oct,62.5,59.4,1395914,1325857,70057,5
1980,Nov,62.6,59.7,1399408,1334669,64739,4.6
1980,Dec,62.6,59.9,1403256,1343943,59313,4.2
1981,Jan,62.7,60.3,1408150,1353530,54620,3.9
1981,Feb,62.8,60.6,1414050,1362913,51137,3.6
1981,Mar,63,60.9,1420621,1371735,48886,3.4
