Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,62.6,56.5,1074151,969974,104177,9.7
1976,Feb,62.4,56.4,1073446,969351,104095,9.7
1976,Mar,62.2,56.2,1072689,969546,103143,9.6
1976,Apr,62.1,56.3,1073735,972719,101016,9.4
1976,May,62.1,56.4,1076382,977331,99051,9.2
1976,Jun,62.3,56.6,1081143,983132,98011,9.1
1976,Jul,62.5,56.9,1087537,989212,98325,9
1976,Aug,62.7,57,1094762,995155,99607,9.1
1976,Sep,63,57.2,1102269,1001249,101020,9.2
1976,Oct,63.2,57.4,1109712,1007315,102397,9.2
1976,Nov,63.4,57.5,1116657,1013272,103385,9.3
1976,Dec,63.6,57.7,1122897,1019266,103631,9.2
1977,Jan,63.7,57.9,1128671,1025657,103014,9.1
1977,Feb,63.8,58.1,1134110,1032891,101219,8.9
1977,Mar,63.9,58.4,1139258,1041049,98209,8.6
1977,Apr,64,58.8,1144263,1049879,94384,8.2
1977,May,64.1,59.1,1149169,1058915,90254,7.9
1977,Jun,64.2,59.4,1153957,1067749,86208,7.5
1977,Jul,64.3,59.7,1158832,1076153,82679,7.1
1977,Aug,64.4,60,1163933,1084133,79800,6.9
1977,Sep,64.5,60.2,1169060,1091817,77243,6.6
1977,Oct,64.6,60.5,1173870,1099242,74628,6.4
1977,Nov,64.6,60.7,1178391,1106421,71970,6.1
1977,Dec,64.7,60.9,1182769,1113201,69568,5.9
1978,Jan,64.7,61,1187112,1119458,67654,5.7
1978,Feb,64.8,61.2,1191685,1125101,66584,5.6
1978,Mar,64.9,61.3,1196702,1130219,66483,5.6
1978,Apr,65,61.4,1202265,1135030,67235,5.6
1978,May,65.1,61.4,1208473,1139675,68798,5.7
1978,Jun,65.3,61.5,1215121,1144115,71006,5.8
1978,Jul,65.5,61.6,1221613,1148134,73479,6
1978,Aug,65.6,61.6,1227414,1151310,76104,6.2
1978,Sep,65.7,61.5,1232211,1153311,78900,6.4
1978,Oct,65.7,61.4,1235914,1154296,81618,6.6
1978,Nov,65.7,61.3,1238603,1154582,84021,6.8
1978,Dec,65.6,61.1,1240337,1154527,85810,6.9
1979,Jan,65.5,60.9,1241365,1154719,86646,7
1979,Feb,65.3,60.8,1242077,1155688,86389,7
1979,Mar,65.2,60.7,1243014,1157627,85387,6.9
1979,Apr,65.1,60.7,1244605,1160397,84208,6.8
1979,May,65.1,60.7,1246946,1163719,83227,6.7
1979,Jun,65.1,60.8,1249883,1167158,82725,6.6
1979,Jul,65.1,60.8,1253229,1170611,82618,6.6
1979,Aug,65.1,60.8,1256998,1174160,82838,6.6
1979,Sep,65.1,60.8,1261002,1177933,83069,6.6
1979,Oct,65.2,60.9,1264829,1182050,82779,6.5
1979,Nov,65.2,61,1268295,1186276,82019,6.5
1979,Dec,65.2,61,1271900,1189898,82002,6.4
1980,Jan,65.3,61,1276153,1192015,84138,6.6
1980,Feb,65.4,60.8,1281308,1192007,89301,7
1980,Mar,65.5,60.6,1287054,1189965,97089,7.5
1980,Apr,65.6,60.2,1292615,1186650,105965,8.2
1980,May,65.8,60,1297290,1183222,114068,8.8
1980,Jun,65.9,59.8,1300781,1180965,119816,9.2
1980,Jul,65.9,59.7,1303015,1180658,122357,9.4
