Year,Period,labor force,employment,unemployment,unemployment rate
1976,Jan,847412,681331,166081,19.6
1976,Feb,846761,681314,165447,19.5
1976,Mar,847338,683530,163808,19.3
1976,Apr,851826,689691,162135,19
1976,May,857416,695651,161765,18.9
1976,Jun,862041,699232,162809,18.9
1976,Jul,864840,699690,165150,19.1
1976,Aug,866030,697594,168436,19.4
1976,Sep,866632,695386,171246,19.8
1976,Oct,867097,694672,172425,19.9
1976,Nov,867428,695318,172110,19.8
1976,Dec,867368,695898,171470,19.8
1977,Jan,866092,694778,171314,19.8
1977,Feb,863161,691302,171859,19.9
1977,Mar,860070,686691,173379,20.2
1977,Apr,859663,683781,175882,20.5
1977,May,863271,684399,178872,20.7
1977,Jun,870570,689465,181105,20.8
1977,Jul,878635,697477,181158,20.6
1977,Aug,884895,706090,178805,20.2
1977,Sep,888624,713248,175376,19.7
1977,Oct,889927,717352,172575,19.4
1977,Nov,889683,719129,170554,19.2
1977,Dec,888735,720212,168523,19
1978,Jan,888423,722141,166282,18.7
1978,Feb,889112,725622,163490,18.4
1978,Mar,889952,729693,160259,18
1978,Apr,890016,732874,157142,17.7
1978,May,889428,734375,155053,17.4
1978,Jun,888742,734175,154567,17.4
1978,Jul,888500,732653,155847,17.5
1978,Aug,889023,730514,158509,17.8
1978,Sep,889457,728197,161260,18.1
1978,Oct,890295,727099,163196,18.3
1978,Nov,891792,727887,163905,18.4
1978,Dec,893275,730205,163070,18.3
1979,Jan,894004,733491,160513,18
1979,Feb,893931,737122,156809,17.5
1979,Mar,894012,741077,152935,17.1
1979,Apr,894386,744923,149463,16.7
1979,May,895539,748296,147243,16.4
1979,Jun,897958,751043,146915,16.4
1979,Jul,900670,752326,148344,16.5
1979,Aug,902255,751572,150683,16.7
1979,Sep,902217,748798,153419,17
1979,Oct,900574,744806,155768,17.3
1979,Nov,898524,741338,157186,17.5
1979,Dec,897979,740279,157700,17.6
1980,Jan,899954,742592,157362,17.5
1980,Feb,904609,748181,156428,17.3
1980,Mar,910962,755574,155388,17.1
1980,Apr,916986,762612,154374,16.8
1980,May,921065,767554,153511,16.7
1980,Jun,922030,769039,152991,16.6
1980,Jul,920586,767561,153025,16.6
1980,Aug,918343,764330,154013,16.8
1980,Sep,916689,760624,156065,17
1980,Oct,916510,757827,158683,17.3
1980,Nov,918221,756875,161346,17.6
1980,Dec,921782,757989,163793,17.8
1981,Jan,926444,760192,166252,17.9
1981,Feb,930877,761784,169093,18.2
1981,Mar,934004,761625,172379,18.5
1981,Apr,934979,758890,176089,18.8
1981,May,933659,753905,179754,19.3
1981,Jun,930653,747593,183060,19.7
1981,Jul,926970,740795,186175,20.1
1981,Aug,923431,734347,189084,20.5
1981,Sep,920446,728658,191788,20.8
1981,Oct,917418,723316,194102,21.2
1981,Nov,915476,719137,196339,21.4
1981,Dec,915373,716606,198767,21.7
1982,Jan,917370,715980,201390,22
1982,Feb,920951,716681,204270,22.2
1982,Mar,924313,716730,207583,22.5
1982,Apr,925907,715113,210794,22.8
