Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,59.1,55.6,1819844,1710143,109701,6
1976,Feb,59,55.4,1818088,1708651,109437,6
1976,Mar,58.8,55.3,1818191,1709613,108578,6
1976,Apr,58.9,55.5,1825620,1718077,107543,5.9
1976,May,59.2,55.8,1837093,1729974,107119,5.8
1976,Jun,59.5,56.1,1851184,1743304,107880,5.8
1976,Jul,59.9,56.3,1865156,1755158,109998,5.9
1976,Aug,60.1,56.5,1876977,1764092,112885,6
1976,Sep,60.3,56.6,1886495,1770818,115677,6.1
1976,Oct,60.4,56.6,1893764,1775429,118335,6.2
1976,Nov,60.5,56.6,1899808,1778618,121190,6.4
1976,Dec,60.5,56.6,1905599,1781712,123887,6.5
1977,Jan,60.6,56.6,1912142,1786066,126076,6.6
1977,Feb,60.7,56.7,1919175,1791995,127180,6.6
1977,Mar,60.8,56.8,1925963,1798864,127099,6.6
1977,Apr,60.9,56.9,1932067,1806112,125955,6.5
1977,May,60.9,57,1936817,1812978,123839,6.4
1977,Jun,60.9,57.1,1939872,1818643,121229,6.2
1977,Jul,60.8,57.1,1942119,1823188,118931,6.1
1977,Aug,60.8,57.1,1945081,1827427,117654,6
1977,Sep,60.8,57.2,1949005,1831937,117068,6
1977,Oct,60.9,57.2,1953081,1836577,116504,6
1977,Nov,60.9,57.3,1956691,1840866,115825,5.9
1977,Dec,60.9,57.3,1959373,1844131,115242,5.9
1978,Jan,60.8,57.3,1961297,1846818,114479,5.8
1978,Feb,60.8,57.3,1962968,1849379,113589,5.8
1978,Mar,60.7,57.3,1964415,1851604,112811,5.7
1978,Apr,60.7,57.2,1965731,1853193,112538,5.7
1978,May,60.6,57.2,1967844,1854549,113295,5.8
1978,Jun,60.6,57.1,1971006,1856368,114638,5.8
1978,Jul,60.7,57.1,1974865,1858799,116066,5.9
1978,Aug,60.7,57.1,1979410,1862036,117374,5.9
1978,Sep,60.8,57.1,1985375,1866970,118405,6
1978,Oct,60.9,57.2,1993146,1874602,118544,5.9
1978,Nov,61,57.4,2001850,1884608,117242,5.9
1978,Dec,61.1,57.6,2010026,1894902,115124,5.7
1979,Jan,61.2,57.8,2016586,1903163,113423,5.6
1979,Feb,61.2,57.8,2021454,1908635,112819,5.6
1979,Mar,61.2,57.8,2025258,1911767,113491,5.6
1979,Apr,61.2,57.7,2028960,1913463,115497,5.7
1979,May,61.2,57.7,2033193,1915039,118154,5.8
1979,Jun,61.3,57.6,2038256,1917241,121015,5.9
1979,Jul,61.3,57.6,2044253,1921057,123196,6
1979,Aug,61.4,57.7,2050772,1926650,124122,6.1
1979,Sep,61.5,57.8,2057201,1933052,124149,6
1979,Oct,61.5,57.8,2062904,1939164,123740,6
1979,Nov,61.5,57.9,2067523,1944036,123487,6
1979,Dec,61.5,57.8,2071011,1946863,124148,6
1980,Jan,61.5,57.7,2072929,1946630,126299,6.1
1980,Feb,61.4,57.5,2073587,1943164,130423,6.3
1980,Mar,61.3,57.2,2074107,1937349,136758,6.6
1980,Apr,61.2,56.9,2074969,1930639,144330,7
1980,May,61.2,56.7,2076660,1924564,152096,7.3
1980,Jun,61.2,56.5,2079764,1920666,159098,7.6
1980,Jul,61.2,56.4,2083250,1919052,164198,7.9
1980,Aug,61.2,56.3,2085926,1918848,167078,8
1980,Sep,61.2,56.3,2087377,1918932,168445,8.1
1980,Oct,61.2,56.2,2088043,1918198,169845,8.1
1980,Nov,61.2,56.1,2089381,1917466,171915,8.2
1980,Dec,61.2,56.1,2093450,1918999,174451,8.3
1981,Jan,61.4,56.2,2100893,1923543,177350,8.4
1981,Feb,61.6,56.3,2109831,1929871,179960,8.5
1981,Mar,61.7,56.5,2117736,1936632,181104,8.6
1981,Apr,61.8,56.5,2122286,1941614,180672,8.5
1981,May,61.7,56.5,2122053,1942446,179607,8.5
1981,Jun,61.5,56.3,2117756,1938594,179162,8.5
1981,Jul,61.3,56.1,2111560,1930590,180970,8.6
1981,Aug,61.1,55.7,2105282,1919974,185308,8.8
1981,Sep,60.9,55.3,2100305,1908839,191466,9.1
1981,Oct,60.8,55,2097969,1898871,199098,9.5
1981,Nov,60.7,54.7,2097860,1890065,207795,9.9
1981,Dec,60.7,54.4,2099187,1882546,216641,10.3
1982,Jan,60.7,54.2,2101834,1877577,224257,10.7
1982,Feb,60.8,54.1,2106209,1875747,230462,10.9
1982,Mar,60.9,54.1,2111975,1876378,235597,11.2
1982,Apr,61.1,54.2,2118851,1879139,239712,11.3
1982,May,61.2,54.2,2126008,1883337,242671,11.4
1982,Jun,61.3,54.3,2132039,1887073,244966,11.5
1982,Jul,61.4,54.3,2137127,1889109,248018,11.6
1982,Aug,61.5,54.3,2142214,1889090,253124,11.8
1982,Sep,61.7,54.2,2147564,1887245,260319,12.1
1982,Oct,61.8,54.1,2152457,1884464,267993,12.5
1982,Nov,61.8,54,2156499,1882207,274292,12.7
1982,Dec,61.9,53.9,2158595,1880911,277684,12.9
1983,Jan,61.8,53.9,2158636,1880606,278030,12.9
1983,Feb,61.8,53.9,2157691,1882262,275429,12.8
1983,Mar,61.7,54,2157173,1886497,270676,12.5
1983,Apr,61.7,54.1,2159233,1893724,265509,12.3
1983,May,61.8,54.4,2164866,1903837,261029,12.1
1983,Jun,62,54.7,2173538,1916398,257140,11.8
1983,Jul,62.3,55.1,2183562,1930749,252813,11.6
1983,Aug,62.5,55.5,2192681,1945288,247393,11.3
1983,Sep,62.6,55.8,2199154,1958634,240520,10.9
1983,Oct,62.7,56.1,2202381,1970167,232214,10.5
1983,Nov,62.6,56.3,2203024,1979604,223420,10.1
1983,Dec,62.6,56.5,2202763,1987569,215194,9.8
1984,Jan,62.5,56.6,2203240,1995540,207700,9.4
1984,Feb,62.6,56.8,2205592,2004272,201320,9.1
1984,Mar,62.6,57.1,2210414,2013448,196966,8.9
1984,Apr,62.8,57.3,2216465,2022159,194306,8.8
1984,May,62.9,57.4,2222857,2029862,192995,8.7
1984,Jun,63,57.6,2228545,2036209,192336,8.6
1984,Jul,63,57.6,2232099,2041041,191058,8.6
1984,Aug,63,57.7,2233590,2045009,188581,8.4
1984,Sep,62.9,57.7,2234248,2048828,185420,8.3
1984,Oct,62.9,57.7,2235504,2053389,182115,8.1
1984,Nov,62.9,57.8,2238624,2059513,179111,8
1984,Dec,62.9,58,2243909,2066698,177211,7.9
1985,Jan,63,58,2249892,2072937,176955,7.9
1985,Feb,63,58,2254551,2076347,178204,7.9
1985,Mar,63,58,2256367,2076439,179928,8
1985,Apr,62.9,57.8,2255397,2074052,181345,8
1985,May,62.7,57.7,2252845,2070876,181969,8.1
1985,Jun,62.6,57.5,2250452,2069006,181446,8.1
1985,Jul,62.5,57.5,2249991,2069642,180349,8
1985,Aug,62.5,57.5,2252210,2073573,178637,7.9
1985,Sep,62.6,57.7,2256730,2079978,176752,7.8
1985,Oct,62.7,57.8,2262631,2086632,175999,7.8
1985,Nov,62.8,57.9,2268622,2091668,176954,7.8
1985,Dec,62.9,58,2273440,2094288,179152,7.9
1986,Jan,63,58,2277258,2095266,181992,8
1986,Feb,63.1,58,2281145,2096470,184675,8.1
1986,Mar,63.2,58,2285419,2099360,186059,8.1
1986,Apr,63.3,58.1,2289988,2104302,185686,8.1
1986,May,63.3,58.3,2294387,2110478,183909,8
1986,Jun,63.4,58.4,2298881,2116923,181958,7.9
1986,Jul,63.5,58.5,2303603,2122964,180639,7.8
1986,Aug,63.6,58.6,2308069,2127854,180215,7.8
1986,Sep,63.6,58.6,2311871,2131669,180202,7.8
1986,Oct,63.6,58.6,2314879,2135378,179501,7.8
1986,Nov,63.5,58.7,2316913,2139086,177827,7.7
1986,Dec,63.5,58.7,2319077,2143655,175422,7.6
1987,Jan,63.5,58.8,2322102,2149329,172773,7.4
1987,Feb,63.5,58.9,2325341,2155482,169859,7.3
1987,Mar,63.5,59,2328912,2162002,166910,7.2
1987,Apr,63.6,59.1,2332584,2168640,163944,7
1987,May,63.6,59.2,2335565,2175109,160456,6.9
1987,Jun,63.5,59.3,2337349,2181083,156266,6.7
1987,Jul,63.4,59.3,2338095,2186437,151658,6.5
1987,Aug,63.4,59.4,2338489,2191174,147315,6.3
1987,Sep,63.4,59.5,2339279,2195664,143615,6.1
1987,Oct,63.4,59.5,2340619,2199556,141063,6
1987,Nov,63.3,59.6,2342313,2202915,139398,6
1987,Dec,63.3,59.6,2343309,2205199,138110,5.9
1988,Jan,63.2,59.6,2342464,2205784,136680,5.8
1988,Feb,63.1,59.5,2340326,2205003,135323,5.8
1988,Mar,63,59.4,2337764,2203262,134502,5.8
1988,Apr,62.9,59.3,2335995,2201565,134430,5.8
1988,May,62.9,59.2,2336149,2201047,135102,5.8
1988,Jun,62.9,59.2,2338301,2202047,136254,5.8
1988,Jul,62.9,59.2,2341969,2204389,137580,5.9
1988,Aug,63,59.3,2346809,2207827,138982,5.9
1988,Sep,63.1,59.3,2351906,2212118,139788,5.9
1988,Oct,63.1,59.4,2355980,2217152,138828,5.9
1988,Nov,63.2,59.5,2358537,2222679,135858,5.8
1988,Dec,63.2,59.6,2359453,2228116,131337,5.6
1989,Jan,63.1,59.7,2359339,2233365,125974,5.3
1989,Feb,63.1,59.8,2358804,2237852,120952,5.1
1989,Mar,63,59.9,2358678,2241480,117198,5
1989,Apr,63,59.9,2359509,2244143,115366,4.9
1989,May,63,59.9,2361397,2245812,115585,4.9
1989,Jun,63,59.9,2364477,2247024,117453,5
1989,Jul,63.1,59.9,2368099,2248095,120004,5.1
1989,Aug,63.1,59.9,2371246,2249240,122006,5.1
1989,Sep,63.1,59.9,2373669,2250744,122925,5.2
1989,Oct,63.2,59.9,2375918,2253324,122594,5.2
1989,Nov,63.2,60,2378097,2256924,121173,5.1
1989,Dec,63.2,60,2381015,2261152,119863,5
1990,Jan,63.9,60.7,2385072,2265627,119445,5
1990,Feb,63.9,60.7,2389427,2269721,119706,5
1990,Mar,63.9,60.7,2393113,2272678,120435,5
1990,Apr,63.9,60.6,2395586,2274066,121520,5.1
1990,May,63.8,60.5,2397049,2274149,122900,5.1
1990,Jun,63.7,60.4,2397239,2272841,124398,5.2
1990,Jul,63.6,60.2,2396645,2270544,126101,5.3
1990,Aug,63.5,60.1,2395895,2267507,128388,5.4
1990,Sep,63.4,59.9,2395276,2263423,131853,5.5
1990,Oct,63.3,59.7,2395273,2258166,137107,5.7
1990,Nov,63.2,59.5,2396735,2252968,143767,6
1990,Dec,63.2,59.3,2399237,2248924,150313,6.3
1991,Jan,63.2,59.1,2402107,2246039,156068,6.5
1991,Feb,63.3,59,2405587,2244786,160801,6.7
1991,Mar,63.3,59,2408753,2244775,163978,6.8
1991,Apr,63.3,58.9,2410957,2245558,165399,6.9
1991,May,63.2,58.9,2412480,2247020,165460,6.9
1991,Jun,63.2,58.9,2413911,2249100,164811,6.8
1991,Jul,63.2,58.9,2415302,2251321,163981,6.8
1991,Aug,63.1,58.9,2416795,2253386,163409,6.8
1991,Sep,63.1,58.8,2418786,2255345,163441,6.8
1991,Oct,63.1,58.8,2421082,2256975,164107,6.8
1991,Nov,63,58.8,2423313,2258438,164875,6.8
1991,Dec,63,58.7,2425307,2260219,165088,6.8
1992,Jan,63,58.8,2427708,2263201,164507,6.8
1992,Feb,63.1,58.8,2431013,2267763,163250,6.7
1992,Mar,63.1,58.9,2435944,2274345,161599,6.6
1992,Apr,63.2,59.1,2442463,2282538,159925,6.5
1992,May,63.3,59.2,2449059,2290755,158304,6.5
1992,Jun,63.4,59.4,2454996,2298011,156985,6.4
1992,Jul,63.5,59.4,2460805,2304188,156617,6.4
1992,Aug,63.5,59.5,2466514,2309317,157197,6.4
1992,Sep,63.6,59.5,2471224,2313399,157825,6.4
1992,Oct,63.6,59.5,2475001,2317005,157996,6.4
1992,Nov,63.6,59.5,2477932,2319878,158054,6.4
1992,Dec,63.5,59.5,2480571,2322266,158305,6.4
1993,Jan,63.5,59.5,2483789,2325295,158494,6.4
1993,Feb,63.6,59.5,2488084,2329749,158335,6.4
1993,Mar,63.7,59.6,2494268,2336569,157699,6.3
1993,Apr,63.8,59.8,2502617,2346280,156337,6.2
1993,May,64,60,2512574,2358253,154321,6.1
1993,Jun,64.2,60.3,2522936,2371366,151570,6
1993,Jul,64.3,60.6,2531933,2384331,147602,5.8
1993,Aug,64.4,60.8,2539673,2396934,142739,5.6
1993,Sep,64.5,61,2548260,2410046,138214,5.4
1993,Oct,64.7,61.3,2559017,2423980,135037,5.3
1993,Nov,64.9,61.5,2572125,2438564,133561,5.2
1993,Dec,65.2,61.8,2587211,2453881,133330,5.2
1994,Jan,65.5,62.1,2602566,2469277,133289,5.1
1994,Feb,65.8,62.4,2616109,2483403,132706,5.1
1994,Mar,66,62.7,2626812,2495137,131675,5
1994,Apr,66.1,62.8,2634915,2504462,130453,5
1994,May,66.2,62.9,2642091,2512841,129250,4.9
1994,Jun,66.3,63.1,2650141,2521860,128281,4.8
1994,Jul,66.4,63.2,2660308,2532609,127699,4.8
1994,Aug,66.6,63.4,2672412,2544994,127418,4.8
1994,Sep,66.8,63.7,2685014,2558079,126935,4.7
1994,Oct,67,63.9,2696428,2570916,125512,4.7
1994,Nov,67.1,64.1,2706214,2582595,123619,4.6
1994,Dec,67.2,64.2,2713893,2591156,122737,4.5
1995,Jan,67.3,64.2,2719116,2595079,124037,4.6
1995,Feb,67.3,64.1,2722783,2595213,127570,4.7
1995,Mar,67.2,64,2725676,2593031,132645,4.9
1995,Apr,67.2,63.8,2728294,2589893,138401,5.1
1995,May,67.2,63.6,2731349,2587458,143891,5.3
1995,Jun,67.2,63.5,2734622,2586680,147942,5.4
1995,Jul,67.1,63.5,2737424,2587727,149697,5.5
1995,Aug,67.1,63.4,2738908,2589821,149087,5.4
1995,Sep,67,63.4,2739091,2592010,147081,5.4
1995,Oct,66.8,63.3,2738695,2593827,144868,5.3
1995,Nov,66.7,63.2,2738196,2595405,142791,5.2
1995,Dec,66.6,63.2,2738406,2597255,141151,5.2
1996,Jan,66.6,63.2,2740565,2600325,140240,5.1
1996,Feb,66.6,63.2,2745075,2604930,140145,5.1
1996,Mar,66.7,63.3,2751127,2610823,140304,5.1
1996,Apr,66.7,63.3,2757078,2617425,139653,5.1
1996,May,66.7,63.4,2761868,2623888,137980,5
1996,Jun,66.7,63.4,2766009,2629443,136566,4.9
1996,Jul,66.7,63.4,2770379,2633636,136743,4.9
1996,Aug,66.7,63.4,2775277,2636336,138941,5
1996,Sep,66.7,63.3,2779841,2637006,142835,5.1
1996,Oct,66.7,63.2,2783154,2635261,147893,5.3
1996,Nov,66.6,63,2784946,2631911,153035,5.5
1996,Dec,66.5,62.8,2784998,2628592,156406,5.6
1997,Jan,66.4,62.7,2783640,2626470,157170,5.6
1997,Feb,66.3,62.6,2781821,2626027,155794,5.6
1997,Mar,66.2,62.6,2781017,2627624,153393,5.5
1997,Apr,66.2,62.6,2782739,2630973,151766,5.5
1997,May,66.2,62.6,2786108,2634707,151401,5.4
1997,Jun,66.1,62.6,2789245,2637983,151262,5.4
1997,Jul,66.1,62.5,2791317,2640948,150369,5.4
1997,Aug,66,62.5,2791968,2643732,148236,5.3
1997,Sep,65.9,62.5,2790881,2646758,144123,5.2
1997,Oct,65.8,62.5,2788643,2650243,138400,5
1997,Nov,65.7,62.6,2785986,2653808,132178,4.7
1997,Dec,65.6,62.6,2784267,2657511,126756,4.6
1998,Jan,65.5,62.6,2784309,2661385,122924,4.4
1998,Feb,65.5,62.7,2786228,2665530,120698,4.3
1998,Mar,65.5,62.7,2789503,2669714,119789,4.3
1998,Apr,65.6,62.8,2793804,2674219,119585,4.3
