Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63.8,60.1,5627987,5298778,329209,5.8
1976,Feb,63.6,59.9,5624823,5295497,329326,5.9
1976,Mar,63.5,59.7,5629458,5299209,330249,5.9
1976,Apr,63.5,59.8,5653373,5321425,331948,5.9
1976,May,63.7,60,5684052,5350734,333318,5.9
1976,Jun,63.9,60.1,5714998,5381718,333280,5.8
1976,Jul,64,60.3,5739119,5407584,331535,5.8
1976,Aug,64,60.3,5755786,5426895,328891,5.7
1976,Sep,64,60.3,5770305,5443387,326918,5.7
1976,Oct,64,60.4,5785215,5458404,326811,5.6
1976,Nov,64,60.4,5802339,5473608,328731,5.7
1976,Dec,64,60.4,5821892,5490841,331051,5.7
1977,Jan,64.1,60.5,5843715,5511563,332152,5.7
1977,Feb,64.2,60.6,5865786,5535189,330597,5.6
1977,Mar,64.2,60.7,5885057,5559030,326027,5.5
1977,Apr,64.3,60.8,5900976,5581449,319527,5.4
1977,May,64.2,60.8,5915306,5602054,313252,5.3
1977,Jun,64.2,60.9,5930627,5621018,309609,5.2
1977,Jul,64.3,60.9,5948949,5639897,309052,5.2
1977,Aug,64.4,61,5971461,5660471,310990,5.2
1977,Sep,64.5,61.1,5997396,5683524,313872,5.2
1977,Oct,64.6,61.2,6024246,5708323,315923,5.2
1977,Nov,64.7,61.3,6049565,5733214,316351,5.2
1977,Dec,64.8,61.4,6071388,5756351,315037,5.2
1978,Jan,64.8,61.5,6090069,5778355,311714,5.1
1978,Feb,64.8,61.6,6107801,5800680,307121,5
1978,Mar,64.9,61.7,6126483,5824121,302362,4.9
1978,Apr,64.9,61.8,6146584,5848514,298070,4.8
1978,May,65,61.9,6168511,5873637,294874,4.8
1978,Jun,65.1,62,6192173,5899185,292988,4.7
1978,Jul,65.2,62.1,6217451,5924030,293421,4.7
1978,Aug,65.2,62.1,6243179,5947634,295545,4.7
1978,Sep,65.3,62.2,6268160,5971075,297085,4.7
1978,Oct,65.4,62.3,6292671,5996126,296545,4.7
1978,Nov,65.4,62.4,6316381,6022940,293441,4.6
1978,Dec,65.4,62.5,6337938,6049161,288777,4.6
1979,Jan,65.4,62.5,6355993,6072281,283712,4.5
1979,Feb,65.4,62.5,6371423,6092317,279106,4.4
1979,Mar,65.4,62.6,6386829,6110727,276102,4.3
1979,Apr,65.4,62.6,6405159,6129384,275775,4.3
1979,May,65.4,62.6,6427782,6150075,277707,4.3
1979,Jun,65.5,62.6,6453188,6172466,280722,4.4
1979,Jul,65.6,62.7,6479252,6196822,282430,4.4
1979,Aug,65.6,62.8,6505104,6222616,282488,4.3
1979,Sep,65.7,62.8,6530768,6248171,282597,4.3
1979,Oct,65.7,62.9,6556039,6272510,283529,4.3
1979,Nov,65.8,62.9,6581769,6295448,286321,4.4
1979,Dec,65.9,62.9,6609263,6316803,292460,4.4
1980,Jan,65.9,62.9,6637791,6335078,302713,4.6
1980,Feb,66,62.9,6664900,6348569,316331,4.7
1980,Mar,66,62.8,6688533,6357152,331381,5
1980,Apr,66,62.6,6706951,6362265,344686,5.1
1980,May,66,62.5,6720742,6366680,354062,5.3
1980,Jun,66,62.4,6734210,6374931,359279,5.3
1980,Jul,65.9,62.4,6750256,6389170,361086,5.3
1980,Aug,66,62.4,6770147,6409449,360698,5.3
1980,Sep,66,62.5,6794147,6434553,359594,5.3
1980,Oct,66.1,62.6,6821438,6461970,359468,5.3
1980,Nov,66.2,62.8,6851048,6490940,360108,5.3
1980,Dec,66.4,62.9,6883288,6522615,360673,5.2
1981,Jan,66.5,63.1,6917849,6556298,361551,5.2
1981,Feb,66.7,63.2,6952803,6589945,362858,5.2
1981,Mar,66.9,63.4,6986833,6622566,364267,5.2
1981,Apr,67,63.5,7018173,6652082,366091,5.2
1981,May,67.1,63.6,7044569,6676419,368150,5.2
1981,Jun,67.1,63.6,7065709,6695768,369941,5.2
1981,Jul,67.1,63.6,7083018,6710972,372046,5.3
1981,Aug,67,63.5,7098212,6723539,374673,5.3
1981,Sep,66.9,63.4,7113539,6735583,377956,5.3
1981,Oct,66.9,63.3,7131325,6748482,382843,5.4
1981,Nov,66.8,63.2,7151260,6761143,390117,5.5
1981,Dec,66.8,63.1,7173437,6773572,399865,5.6
1982,Jan,66.8,63,7198777,6787708,411069,5.7
1982,Feb,66.9,62.9,7228118,6804090,424028,5.9
1982,Mar,66.9,62.9,7260392,6821426,438966,6
1982,Apr,67,62.9,7294863,6839478,455385,6.2
1982,May,67.1,62.8,7330460,6857570,472890,6.5
1982,Jun,67.2,62.7,7364774,6873473,491301,6.7
1982,Jul,67.3,62.7,7397371,6886244,511127,6.9
1982,Aug,67.4,62.6,7429213,6896037,533176,7.2
1982,Sep,67.6,62.5,7460493,6903169,557324,7.5
1982,Oct,67.7,62.4,7490775,6908614,582161,7.8
1982,Nov,67.8,62.3,7519583,6914130,605453,8.1
1982,Dec,67.8,62.2,7543336,6919409,623927,8.3
1983,Jan,67.8,62.1,7560844,6924652,636192,8.4
1983,Feb,67.8,62,7574330,6932802,641528,8.5
1983,Mar,67.7,62,7586596,6946093,640503,8.4
1983,Apr,67.7,62,7601840,6966048,635792,8.4
1983,May,67.7,62.1,7621730,6992199,629531,8.3
1983,Jun,67.8,62.2,7644471,7022295,622176,8.1
1983,Jul,67.8,62.4,7666775,7053672,613103,8
1983,Aug,67.8,62.5,7684526,7082471,602055,7.8
1983,Sep,67.8,62.6,7694426,7106089,588337,7.6
1983,Oct,67.7,62.7,7695977,7124533,571444,7.4
1983,Nov,67.6,62.7,7692297,7139315,552982,7.2
1983,Dec,67.4,62.7,7688988,7153561,535427,7
1984,Jan,67.3,62.8,7689359,7170636,518723,6.7
1984,Feb,67.2,62.8,7693879,7191301,502578,6.5
1984,Mar,67.2,62.9,7701838,7213604,488234,6.3
1984,Apr,67.2,63,7709908,7234031,475877,6.2
1984,May,68.2,64.1,7840905,7374389,466516,5.9
1984,Jun,68.4,64.4,7883665,7422787,460878,5.8
1984,Jul,68.5,64.5,7898829,7439916,458913,5.8
1984,Aug,68.4,64.4,7907255,7446145,461110,5.8
1984,Sep,68.4,64.4,7917375,7449495,467880,5.9
1984,Oct,68.4,64.3,7932600,7454260,478340,6
1984,Nov,68.5,64.3,7953218,7462918,490300,6.2
1984,Dec,68.6,64.3,7976672,7474652,502020,6.3
1985,Jan,68.6,64.2,7998343,7484932,513411,6.4
1985,Feb,68.7,64.2,8014082,7489140,524942,6.6
1985,Mar,68.6,64,8021570,7485636,535934,6.7
1985,Apr,68.5,63.9,8021915,7475793,546122,6.8
1985,May,68.4,63.6,8018956,7462899,556057,6.9
1985,Jun,68.3,63.4,8017427,7451462,565965,7.1
1985,Jul,68.2,63.3,8020208,7444654,575554,7.2
1985,Aug,68.1,63.2,8026736,7444572,582164,7.3
1985,Sep,68.1,63.1,8035444,7449910,585534,7.3
1985,Oct,68.1,63.1,8044556,7456083,588473,7.3
1985,Nov,68.1,63,8052732,7458747,593985,7.4
1985,Dec,68,62.9,8060684,7455924,604760,7.5
1986,Jan,68,62.8,8071823,7449243,622580,7.7
1986,Feb,68.1,62.7,8089551,7442856,646695,8
1986,Mar,68.2,62.5,8113485,7440192,673293,8.3
1986,Apr,68.3,62.5,8141016,7442665,698351,8.6
1986,May,68.5,62.4,8167653,7449293,718360,8.8
1986,Jun,68.6,62.4,8190515,7458133,732382,8.9
1986,Jul,68.6,62.4,8208764,7467166,741598,9
1986,Aug,68.7,62.5,8222473,7474205,748268,9.1
1986,Sep,68.8,62.5,8232427,7478872,753555,9.2
1986,Oct,68.8,62.5,8239269,7482823,756446,9.2
1986,Nov,68.8,62.5,8243079,7486771,756308,9.2
1986,Dec,68.8,62.5,8245423,7493133,752290,9.1
1987,Jan,68.8,62.6,8247221,7502987,744234,9
1987,Feb,68.8,62.6,8248301,7515113,733188,8.9
1987,Mar,68.8,62.7,8251106,7529047,722059,8.8
1987,Apr,68.8,62.8,8256519,7544050,712469,8.6
1987,May,68.8,62.9,8263718,7559154,704564,8.5
1987,Jun,68.8,63,8271694,7573316,698378,8.4
1987,Jul,68.9,63.1,8279326,7586330,692996,8.4
1987,Aug,68.9,63.2,8286108,7598548,687560,8.3
1987,Sep,68.9,63.3,8292290,7611143,681147,8.2
1987,Oct,69,63.4,8298109,7623766,674343,8.1
1987,Nov,69,63.4,8303798,7636645,667153,8
1987,Dec,69,63.5,8308284,7648563,659721,7.9
1988,Jan,69,63.6,8310417,7658622,651795,7.8
1988,Feb,69,63.6,8310909,7667981,642928,7.7
1988,Mar,69,63.7,8310563,7677058,633505,7.6
1988,Apr,68.9,63.8,8311114,7686700,624414,7.5
1988,May,68.9,63.8,8314445,7698019,616426,7.4
1988,Jun,69,63.9,8321207,7711522,609685,7.3
1988,Jul,69,64,8330911,7726706,604205,7.3
1988,Aug,69.1,64.1,8343121,7742732,600389,7.2
1988,Sep,69.1,64.2,8357125,7759256,597869,7.2
1988,Oct,69.1,64.2,8371253,7776661,594592,7.1
1988,Nov,69.2,64.3,8384619,7794632,589987,7
1988,Dec,69.2,64.4,8395820,7811712,584108,7
1989,Jan,69.2,64.5,8404227,7827072,577155,6.9
1989,Feb,69.2,64.5,8409931,7839021,570910,6.8
1989,Mar,69.1,64.5,8414266,7848129,566137,6.7
1989,Apr,69.1,64.5,8418409,7855400,563009,6.7
1989,May,69.1,64.5,8423286,7861654,561632,6.7
1989,Jun,69,64.4,8430102,7868305,561797,6.7
1989,Jul,69,64.4,8439188,7876342,562846,6.7
1989,Aug,69.1,64.5,8449365,7886829,562536,6.7
1989,Sep,69.1,64.5,8459907,7900223,559684,6.6
1989,Oct,69.1,64.6,8472561,7917719,554842,6.5
1989,Nov,69.1,64.7,8487907,7939082,548825,6.5
1989,Dec,69.2,64.8,8506920,7963451,543469,6.4
1990,Jan,67.9,63.6,8529504,7989578,539926,6.3
1990,Feb,68.1,63.8,8553003,8015501,537502,6.3
1990,Mar,68.2,64,8574321,8038318,536003,6.3
1990,Apr,68.3,64.1,8592140,8056183,535957,6.2
1990,May,68.4,64.2,8606931,8069925,537006,6.2
