Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,52,47.9,702600,647491,55109,7.8
1976,Feb,51.9,47.8,702802,647556,55246,7.9
1976,Mar,51.8,47.7,702963,647481,55482,7.9
1976,Apr,51.6,47.6,702202,646833,55369,7.9
1976,May,51.4,47.4,700747,646032,54715,7.8
1976,Jun,51.1,47.2,698539,645282,53257,7.6
1976,Jul,50.8,47.1,695860,644584,51276,7.4
1976,Aug,50.6,47,693315,644460,48855,7
1976,Sep,50.3,46.9,691711,645060,46651,6.7
1976,Oct,50.3,47,692129,646500,45629,6.6
1976,Nov,50.4,47.1,694617,648788,45829,6.6
1976,Dec,50.6,47.2,698445,651700,46745,6.7
1977,Jan,50.8,47.3,702587,654711,47876,6.8
1977,Feb,51,47.5,706061,657281,48780,6.9
1977,Mar,51,47.5,708184,658956,49228,7
1977,Apr,51,47.5,709020,659772,49248,6.9
1977,May,50.9,47.4,709157,660138,49019,6.9
1977,Jun,50.9,47.4,709628,660915,48713,6.9
1977,Jul,50.9,47.4,711007,662456,48551,6.8
1977,Aug,51,47.5,713151,664365,48786,6.8
1977,Sep,51.1,47.6,715105,666054,49051,6.9
1977,Oct,51.1,47.6,715586,666463,49123,6.9
1977,Nov,51,47.5,714873,665663,49210,6.9
1977,Dec,50.9,47.4,714042,664976,49066,6.9
1978,Jan,50.8,47.4,714218,665842,48376,6.8
1978,Feb,50.9,47.6,716197,669191,47006,6.6
1978,Mar,51.2,47.9,720253,675086,45167,6.3
1978,Apr,51.5,48.4,726028,682574,43454,6
1978,May,52,48.9,732579,690141,42438,5.8
1978,Jun,52.3,49.3,738612,696270,42342,5.7
1978,Jul,52.6,49.6,743471,700329,43142,5.8
1978,Aug,52.8,49.7,747350,702797,44553,6
1978,Sep,53,49.8,750732,704558,46174,6.2
1978,Oct,53.2,49.8,754246,706799,47447,6.3
1978,Nov,53.4,50,757665,709636,48029,6.3
1978,Dec,53.5,50.1,760342,712187,48155,6.3
1979,Jan,53.6,50.2,762071,713986,48085,6.3
1979,Feb,53.6,50.2,763046,714824,48222,6.3
1979,Mar,53.6,50.1,763632,714889,48743,6.4
1979,Apr,53.6,50.1,764206,714672,49534,6.5
1979,May,53.6,50,765291,714736,50555,6.6
1979,Jun,53.6,50,767190,715276,51914,6.8
1979,Jul,53.8,50,769850,716356,53494,6.9
1979,Aug,53.9,50.1,772938,717817,55121,7.1
1979,Sep,54.1,50.2,775983,719372,56611,7.3
1979,Oct,54.3,50.2,778594,720655,57939,7.4
1979,Nov,54.4,50.2,780758,721421,59337,7.6
1979,Dec,54.5,50.2,782584,721633,60951,7.8
1980,Jan,54.5,50.2,783947,721196,62751,8
1980,Feb,54.5,50,784805,720029,64776,8.3
1980,Mar,54.5,49.9,785327,718056,67271,8.6
1980,Apr,54.5,49.6,785690,715416,70274,8.9
1980,May,54.5,49.4,785962,712543,73419,9.3
1980,Jun,54.4,49.2,786255,710036,76219,9.7
1980,Jul,54.4,49,786534,708237,78297,10
1980,Aug,54.4,48.9,786805,707215,79590,10.1
1980,Sep,54.4,48.9,787192,706912,80280,10.2
1980,Oct,54.4,48.9,787733,707411,80322,10.2
1980,Nov,54.4,48.9,788352,708373,79979,10.1
1980,Dec,54.4,48.9,789070,708800,80270,10.2
1981,Jan,54.4,48.8,789928,708003,81925,10.4
1981,Feb,54.5,48.6,790643,706170,84473,10.7
1981,Mar,54.4,48.5,790853,704063,86790,11
1981,Apr,54.4,48.3,790425,702419,88006,11.1
1981,May,54.3,48.2,789401,701687,87714,11.1
1981,Jun,54.1,48.2,787965,702029,85936,10.9
1981,Jul,54,48.3,786308,703099,83209,10.6
1981,Aug,53.8,48.3,784571,704149,80422,10.3
1981,Sep,53.7,48.3,782930,704370,78560,10
1981,Oct,53.6,48.2,781603,703166,78437,10
1981,Nov,53.5,48,780674,700792,79882,10.2
1981,Dec,53.4,47.8,780291,698401,81890,10.5
1982,Jan,53.5,47.7,780544,696510,84034,10.8
1982,Feb,53.5,47.6,781558,694879,86679,11.1
1982,Mar,53.6,47.4,783326,693195,90131,11.5
1982,Apr,53.7,47.3,785669,691301,94368,12
1982,May,53.9,47.1,788429,689123,99306,12.6
1982,Jun,54.1,46.9,791495,686641,104854,13.2
1982,Jul,54.3,46.8,794853,684036,110817,13.9
1982,Aug,54.5,46.6,798536,681620,116916,14.6
1982,Sep,54.8,46.4,802578,679655,122923,15.3
1982,Oct,52.3,43.5,766204,637489,128715,16.8
1982,Nov,51.7,42.6,758488,624428,134060,17.7
1982,Dec,51.7,42.3,758901,620349,138552,18.3
1983,Jan,51.8,42.2,760955,619237,141718,18.6
1983,Feb,52,42.2,762675,619482,143193,18.8
1983,Mar,52,42.2,763804,620621,143183,18.7
1983,Apr,52,42.3,764709,622474,142235,18.6
1983,May,52,42.5,765584,624826,140758,18.4
