Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,60,53.8,972413,872738,99675,10.3
1976,Feb,59.8,53.6,971753,871997,99756,10.3
1976,Mar,59.6,53.5,971967,872637,99330,10.2
1976,Apr,59.6,53.6,974938,877217,97721,10
1976,May,59.6,53.8,979281,883408,95873,9.8
1976,Jun,59.8,54,984254,890022,94232,9.6
1976,Jul,59.9,54.2,988887,895746,93141,9.4
1976,Aug,59.9,54.3,993223,900283,92940,9.4
1976,Sep,59.9,54.3,997610,904382,93228,9.3
1976,Oct,60,54.4,1001958,908289,93669,9.3
1976,Nov,60,54.4,1006303,912353,93950,9.3
1976,Dec,60,54.5,1010700,916965,93735,9.3
1977,Jan,60.1,54.6,1015516,922428,93088,9.2
1977,Feb,60.2,54.7,1020831,928840,91991,9
1977,Mar,60.3,54.9,1026273,935794,90479,8.8
1977,Apr,60.3,55.1,1031901,942915,88986,8.6
1977,May,60.5,55.4,1037677,949864,87813,8.5
1977,Jun,60.5,55.5,1043243,956280,86963,8.3
1977,Jul,60.6,55.6,1048322,962096,86226,8.2
1977,Aug,60.6,55.7,1052303,967390,84913,8.1
1977,Sep,60.5,55.8,1055055,972195,82860,7.9
1977,Oct,60.4,55.8,1056648,976316,80332,7.6
1977,Nov,60.2,55.8,1057172,979701,77471,7.3
1977,Dec,60,55.7,1057127,982527,74600,7.1
1978,Jan,59.7,55.7,1057365,985501,71864,6.8
1978,Feb,59.6,55.7,1058731,989151,69580,6.6
1978,Mar,59.5,55.7,1061661,993785,67876,6.4
1978,Apr,59.5,55.8,1065846,999458,66388,6.2
1978,May,59.6,56,1070968,1005984,64984,6.1
1978,Jun,59.7,56.2,1076814,1013060,63754,5.9
1978,Jul,59.8,56.4,1082843,1019978,62865,5.8
1978,Aug,59.9,56.4,1089073,1026450,62623,5.8
1978,Sep,60,56.5,1095979,1033103,62876,5.7
1978,Oct,60.1,56.7,1104172,1040900,63272,5.7
1978,Nov,60.4,56.9,1113812,1050048,63764,5.7
1978,Dec,60.6,57.2,1123492,1059541,63951,5.7
1979,Jan,60.8,57.4,1131494,1067974,63520,5.6
1979,Feb,60.8,57.4,1136935,1074575,62360,5.5
1979,Mar,60.7,57.4,1139708,1079124,60584,5.3
1979,Apr,60.4,57.3,1140474,1081848,58626,5.1
1979,May,60.1,57.1,1140642,1083835,56807,5
1979,Jun,59.9,57,1141618,1086193,55425,4.9
1979,Jul,59.8,57,1144815,1090164,54651,4.8
1979,Aug,59.9,57.1,1150919,1096266,54653,4.7
1979,Sep,60.1,57.2,1159434,1103839,55595,4.8
1979,Oct,60.4,57.4,1169321,1111832,57489,4.9
1979,Nov,60.7,57.6,1179665,1119450,60215,5.1
1979,Dec,61,57.7,1190048,1126195,63853,5.4
1980,Jan,61.2,57.8,1199875,1131550,68325,5.7
1980,Feb,61.5,57.7,1208477,1135235,73242,6.1
1980,Mar,61.6,57.6,1215704,1137477,78227,6.4
1980,Apr,61.7,57.5,1221587,1138920,82667,6.8
1980,May,61.7,57.4,1226105,1140128,85977,7
1980,Jun,61.8,57.3,1229764,1141836,87928,7.1
1980,Jul,61.8,57.3,1232887,1144482,88405,7.2
1980,Aug,61.8,57.4,1235500,1148049,87451,7.1
1980,Sep,61.7,57.5,1237586,1152188,85398,6.9
1980,Oct,61.6,57.5,1239163,1156406,82757,6.7
1980,Nov,61.6,57.6,1240750,1160692,80058,6.5
1980,Dec,61.6,57.7,1243446,1165674,77772,6.3
1981,Jan,61.6,57.9,1247648,1171601,76047,6.1
1981,Feb,61.7,58,1252938,1178115,74823,6
1981,Mar,61.9,58.2,1258809,1184832,73977,5.9
1981,Apr,62,58.4,1264477,1190951,73526,5.8
1981,May,62.1,58.5,1269131,1195613,73518,5.8
1981,Jun,62.1,58.5,1272475,1198557,73918,5.8
1981,Jul,62.1,58.4,1274735,1199700,75035,5.9
1981,Aug,62,58.2,1276661,1199382,77279,6.1
1981,Sep,61.9,58,1279101,1198501,80600,6.3
1981,Oct,61.9,57.8,1282772,1197844,84928,6.6
1981,Nov,62,57.7,1287452,1197343,90109,7
1981,Dec,62.1,57.5,1292880,1197008,95872,7.4
1982,Jan,62.3,57.4,1299433,1197337,102096,7.9
1982,Feb,62.5,57.3,1307327,1198547,108780,8.3
1982,Mar,62.7,57.2,1316056,1200373,115683,8.8
1982,Apr,63,57.2,1325441,1202775,122666,9.3
1982,May,63.3,57.2,1335090,1205500,129590,9.7
1982,Jun,63.5,57.1,1344035,1207864,136171,10.1
1982,Jul,63.8,57,1351611,1209419,142192,10.5
1982,Aug,63.9,56.9,1357541,1210096,147445,10.9
1982,Sep,63.9,56.8,1361931,1209996,151935,11.2
1982,Oct,63.8,56.6,1364954,1209541,155413,11.4
1982,Nov,63.8,56.4,1366976,1209718,157258,11.5
1982,Dec,63.6,56.3,1368048,1210987,157061,11.5
1983,Jan,63.5,56.3,1368306,1213496,154810,11.3
1983,Feb,63.3,56.3,1368580,1217823,150757,11
1983,Mar,63.2,56.4,1369809,1224360,145449,10.6
1983,Apr,63.1,56.7,1372593,1233163,139430,10.2
1983,May,63.1,57,1376961,1243872,133089,9.7
1983,Jun,63.2,57.4,1382566,1255822,126744,9.2
1983,Jul,63.3,57.8,1388626,1268448,120178,8.7
1983,Aug,63.4,58.2,1394073,1280973,113100,8.1
1983,Sep,63.4,58.6,1398261,1292727,105534,7.5
1983,Oct,63.3,58.9,1401248,1303358,97890,7
1983,Nov,63.3,59.2,1403535,1312542,90993,6.5
1983,Dec,63.2,59.3,1405824,1320468,85356,6.1
1984,Jan,63.1,59.5,1408788,1327887,80901,5.7
1984,Feb,63.1,59.6,1412596,1335279,77317,5.5
1984,Mar,63.1,59.8,1416927,1342498,74429,5.3
1984,Apr,63.1,59.9,1421156,1349121,72035,5.1
1984,May,63.1,60,1425187,1355046,70141,4.9
1984,Jun,63.1,60.1,1428973,1360150,68823,4.8
1984,Jul,63.1,60.1,1432586,1364186,68400,4.8
1984,Aug,63.1,60,1436576,1367166,69410,4.8
1984,Sep,63,59.9,1441199,1369373,71826,5
1984,Oct,63.1,59.8,1446550,1371478,75072,5.2
1984,Nov,63.2,59.8,1452761,1374268,78493,5.4
1984,Dec,63.3,59.7,1459471,1377782,81689,5.6
1985,Jan,63.3,59.7,1465634,1381054,84580,5.8
1985,Feb,63.3,59.6,1470262,1382982,87280,5.9
1985,Mar,63.2,59.4,1473001,1383229,89772,6.1
1985,Apr,63.1,59.2,1474550,1382503,92047,6.2
1985,May,63,59,1476114,1381862,94252,6.4
1985,Jun,62.9,58.8,1478808,1382557,96251,6.5
1985,Jul,62.9,58.8,1483303,1385439,97864,6.6
1985,Aug,63,58.8,1489554,1391033,98521,6.6
1985,Sep,63.2,59,1497013,1398861,98152,6.6
1985,Oct,63.4,59.3,1504897,1407510,97387,6.5
1985,Nov,63.5,59.5,1512378,1415587,96791,6.4
1985,Dec,63.6,59.6,1518986,1422252,96734,6.4
1986,Jan,63.7,59.7,1525219,1427668,97551,6.4
1986,Feb,63.9,59.7,1532054,1432753,99301,6.5
1986,Mar,64,59.8,1540035,1438266,101769,6.6
1986,Apr,64.3,59.9,1548830,1444229,104601,6.8
1986,May,64.5,60,1557429,1450171,107258,6.9
1986,Jun,64.6,60.1,1565280,1455778,109502,7
1986,Jul,64.7,60.2,1571912,1460653,111259,7.1
1986,Aug,64.7,60.1,1576976,1464410,112566,7.1
1986,Sep,64.7,60.1,1580687,1467127,113560,7.2
1986,Oct,64.6,60,1583506,1469452,114054,7.2
1986,Nov,64.5,59.9,1585859,1471883,113976,7.2
1986,Dec,64.4,59.8,1588732,1475400,113332,7.1
1987,Jan,64.4,59.9,1592550,1480457,112093,7
1987,Feb,64.4,59.9,1596953,1486641,110312,6.9
1987,Mar,64.4,60,1601894,1493626,108268,6.8
1987,Apr,64.4,60.1,1607041,1500877,106164,6.6
1987,May,64.4,60.2,1612060,1507857,104203,6.5
1987,Jun,64.4,60.3,1616703,1514089,102614,6.3
1987,Jul,64.4,60.4,1621164,1519613,101551,6.3
1987,Aug,64.4,60.4,1625655,1524591,101064,6.2
1987,Sep,64.5,60.5,1630182,1529206,100976,6.2
1987,Oct,64.6,60.6,1634424,1533246,101178,6.2
1987,Nov,64.6,60.6,1638283,1536677,101606,6.2
1987,Dec,64.6,60.5,1641486,1539153,102333,6.2
1988,Jan,64.5,60.5,1643937,1540561,103376,6.3
1988,Feb,64.5,60.4,1646116,1541497,104619,6.4
1988,Mar,64.5,60.3,1648211,1542409,105802,6.4
1988,Apr,64.5,60.3,1650654,1543974,106680,6.5
1988,May,64.5,60.3,1654021,1546882,107139,6.5
1988,Jun,64.5,60.3,1658497,1551235,107262,6.5
1988,Jul,64.6,60.4,1664176,1556895,107281,6.4
1988,Aug,64.8,60.6,1671095,1563678,107417,6.4
1988,Sep,65,60.8,1678977,1571515,107462,6.4
1988,Oct,65.2,61.1,1687096,1580209,106887,6.3
1988,Nov,65.4,61.3,1694620,1589185,105435,6.2
1988,Dec,65.6,61.6,1700717,1597683,103034,6.1
1989,Jan,65.6,61.8,1705106,1605182,99924,5.9
1989,Feb,65.6,61.9,1707866,1611023,96843,5.7
1989,Mar,65.6,62,1709895,1615431,94464,5.5
1989,Apr,65.6,62,1711947,1618792,93155,5.4
1989,May,65.6,62.1,1714131,1621443,92688,5.4
1989,Jun,65.6,62.1,1716515,1624082,92433,5.4
1989,Jul,65.6,62.1,1718665,1626975,91690,5.3
1989,Aug,65.6,62.1,1720625,1630335,90290,5.2
1989,Sep,65.6,62.2,1723378,1634548,88830,5.2
1989,Oct,65.7,62.3,1728286,1640261,88025,5.1
1989,Nov,65.9,62.5,1735793,1647543,88250,5.1
1989,Dec,66.2,62.8,1745692,1656055,89637,5.1
1990,Jan,63.7,60.3,1757053,1665261,91792,5.2
1990,Feb,64,60.6,1768282,1674430,93852,5.3
1990,Mar,64.3,60.9,1777760,1682513,95247,5.4
1990,Apr,64.6,61.1,1784680,1688857,95823,5.4
1990,May,64.6,61.1,1789306,1693644,95662,5.3
1990,Jun,64.7,61.2,1791941,1696874,95067,5.3
1990,Jul,64.7,61.3,1793458,1698941,94517,5.3
1990,Aug,64.6,61.2,1794313,1700177,94136,5.2
1990,Sep,64.4,61,1793938,1700269,93669,5.2
1990,Oct,64.2,60.8,1792135,1699020,93115,5.2
1990,Nov,63.9,60.6,1789621,1697269,92352,5.2
1990,Dec,63.7,60.4,1787156,1695732,91424,5.1
1991,Jan,63.4,60.2,1785450,1694497,90953,5.1
1991,Feb,63.3,60.1,1785383,1694035,91348,5.1
1991,Mar,63.2,59.9,1786810,1694191,92619,5.2
1991,Apr,63.1,59.8,1789356,1694600,94756,5.3
1991,May,63.1,59.7,1793017,1695085,97932,5.5
1991,Jun,63.1,59.5,1797945,1695877,102068,5.7
1991,Jul,63.2,59.4,1803825,1697021,106804,5.9
1991,Aug,63.2,59.3,1810356,1698431,111925,6.2
1991,Sep,63.3,59.2,1817549,1700131,117418,6.5
1991,Oct,63.3,59,1824992,1701785,123207,6.8
1991,Nov,63.4,58.9,1832314,1703230,129084,7
1991,Dec,63.4,58.8,1839227,1704649,134578,7.3
1992,Jan,63.5,58.7,1845636,1706570,139066,7.5
1992,Feb,63.5,58.7,1851661,1709307,142354,7.7
1992,Mar,63.6,58.6,1857883,1713519,144364,7.8
1992,Apr,63.6,58.7,1864526,1719398,145128,7.8
1992,May,63.6,58.7,1870787,1726031,144756,7.7
1992,Jun,63.6,58.7,1875811,1732235,143576,7.7
1992,Jul,63.6,58.8,1879588,1737416,142172,7.6
1992,Aug,63.4,58.7,1882327,1741508,140819,7.5
1992,Sep,63.3,58.6,1884354,1744766,139588,7.4
