Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,65.3,59.4,339378,308820,30558,9
1976,Feb,65.4,59.5,339539,308976,30563,9
1976,Mar,65.4,59.6,339517,309128,30389,9
1976,Apr,65.4,59.6,338609,308673,29936,8.8
1976,May,65.1,59.4,337253,307776,29477,8.7
1976,Jun,64.9,59.3,335657,306449,29208,8.7
1976,Jul,64.6,59,334066,304814,29252,8.8
1976,Aug,64.4,58.7,332802,303227,29575,8.9
1976,Sep,64.3,58.5,331749,301823,29926,9
1976,Oct,64.1,58.3,330917,300722,30195,9.1
1976,Nov,64.2,58.3,330384,300006,30378,9.2
1976,Dec,64.1,58.2,330202,299736,30466,9.2
1977,Jan,64.1,58.2,330333,299853,30480,9.2
1977,Feb,64.3,58.4,330583,300117,30466,9.2
1977,Mar,64.3,58.4,330687,300193,30494,9.2
1977,Apr,64.4,58.5,330531,299929,30602,9.3
1977,May,64.4,58.4,330148,299404,30744,9.3
1977,Jun,64.4,58.4,329634,298809,30825,9.4
1977,Jul,64.3,58.3,329182,298416,30766,9.3
1977,Aug,64.3,58.3,329043,298485,30558,9.3
1977,Sep,64.3,58.4,329430,299157,30273,9.2
1977,Oct,64.6,58.8,330318,300394,29924,9.1
1977,Nov,64.9,59.1,331474,301952,29522,8.9
1977,Dec,65.1,59.4,332612,303460,29152,8.8
1978,Jan,65.3,59.6,333505,304642,28863,8.7
1978,Feb,65.5,59.9,334109,305435,28674,8.6
1978,Mar,65.6,60,334534,305968,28566,8.5
1978,Apr,65.6,60.1,334814,306343,28471,8.5
1978,May,65.7,60.1,334969,306651,28318,8.5
1978,Jun,65.8,60.3,335054,306999,28055,8.4
1978,Jul,65.8,60.4,335102,307417,27685,8.3
1978,Aug,66,60.6,335143,307872,27271,8.1
1978,Sep,66,60.7,335161,308266,26895,8
1978,Oct,66.1,60.8,335056,308434,26622,7.9
1978,Nov,66,60.8,334692,308226,26466,7.9
1978,Dec,66,60.8,333978,307615,26363,7.9
1979,Jan,65.8,60.6,332921,306713,26208,7.9
1979,Feb,65.7,60.5,331629,305746,25883,7.8
1979,Mar,65.5,60.5,330268,304953,25315,7.7
1979,Apr,65.3,60.4,329155,304615,24540,7.5
1979,May,65.3,60.6,328534,304852,23682,7.2
1979,Jun,65.3,60.7,328379,305479,22900,7
1979,Jul,65.4,61,328514,306241,22273,6.8
1979,Aug,65.6,61.2,328585,306782,21803,6.6
1979,Sep,65.7,61.4,328309,306841,21468,6.5
1979,Oct,65.7,61.4,327660,306427,21233,6.5
1979,Nov,65.6,61.4,326792,305732,21060,6.4
1979,Dec,65.6,61.4,325915,304966,20949,6.4
1980,Jan,65.7,61.5,325218,304283,20935,6.4
1980,Feb,65.8,61.5,324833,303773,21060,6.5
1980,Mar,65.9,61.5,324788,303440,21348,6.6
1980,Apr,66,61.6,324900,303087,21813,6.7
1980,May,66,61.5,324836,302403,22433,6.9
1980,Jun,66.1,61.3,324376,301206,23170,7.1
1980,Jul,65.9,61,323381,299392,23989,7.4
1980,Aug,65.6,60.5,321937,297113,24824,7.7
1980,Sep,65.2,60,320230,294657,25573,8
1980,Oct,65,59.6,318441,292277,26164,8.2
1980,Nov,64.6,59.2,316755,290204,26551,8.4
1980,Dec,64.3,58.9,315281,288556,26725,8.5
1981,Jan,64.1,58.6,313993,287239,26754,8.5
1981,Feb,64,58.5,312721,285977,26744,8.6
1981,Mar,63.7,58.2,311257,284475,26782,8.6
1981,Apr,63.3,57.8,309521,282618,26903,8.7
1981,May,62.9,57.4,307651,280568,27083,8.8
1981,Jun,62.7,57.1,305863,278611,27252,8.9
1981,Jul,62.4,56.8,304349,276974,27375,9
1981,Aug,62.1,56.5,303200,275750,27450,9.1
1981,Sep,62.1,56.5,302464,274941,27523,9.1
1981,Oct,62,56.4,302183,274490,27693,9.2
1981,Nov,62.1,56.3,302274,274231,28043,9.3
1981,Dec,62.3,56.4,302641,274041,28600,9.5
1982,Jan,62.4,56.4,303219,273897,29322,9.7
1982,Feb,62.5,56.3,303965,273826,30139,9.9
1982,Mar,62.9,56.5,304849,273906,30943,10.2
1982,Apr,63.1,56.5,305803,274194,31609,10.3
1982,May,63.2,56.6,306702,274634,32068,10.5
1982,Jun,63.5,56.8,307450,275112,32338,10.5
1982,Jul,63.7,56.9,308079,275594,32485,10.5
1982,Aug,63.8,57,308695,276076,32619,10.6
1982,Sep,63.9,57.1,309338,276488,32850,10.6
1982,Oct,64,57.2,309953,276766,33187,10.7
1982,Nov,64.2,57.2,310631,277001,33630,10.8
1982,Dec,64.4,57.3,311467,277320,34147,11
1983,Jan,64.6,57.4,312470,277799,34671,11.1
1983,Feb,64.9,57.7,313615,278500,35115,11.2
1983,Mar,65.2,57.8,314788,279333,35455,11.3
1983,Apr,65.4,58,315903,280192,35711,11.3
1983,May,65.6,58.2,316908,281011,35897,11.3
1983,Jun,65.8,58.3,317706,281695,36011,11.3
1983,Jul,65.9,58.4,318192,282140,36052,11.3
1983,Aug,65.9,58.4,318302,282284,36018,11.3
1983,Sep,65.9,58.4,318118,282232,35886,11.3
1983,Oct,65.8,58.4,317798,282169,35629,11.2
1983,Nov,65.7,58.4,317389,282202,35187,11.1
1983,Dec,65.6,58.5,316943,282434,34509,10.9
1984,Jan,65.6,58.6,316629,283042,33587,10.6
1984,Feb,65.5,58.8,316568,284099,32469,10.3
1984,Mar,65.6,59.1,316904,285637,31267,9.9
1984,Apr,65.8,59.5,317658,287523,30135,9.5
1984,May,66,59.9,318772,289538,29234,9.2
1984,Jun,66.3,60.4,320211,291581,28630,8.9
1984,Jul,66.6,60.8,321878,293591,28287,8.8
1984,Aug,67,61.2,323625,295512,28113,8.7
1984,Sep,67.3,61.5,325221,297207,28014,8.6
1984,Oct,67.6,61.8,326489,298567,27922,8.6
1984,Nov,67.8,62,327296,299478,27818,8.5
1984,Dec,67.8,62.1,327533,299813,27720,8.5
1985,Jan,67.7,62,327191,299526,27665,8.5
1985,Feb,67.4,61.7,326426,298761,27665,8.5
1985,Mar,67.2,61.5,325452,297771,27681,8.5
1985,Apr,67,61.3,324497,296847,27650,8.5
1985,May,66.9,61.2,323723,296211,27512,8.5
1985,Jun,66.8,61.1,323150,295907,27243,8.4
1985,Jul,66.7,61.1,322767,295932,26835,8.3
1985,Aug,66.6,61.2,322520,296265,26255,8.1
1985,Sep,66.7,61.5,322383,296873,25510,7.9
1985,Oct,66.7,61.6,322307,297616,24691,7.7
1985,Nov,66.9,61.9,322278,298344,23934,7.4
1985,Dec,66.9,62,322326,298939,23387,7.3
1986,Jan,66.9,62.1,322370,299215,23155,7.2
1986,Feb,67,62.2,322323,299063,23260,7.2
1986,Mar,67,62.1,322154,298533,23621,7.3
1986,Apr,67.1,62.1,321953,297865,24088,7.5
1986,May,67.1,62,321870,297373,24497,7.6
1986,Jun,67.2,62.1,322052,297291,24761,7.7
1986,Jul,67.3,62.1,322548,297656,24892,7.7
1986,Aug,67.5,62.3,323311,298356,24955,7.7
1986,Sep,67.8,62.6,324223,299228,24995,7.7
