Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63.9,58.5,2250451,2061744,188707,8.4
1976,Feb,63.8,58.4,2249410,2060612,188798,8.4
1976,Mar,63.7,58.3,2249490,2061445,188045,8.4
1976,Apr,63.7,58.4,2253611,2067967,185644,8.2
1976,May,63.7,58.6,2259949,2077016,182933,8.1
1976,Jun,63.8,58.7,2267990,2087124,180866,8
1976,Jul,64,58.9,2276334,2095905,180429,7.9
1976,Aug,64,58.9,2284323,2102593,181730,8
1976,Sep,64.1,59,2291968,2107937,184031,8
1976,Oct,64.2,59,2299129,2112216,186913,8.1
1976,Nov,64.2,58.9,2305572,2116165,189407,8.2
1976,Dec,64.2,59,2310617,2120759,189858,8.2
1977,Jan,64.2,59,2314596,2126893,187703,8.1
1977,Feb,64.1,59.1,2317645,2134643,183002,7.9
1977,Mar,64.1,59.2,2319462,2143106,176356,7.6
1977,Apr,64,59.3,2320611,2151523,169088,7.3
1977,May,63.9,59.4,2321832,2159450,162382,7
1977,Jun,63.8,59.5,2324189,2166689,157500,6.8
1977,Jul,63.8,59.5,2328381,2173729,154652,6.6
1977,Aug,63.8,59.6,2334559,2181393,153166,6.6
1977,Sep,63.9,59.8,2341803,2190136,151667,6.5
1977,Oct,64,59.9,2348607,2199685,148922,6.3
1977,Nov,64,60.1,2354406,2209512,144894,6.2
1977,Dec,64,60.2,2359447,2218965,140482,6
1978,Jan,64,60.4,2364538,2228194,136344,5.8
1978,Feb,64.1,60.5,2370815,2237483,133332,5.6
1978,Mar,64.2,60.6,2379319,2246911,132408,5.6
1978,Apr,64.4,60.8,2390084,2256267,133817,5.6
1978,May,64.6,60.9,2401928,2265234,136694,5.7
1978,Jun,64.7,61,2412852,2273513,139339,5.8
1978,Jul,64.9,61.1,2421690,2280699,140991,5.8
1978,Aug,64.9,61.1,2428571,2286683,141888,5.8
1978,Sep,64.9,61.1,2434172,2292157,142015,5.8
1978,Oct,64.9,61.1,2439854,2298211,141643,5.8
1978,Nov,64.9,61.2,2446007,2304969,141038,5.8
1978,Dec,64.9,61.2,2451612,2311421,140191,5.7
1979,Jan,64.9,61.2,2455448,2316637,138811,5.7
1979,Feb,64.8,61.2,2456858,2320610,136248,5.5
