Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63.1,59.7,366173,346216,19957,5.5
1976,Feb,62.9,59.4,365886,345965,19921,5.4
1976,Mar,62.8,59.4,366000,346021,19979,5.5
1976,Apr,62.8,59.3,367439,347164,20275,5.5
1976,May,62.9,59.4,369500,348876,20624,5.6
1976,Jun,63.3,59.7,371921,350995,20926,5.6
1976,Jul,63.4,59.9,374265,353139,21126,5.6
1976,Aug,63.6,60,376375,355153,21222,5.6
1976,Sep,63.7,60.1,378402,357094,21308,5.6
1976,Oct,63.9,60.3,380331,358882,21449,5.6
1976,Nov,64,60.4,382213,360540,21673,5.7
1976,Dec,64.1,60.5,384086,362126,21960,5.7
1977,Jan,64.2,60.5,385903,363669,22234,5.8
1977,Feb,64.3,60.6,387656,365219,22437,5.8
1977,Mar,64.4,60.6,389446,366823,22623,5.8
1977,Apr,64.6,60.8,391428,368592,22836,5.8
1977,May,64.8,61,393705,370629,23076,5.9
1977,Jun,65,61.1,396257,372942,23315,5.9
1977,Jul,65.2,61.4,399010,375497,23513,5.9
1977,Aug,65.4,61.6,401765,378170,23595,5.9
1977,Sep,65.6,61.8,404265,380804,23461,5.8
1977,Oct,65.9,62.1,406300,383195,23105,5.7
1977,Nov,65.9,62.2,407826,385228,22598,5.5
1977,Dec,65.9,62.3,408987,386938,22049,5.4
1978,Jan,65.8,62.4,410091,388522,21569,5.3
1978,Feb,65.9,62.5,411338,390114,21224,5.2
1978,Mar,65.9,62.6,412777,391706,21071,5.1
1978,Apr,66,62.6,414430,393255,21175,5.1
1978,May,66.1,62.6,416175,394650,21525,5.2
1978,Jun,66.2,62.7,417716,395686,22030,5.3
1978,Jul,66.2,62.6,418858,396237,22621,5.4
1978,Aug,66.2,62.5,419591,396355,23236,5.5
1978,Sep,66.1,62.3,420079,396226,23853,5.7
1978,Oct,66,62.2,420602,396151,24451,5.8
1978,Nov,66,62.1,421342,396348,24994,5.9
1978,Dec,66,62,422337,396893,25444,6
1979,Jan,66.1,62.1,423600,397894,25706,6.1
