Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,64.1,61.4,1324627,1269103,55524,4.2
1976,Feb,64,61.3,1324134,1268472,55662,4.2
1976,Mar,63.9,61.2,1324428,1268901,55527,4.2
1976,Apr,64,61.3,1327210,1272547,54663,4.1
1976,May,64.1,61.5,1331126,1277629,53497,4
1976,Jun,64.2,61.7,1335660,1283290,52370,3.9
1976,Jul,64.3,61.8,1339836,1288246,51590,3.9
1976,Aug,64.4,62,1343674,1292323,51351,3.8
1976,Sep,64.5,62,1347685,1296091,51594,3.8
1976,Oct,64.7,62.2,1351904,1299667,52237,3.9
1976,Nov,64.8,62.3,1356197,1303223,52974,3.9
1976,Dec,64.9,62.4,1360512,1306982,53530,3.9
1977,Jan,65.1,62.5,1364841,1311092,53749,3.9
1977,Feb,65.2,62.6,1368874,1315260,53614,3.9
1977,Mar,65.3,62.7,1372340,1318874,53466,3.9
1977,Apr,65.4,62.8,1375242,1321713,53529,3.9
1977,May,65.4,62.8,1377965,1324156,53809,3.9
1977,Jun,65.5,62.9,1381129,1326867,54262,3.9
1977,Jul,65.6,63,1384987,1330321,54666,3.9
1977,Aug,65.8,63.2,1389455,1334685,54770,3.9
1977,Sep,66,63.4,1394183,1339690,54493,3.9
1977,Oct,66.1,63.5,1398688,1344650,54038,3.9
1977,Nov,66.2,63.7,1402641,1348827,53814,3.8
1977,Dec,66.3,63.8,1405810,1351786,54024,3.8
1978,Jan,66.4,63.8,1408457,1353965,54492,3.9
1978,Feb,66.5,63.9,1411123,1356132,54991,3.9
1978,Mar,66.6,64,1414044,1358924,55120,3.9
1978,Apr,66.7,64.1,1417052,1362382,54670,3.9
1978,May,66.7,64.2,1419846,1366002,53844,3.8
1978,Jun,66.8,64.3,1421822,1368892,52930,3.7
1978,Jul,66.8,64.3,1422705,1370223,52482,3.7
1978,Aug,66.7,64.2,1422477,1369630,52847,3.7
1978,Sep,66.6,64.1,1421466,1367564,53902,3.8
