Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,65.7,61.8,1832797,1722777,110020,6
1976,Feb,65.6,61.7,1832001,1722014,109987,6
1976,Mar,65.5,61.6,1831869,1722985,108884,5.9
1976,Apr,65.5,61.7,1834864,1728543,106321,5.8
1976,May,65.6,61.9,1839691,1735701,103990,5.7
1976,Jun,65.7,62,1846239,1743269,102970,5.6
1976,Jul,65.8,62.2,1853353,1749692,103661,5.6
1976,Aug,66,62.2,1860375,1754797,105578,5.7
1976,Sep,66.1,62.3,1867208,1759571,107637,5.8
1976,Oct,66.3,62.4,1873748,1764368,109380,5.8
1976,Nov,66.4,62.5,1879929,1769422,110507,5.9
1976,Dec,66.5,62.6,1885780,1774870,110910,5.9
1977,Jan,66.6,62.7,1891668,1780883,110785,5.9
1977,Feb,66.7,62.9,1897597,1787467,110130,5.8
1977,Mar,66.8,63,1903458,1794378,109080,5.7
1977,Apr,66.9,63.2,1908978,1801328,107650,5.6
1977,May,67,63.3,1913748,1807886,105862,5.5
1977,Jun,67,63.4,1917528,1813744,103784,5.4
1977,Jul,67,63.5,1920289,1818921,101368,5.3
1977,Aug,67,63.6,1922544,1823778,98766,5.1
1977,Sep,67,63.7,1924827,1828891,95936,5
1977,Oct,67,63.8,1927399,1834724,92675,4.8
1977,Nov,67.1,64,1930534,1841465,89069,4.6
1977,Dec,67.1,64.1,1934423,1848898,85525,4.4
1978,Jan,67.2,64.3,1938776,1856608,82168,4.2
1978,Feb,67.2,64.5,1943417,1864157,79260,4.1
1978,Mar,67.3,64.7,1948388,1871366,77022,4
1978,Apr,67.4,64.8,1953791,1878366,75425,3.9
1978,May,67.5,65,1959830,1885393,74437,3.8
1978,Jun,67.7,65.1,1966430,1892564,73866,3.8
1978,Jul,67.8,65.3,1973568,1899756,73812,3.7
1978,Aug,68,65.5,1980861,1906706,74155,3.7
1978,Sep,68.1,65.6,1987751,1913144,74607,3.8
1978,Oct,68.3,65.7,1994046,1919022,75024,3.8
1978,Nov,68.4,65.8,1999721,1924283,75438,3.8
1978,Dec,68.5,65.9,2005015,1928907,76108,3.8
1979,Jan,68.5,65.9,2010310,1933137,77173,3.8
1979,Feb,68.6,65.9,2015861,1937447,78414,3.9
1979,Mar,68.7,66,2021836,1942152,79684,3.9
1979,Apr,68.9,66.1,2028451,1947250,81201,4
1979,May,69,66.2,2035705,1952728,82977,4.1
1979,Jun,69.2,66.3,2043308,1958432,84876,4.2
1979,Jul,69.3,66.4,2050709,1964118,86591,4.2
1979,Aug,69.4,66.5,2057777,1969407,88370,4.3
1979,Sep,69.6,66.5,2064756,1973901,90855,4.4
1979,Oct,69.7,66.5,2071377,1977432,93945,4.5
1979,Nov,69.8,66.5,2077588,1980065,97523,4.7
1979,Dec,69.9,66.5,2083406,1981965,101441,4.9
1980,Jan,69.9,66.4,2088673,1983093,105580,5.1
1980,Feb,70,66.3,2093427,1983277,110150,5.3
1980,Mar,70,66.2,2097618,1982529,115089,5.5
1980,Apr,70,66,2101069,1981174,119895,5.7
1980,May,70,65.9,2103788,1979682,124106,5.9
1980,Jun,70,65.8,2105989,1978697,127292,6
1980,Jul,70,65.7,2107734,1978800,128934,6.1
1980,Aug,70,65.7,2109097,1980276,128821,6.1
1980,Sep,69.9,65.7,2110309,1982987,127322,6
1980,Oct,69.9,65.8,2111880,1986380,125500,5.9
1980,Nov,69.9,65.8,2113801,1989941,123860,5.9
1980,Dec,69.9,65.8,2115703,1993277,122426,5.8
1981,Jan,69.9,65.9,2117632,1996012,121620,5.7
1981,Feb,69.9,65.9,2119052,1997943,121109,5.7
1981,Mar,69.8,65.8,2119345,1999171,120174,5.7
1981,Apr,69.7,65.8,2118529,1999916,118613,5.6
1981,May,69.6,65.8,2117185,2000334,116851,5.5
1981,Jun,69.5,65.7,2116302,2000483,115819,5.5
1981,Jul,69.5,65.6,2116976,2000420,116556,5.5
1981,Aug,69.5,65.6,2119387,2000167,119220,5.6
1981,Sep,69.6,65.5,2122914,1999730,123184,5.8
1981,Oct,69.6,65.5,2126921,1999119,127802,6
1981,Nov,69.7,65.4,2130693,1998117,132576,6.2
1981,Dec,69.8,65.3,2133925,1996665,137260,6.4
1982,Jan,69.8,65.2,2136398,1995016,141382,6.6
1982,Feb,69.8,65.1,2138618,1993296,145322,6.8
1982,Mar,69.9,65,2141510,1991359,150151,7
1982,Apr,70,64.9,2145306,1989106,156200,7.3
1982,May,70.1,64.8,2149558,1986619,162939,7.6
1982,Jun,70.2,64.6,2153826,1984023,169803,7.9
1982,Jul,70.2,64.5,2157753,1981394,176359,8.2
1982,Aug,70.3,64.4,2161173,1978977,182196,8.4
1982,Sep,70.4,64.3,2164078,1977077,187001,8.6
1982,Oct,70.4,64.3,2166328,1975800,190528,8.8
1982,Nov,70.5,64.2,2167871,1975301,192570,8.9
1982,Dec,70.5,64.2,2168631,1975558,193073,8.9
1983,Jan,70.5,64.2,2169076,1976498,192578,8.9
1983,Feb,70.4,64.2,2169708,1978461,191247,8.8
1983,Mar,70.4,64.3,2170531,1981752,188779,8.7
1983,Apr,70.5,64.4,2171677,1986269,185408,8.5
1983,May,70.5,64.6,2173207,1991654,181553,8.4
1983,Jun,70.5,64.8,2174739,1997511,177228,8.1
1983,Jul,70.5,64.9,2175942,2003426,172516,7.9
1983,Aug,70.5,65.1,2176892,2009001,167891,7.7
1983,Sep,70.5,65.2,2177871,2014150,163721,7.5
1983,Oct,70.5,65.3,2179168,2019135,160033,7.3
1983,Nov,70.5,65.5,2181306,2024359,156947,7.2
1983,Dec,70.6,65.6,2184663,2030190,154473,7.1
1984,Jan,70.7,65.8,2188766,2036704,152062,6.9
1984,Feb,70.8,66,2192840,2043477,149363,6.8
1984,Mar,70.9,66.1,2196576,2049973,146603,6.7
1984,Apr,70.9,66.3,2199591,2055830,143761,6.5
1984,May,71,66.4,2201683,2060800,140883,6.4
1984,Jun,70.9,66.5,2202870,2064921,137949,6.3
1984,Jul,70.9,66.6,2203574,2068507,135067,6.1
