Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,61.6,58,327276,308066,19210,5.9
1976,Feb,61.5,57.9,327202,308039,19163,5.9
1976,Mar,61.4,57.8,327131,308017,19114,5.8
1976,Apr,61.3,57.7,327166,308014,19152,5.9
1976,May,61.2,57.6,327296,308035,19261,5.9
1976,Jun,61.2,57.5,327764,308353,19411,5.9
1976,Jul,61.2,57.6,328695,309084,19611,6
1976,Aug,61.4,57.7,330148,310336,19812,6
1976,Sep,61.6,57.9,332042,312065,19977,6
1976,Oct,61.9,58.2,334208,314062,20146,6
1976,Nov,62.1,58.3,336362,316059,20303,6
1976,Dec,62.3,58.5,338284,317850,20434,6
1977,Jan,62.5,58.7,340045,319466,20579,6.1
1977,Feb,62.7,58.9,341605,320845,20760,6.1
1977,Mar,62.8,59,342989,322026,20963,6.1
1977,Apr,63,59.1,344561,323360,21201,6.2
1977,May,63.1,59.2,346442,324941,21501,6.2
1977,Jun,63.3,59.4,348399,326582,21817,6.3
1977,Jul,63.6,59.5,350246,328108,22138,6.3
1977,Aug,63.8,59.7,351912,329454,22458,6.4
1977,Sep,63.8,59.7,353367,330630,22737,6.4
1977,Oct,63.9,59.8,354692,331708,22984,6.5
1977,Nov,64,59.9,356040,332836,23204,6.5
1977,Dec,64.2,60,357504,334176,23328,6.5
1978,Jan,64.2,60.1,359023,335744,23279,6.5
1978,Feb,64.4,60.3,360665,337629,23036,6.4
1978,Mar,64.6,60.6,362440,339795,22645,6.2
1978,Apr,64.8,60.8,364136,341975,22161,6.1
1978,May,64.8,61,365708,344093,21615,5.9
1978,Jun,65,61.3,367157,346099,21058,5.7
1978,Jul,65.1,61.5,368365,347851,20514,5.6
1978,Aug,65.1,61.6,369189,349138,20051,5.4
1978,Sep,65.2,61.7,369522,349802,19720,5.3
1978,Oct,65,61.6,369284,349843,19441,5.3
1978,Nov,64.9,61.5,368580,349393,19187,5.2
1978,Dec,64.6,61.3,367716,348728,18988,5.2
1979,Jan,64.5,61.2,367132,348300,18832,5.1
1979,Feb,64.4,61.1,367125,348400,18725,5.1
1979,Mar,64.4,61.1,367710,349034,18676,5.1
1979,Apr,64.6,61.3,368813,350122,18691,5.1
1979,May,64.7,61.4,370216,351420,18796,5.1
1979,Jun,65,61.7,371659,352668,18991,5.1
1979,Jul,65.1,61.7,372858,353646,19212,5.2
1979,Aug,65.2,61.8,373660,354267,19393,5.2
1979,Sep,65.3,61.9,374154,354630,19524,5.2
1979,Oct,65.4,61.9,374539,354893,19646,5.2
1979,Nov,65.4,62,374958,355129,19829,5.3
1979,Dec,65.5,62,375405,355269,20136,5.4
1980,Jan,65.6,62,375699,355143,20556,5.5
1980,Feb,65.6,61.9,375682,354621,21061,5.6
1980,Mar,65.5,61.7,375380,353751,21629,5.8
1980,Apr,65.4,61.5,374785,352582,22203,5.9
1980,May,65.2,61.2,374056,351317,22739,6.1
1980,Jun,65.1,61,373517,350322,23195,6.2
1980,Jul,64.9,60.8,373454,349883,23571,6.3
1980,Aug,65.1,60.9,374052,350201,23851,6.4
1980,Sep,65.2,61,375323,351274,24049,6.4
1980,Oct,65.4,61.2,377080,352895,24185,6.4
1980,Nov,65.7,61.5,379028,354802,24226,6.4
1980,Dec,65.9,61.7,380892,356693,24199,6.4
1981,Jan,66.2,62,382470,358243,24227,6.3
1981,Feb,66.3,62.1,383606,359274,24332,6.3
