Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,65.4,63.2,715752,692137,23615,3.3
1976,Feb,65.3,63.1,715577,691996,23581,3.3
1976,Mar,65.2,63.1,715419,692073,23346,3.3
1976,Apr,65.2,63.1,715705,692831,22874,3.2
1976,May,65.1,63.1,716356,693887,22469,3.1
1976,Jun,65.2,63.1,717505,695246,22259,3.1
1976,Jul,65.2,63.2,718924,696607,22317,3.1
1976,Aug,65.3,63.3,720621,698032,22589,3.1
1976,Sep,65.4,63.4,722566,699705,22861,3.2
1976,Oct,65.6,63.5,724723,701674,23049,3.2
1976,Nov,65.7,63.6,727025,703839,23186,3.2
1976,Dec,65.9,63.8,729311,706015,23296,3.2
1977,Jan,66,63.9,731511,708070,23441,3.2
1977,Feb,66.1,64,733589,709927,23662,3.2
1977,Mar,66.2,64,735463,711533,23930,3.3
1977,Apr,66.3,64.1,737153,712920,24233,3.3
1977,May,66.4,64.2,738769,714145,24624,3.3
1977,Jun,66.5,64.2,740481,715300,25181,3.4
1977,Jul,66.6,64.3,742304,716496,25808,3.5
1977,Aug,66.7,64.3,744138,717740,26398,3.5
1977,Sep,66.8,64.4,745815,718906,26909,3.6
1977,Oct,66.8,64.4,747329,719893,27436,3.7
1977,Nov,66.9,64.4,748742,720739,28003,3.7
1977,Dec,67,64.4,749986,721571,28415,3.8
1978,Jan,67,64.5,750931,722516,28415,3.8
1978,Feb,66.9,64.4,751583,723694,27889,3.7
1978,Mar,66.9,64.5,752126,725193,26933,3.6
1978,Apr,66.9,64.6,752700,727025,25675,3.4
1978,May,66.9,64.8,753351,729091,24260,3.2
1978,Jun,66.9,64.9,754034,731200,22834,3
1978,Jul,66.9,65,754806,733078,21728,2.9
1978,Aug,66.9,65.1,755653,734515,21138,2.8
1978,Sep,66.9,65.1,756410,735472,20938,2.8
1978,Oct,67,65.1,756895,736035,20860,2.8
1978,Nov,66.9,65.1,757112,736368,20744,2.7
1978,Dec,66.9,65.1,757397,736673,20724,2.7
1979,Jan,66.9,65.1,758094,737214,20880,2.8
1979,Feb,67,65.1,759308,738116,21192,2.8
1979,Mar,67,65.1,760923,739300,21623,2.8
1979,Apr,67.2,65.2,762732,740553,22179,2.9
1979,May,67.3,65.3,764496,741637,22859,3
1979,Jun,67.4,65.3,765997,742408,23589,3.1
1979,Jul,67.4,65.3,767100,742893,24207,3.2
1979,Aug,67.4,65.3,767821,743224,24597,3.2
1979,Sep,67.4,65.2,768326,743546,24780,3.2
1979,Oct,67.4,65.2,768780,744034,24746,3.2
1979,Nov,67.4,65.2,769220,744639,24581,3.2
1979,Dec,67.3,65.2,769553,745093,24460,3.2
1980,Jan,67.3,65.2,769732,745059,24673,3.2
1980,Feb,67.3,65.1,769759,744322,25437,3.3
1980,Mar,67.2,64.9,769719,742935,26784,3.5
1980,Apr,67.2,64.7,769679,741139,28540,3.7
1980,May,67.1,64.5,769672,739307,30365,3.9
1980,Jun,67,64.3,769713,737801,31912,4.1
1980,Jul,67,64.1,769807,736871,32936,4.3
1980,Aug,67,64.1,769935,736593,33342,4.3
1980,Sep,67,64.1,770080,736857,33223,4.3
1980,Oct,66.9,64.1,770206,737409,32797,4.3
1980,Nov,66.9,64.1,770363,738121,32242,4.2
1980,Dec,66.8,64.1,770660,738997,31663,4.1
1981,Jan,66.8,64.1,771134,739987,31147,4
1981,Feb,66.8,64.2,771806,741040,30766,4
1981,Mar,66.8,64.2,772619,742059,30560,4
