Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,61.2,55,3281099,2944762,336337,10.3
1976,Feb,61.2,54.9,3280097,2944167,335930,10.2
1976,Mar,61.2,54.9,3282199,2945972,336227,10.2
1976,Apr,61.3,55,3290889,2952460,338429,10.3
1976,May,61.4,55.1,3301261,2960089,341172,10.3
1976,Jun,61.5,55.1,3311189,2967398,343791,10.4
1976,Jul,61.6,55.2,3318401,2972413,345988,10.4
1976,Aug,61.7,55.2,3323094,2975450,347644,10.5
1976,Sep,61.7,55.2,3327480,2978004,349476,10.5
1976,Oct,61.7,55.2,3333000,2980622,352378,10.6
1976,Nov,61.8,55.2,3340512,2984304,356208,10.7
1976,Dec,61.9,55.3,3349255,2990493,358762,10.7
1977,Jan,62.1,55.5,3358839,3000405,358434,10.7
1977,Feb,62.2,55.6,3368520,3013869,354651,10.5
1977,Mar,62.3,55.9,3376107,3028935,347172,10.3
1977,Apr,62.3,56.1,3380846,3043611,337235,10
1977,May,62.3,56.3,3382905,3056295,326610,9.7
1977,Jun,62.3,56.4,3383078,3066068,317010,9.4
1977,Jul,62.2,56.5,3383198,3073829,309369,9.1
1977,Aug,62.2,56.6,3385038,3081806,303232,9
1977,Sep,62.2,56.7,3388938,3091686,297252,8.8
1977,Oct,62.2,56.9,3393355,3103291,290064,8.5
1977,Nov,62.2,57.1,3396976,3115597,281379,8.3
1977,Dec,62.2,57.2,3399539,3127266,272273,8
1978,Jan,62.2,57.4,3402187,3138336,263851,7.8
1978,Feb,62.2,57.5,3406882,3149507,257375,7.6
1978,Mar,62.3,57.7,3415348,3161677,253671,7.4
1978,Apr,62.5,57.9,3427629,3175428,252201,7.4
1978,May,62.7,58.1,3443104,3191130,251974,7.3
1978,Jun,63,58.4,3460159,3208664,251495,7.3
1978,Jul,63.2,58.7,3476762,3226375,250387,7.2
1978,Aug,63.4,58.9,3491582,3242482,249100,7.1
1978,Sep,63.6,59.1,3504731,3256927,247804,7.1
1978,Oct,63.8,59.3,3518354,3271064,247290,7
1978,Nov,64,59.5,3532887,3284857,248030,7
1978,Dec,64.2,59.7,3545837,3296370,249467,7
1979,Jan,64.3,59.7,3554894,3304123,250771,7.1
1979,Feb,64.3,59.8,3558935,3308318,250617,7
1979,Mar,64.2,59.8,3559174,3310161,249013,7
1979,Apr,64.2,59.7,3558156,3310986,247170,6.9
1979,May,64.1,59.7,3558655,3312527,246128,6.9
1979,Jun,64.1,59.7,3562210,3315465,246745,6.9
1979,Jul,64.2,59.7,3569308,3320747,248561,7
1979,Aug,64.3,59.8,3578870,3328436,250434,7
1979,Sep,64.5,60,3588171,3337008,251163,7
1979,Oct,64.6,60.1,3593967,3345026,248941,6.9
1979,Nov,64.5,60.2,3595316,3351857,243459,6.8
1979,Dec,64.5,60.2,3593971,3356934,237037,6.6
1980,Jan,64.4,60.2,3591186,3358678,232508,6.5
1980,Feb,64.3,60.2,3588284,3356017,232267,6.5
1980,Mar,64.3,60,3586752,3349330,237422,6.6
1980,Apr,64.2,59.8,3586728,3340318,246410,6.9
1980,May,64.2,59.6,3587806,3331022,256784,7.2
1980,Jun,64.2,59.4,3590017,3323890,266127,7.4
1980,Jul,64.1,59.3,3592391,3320135,272256,7.6
1980,Aug,64.1,59.2,3594277,3319652,274625,7.6
1980,Sep,64.1,59.2,3595870,3321581,274289,7.6
1980,Oct,64,59.2,3597263,3324282,272981,7.6
1980,Nov,64,59.2,3599662,3327535,272127,7.6
1980,Dec,64.1,59.2,3604822,3332690,272132,7.5
1981,Jan,64.1,59.3,3612416,3339638,272778,7.6
1981,Feb,64.2,59.3,3620082,3346703,273379,7.6
1981,Mar,64.2,59.4,3625187,3352473,272714,7.5
1981,Apr,64.2,59.4,3625814,3355259,270555,7.5
1981,May,64,59.3,3621194,3354061,267133,7.4
1981,Jun,63.8,59.2,3612361,3349586,262775,7.3
1981,Jul,63.6,59,3601692,3342830,258862,7.2
1981,Aug,63.3,58.8,3591959,3335009,256950,7.2
1981,Sep,63.2,58.6,3586165,3327394,258771,7.2
1981,Oct,63.1,58.5,3586212,3320750,265462,7.4
1981,Nov,63.2,58.3,3590243,3314187,276056,7.7
1981,Dec,63.2,58.2,3596134,3307600,288534,8
1982,Jan,63.3,58,3602975,3302787,300188,8.3
1982,Feb,63.4,58,3609963,3300879,309084,8.6
1982,Mar,63.5,57.9,3615569,3301613,313956,8.7
1982,Apr,63.5,58,3619562,3304904,314658,8.7
1982,May,63.5,58,3622340,3309826,312514,8.6
