Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,60,54.7,475004,432875,42129,8.9
1976,Feb,59.7,54.4,474831,432640,42191,8.9
1976,Mar,59.5,54.2,475109,432733,42376,8.9
1976,Apr,59.5,54.2,476571,433984,42587,8.9
1976,May,59.5,54.2,478400,435737,42663,8.9
1976,Jun,59.5,54.3,480530,437826,42704,8.9
1976,Jul,59.6,54.3,482648,439924,42724,8.9
1976,Aug,59.6,54.4,484771,441951,42820,8.8
1976,Sep,59.8,54.5,487267,444136,43131,8.9
1976,Oct,59.9,54.6,490190,446616,43574,8.9
1976,Nov,60.2,54.8,493404,449423,43981,8.9
1976,Dec,60.3,55,496647,452508,44139,8.9
1977,Jan,60.6,55.3,499717,455837,43880,8.8
1977,Feb,60.7,55.5,502636,459365,43271,8.6
1977,Mar,60.9,55.8,505526,463015,42511,8.4
1977,Apr,61,56,508341,466650,41691,8.2
1977,May,61.2,56.3,510945,470135,40810,8
1977,Jun,61.3,56.5,513297,473442,39855,7.8
1977,Jul,61.4,56.7,515468,476570,38898,7.5
1977,Aug,61.5,57,517479,479575,37904,7.3
1977,Sep,61.5,57.1,519278,482503,36775,7.1
1977,Oct,61.5,57.3,520860,485353,35507,6.8
1977,Nov,61.5,57.5,522370,488196,34174,6.5
1977,Dec,61.6,57.7,524007,491018,32989,6.3
1978,Jan,61.6,57.8,525877,493756,32121,6.1
1978,Feb,61.7,58,527948,496405,31543,6
1978,Mar,61.8,58.2,530197,499017,31180,5.9
1978,Apr,61.9,58.3,532726,501662,31064,5.8
1978,May,62,58.4,535447,504289,31158,5.8
1978,Jun,62.2,58.6,538050,506693,31357,5.8
1978,Jul,62.3,58.7,540353,508764,31589,5.8
1978,Aug,62.3,58.7,542281,510444,31837,5.9
1978,Sep,62.4,58.7,543849,511665,32184,5.9
1978,Oct,62.3,58.6,545228,512513,32715,6
1978,Nov,62.3,58.5,546519,513103,33416,6.1
1978,Dec,62.2,58.4,547713,513605,34108,6.2
1979,Jan,62.2,58.3,548863,514236,34627,6.3
1979,Feb,62.1,58.2,550021,515114,34907,6.3
1979,Mar,62.1,58.2,551160,516211,34949,6.3
1979,Apr,62.1,58.1,552249,517421,34828,6.3
1979,May,62,58.2,553442,518750,34692,6.3
1979,Jun,62,58.1,554885,520213,34672,6.2
1979,Jul,62,58.2,556583,521735,34848,6.3
1979,Aug,62.1,58.2,558392,523125,35267,6.3
1979,Sep,62.1,58.1,560092,524235,35857,6.4
1979,Oct,62.1,58.1,561471,525003,36468,6.5
1979,Nov,62.1,58,562440,525403,37037,6.6
1979,Dec,62,57.9,563059,525440,37619,6.7
1980,Jan,61.8,57.6,563382,525066,38316,6.8
1980,Feb,61.7,57.4,563464,524303,39161,7
1980,Mar,61.6,57.2,563443,523352,40091,7.1
1980,Apr,61.4,57,563491,522444,41047,7.3
1980,May,61.3,56.8,563727,521699,42028,7.5
1980,Jun,61.3,56.6,564255,521222,43033,7.6
1980,Jul,61.2,56.5,565099,521097,44002,7.8
1980,Aug,61.3,56.4,566313,521481,44832,7.9
1980,Sep,61.3,56.4,567884,522472,45412,8
1980,Oct,61.4,56.5,569630,523924,45706,8
1980,Nov,61.4,56.5,571385,525694,45691,8
1980,Dec,61.5,56.6,573048,527714,45334,7.9
1981,Jan,61.5,56.7,574553,529855,44698,7.8
1981,Feb,61.5,56.8,575841,531905,43936,7.6
1981,Mar,61.5,56.9,576821,533630,43191,7.5
1981,Apr,61.5,57,577390,534902,42488,7.4
1981,May,61.4,56.9,577546,535738,41808,7.2
1981,Jun,61.2,56.9,577501,536284,41217,7.1
1981,Jul,61.1,56.8,577534,536733,40801,7.1
1981,Aug,61,56.7,577888,537222,40666,7
1981,Sep,61,56.7,578708,537811,40897,7.1
1981,Oct,61,56.6,579957,538495,41462,7.1
1981,Nov,61,56.6,581431,539143,42288,7.3
1981,Dec,61.1,56.5,583030,539610,43420,7.4
1982,Jan,61.1,56.4,584710,539829,44881,7.7
1982,Feb,61.2,56.3,586530,539845,46685,8
1982,Mar,61.2,56.2,588582,539755,48827,8.3
1982,Apr,61.4,56,590906,539707,51199,8.7
1982,May,61.5,55.9,593418,539849,53569,9
1982,Jun,61.6,55.9,595839,540179,55660,9.3
1982,Jul,61.7,55.8,597899,540600,57299,9.6
1982,Aug,61.7,55.7,599426,540950,58476,9.8
1982,Sep,61.7,55.6,600486,541104,59382,9.9
1982,Oct,61.7,55.5,601370,541047,60323,10
1982,Nov,61.6,55.4,602256,540841,61415,10.2
1982,Dec,61.6,55.2,603119,540621,62498,10.4
1983,Jan,61.6,55.1,603937,540609,63328,10.5
1983,Feb,61.5,55,604812,541125,63687,10.5
1983,Mar,61.4,55,605812,542343,63469,10.5
1983,Apr,61.4,55.1,606926,544215,62711,10.3
1983,May,61.4,55.2,608054,546506,61548,10.1
1983,Jun,61.4,55.3,609094,548925,60169,9.9
1983,Jul,61.4,55.5,609936,551198,58738,9.6
1983,Aug,61.3,55.5,610501,553177,57324,9.4
1983,Sep,61.3,55.7,610821,554948,55873,9.1
1983,Oct,61.2,55.7,611046,556735,54311,8.9
1983,Nov,61.1,55.9,611497,558778,52719,8.6
1983,Dec,61.1,56,612416,561180,51236,8.4
1984,Jan,61.2,56.2,613828,563966,49862,8.1
1984,Feb,61.2,56.4,615480,566895,48585,7.9
1984,Mar,61.3,56.6,617126,569669,47457,7.7
1984,Apr,61.4,56.8,618834,572185,46649,7.5
1984,May,61.5,56.9,620766,574400,46366,7.5
1984,Jun,61.6,57,623008,576356,46652,7.5
1984,Jul,61.8,57.1,625528,578090,47438,7.6
1984,Aug,62,57.2,628202,579632,48570,7.7
1984,Sep,62.2,57.2,630846,581005,49841,7.9
1984,Oct,62.3,57.3,633347,582326,51021,8.1
1984,Nov,62.5,57.4,635669,583751,51918,8.2
1984,Dec,62.7,57.5,637832,585328,52504,8.2
1985,Jan,62.8,57.6,639894,586976,52918,8.3
1985,Feb,62.9,57.7,641913,588618,53295,8.3
1985,Mar,63,57.7,643779,590137,53642,8.3
1985,Apr,63.1,57.8,645236,591343,53893,8.4
1985,May,63.1,57.8,646338,592316,54022,8.4
1985,Jun,63.2,57.9,647426,593340,54086,8.4
1985,Jul,63.2,58,648881,594752,54129,8.3
1985,Aug,63.3,58,650934,596783,54151,8.3
1985,Sep,63.3,58.1,653536,599327,54209,8.3
1985,Oct,63.5,58.2,656410,601975,54435,8.3
1985,Nov,63.6,58.3,659229,604261,54968,8.3
1985,Dec,63.6,58.3,661728,605882,55846,8.4
1986,Jan,63.6,58.2,663747,606705,57042,8.6
