Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,58.3,52.3,7687165,6896554,790611,10.3
1976,Feb,58.2,52.2,7684752,6895390,789362,10.3
1976,Mar,58.2,52.2,7684481,6897998,786483,10.2
1976,Apr,58.2,52.3,7689935,6906874,783061,10.2
1976,May,58.2,52.3,7699911,6917563,782348,10.2
1976,Jun,58.3,52.4,7710197,6926350,783847,10.2
1976,Jul,58.3,52.4,7714711,6928065,786646,10.2
1976,Aug,58.3,52.3,7711955,6922698,789257,10.2
1976,Sep,58.2,52.2,7702135,6912814,789321,10.2
1976,Oct,58.1,52.2,7688549,6901865,786684,10.2
1976,Nov,58,52.1,7675643,6894001,781642,10.2
1976,Dec,57.9,52.1,7669179,6893647,775532,10.1
1977,Jan,58,52.2,7673859,6903917,769942,10
1977,Feb,58.1,52.3,7685946,6923761,762185,9.9
1977,Mar,58.1,52.5,7699013,6948749,750264,9.7
1977,Apr,58.2,52.7,7710663,6975580,735083,9.5
1977,May,58.3,52.9,7719926,7001075,718851,9.3
1977,Jun,58.3,53,7726901,7022585,704316,9.1
1977,Jul,58.4,53.2,7733588,7040877,692711,9
1977,Aug,58.5,53.3,7742645,7058488,684157,8.8
1977,Sep,58.5,53.4,7754068,7076707,677361,8.7
1977,Oct,58.6,53.6,7765621,7095195,670426,8.6
1977,Nov,58.7,53.7,7775641,7113136,662505,8.5
1977,Dec,58.7,53.8,7782581,7128771,653810,8.4
1978,Jan,58.8,53.9,7787320,7143545,643775,8.3
1978,Feb,58.8,54,7792592,7158808,633784,8.1
1978,Mar,58.9,54.2,7799865,7174491,625374,8
1978,Apr,58.9,54.3,7808695,7189887,618808,7.9
1978,May,59,54.4,7819734,7205741,613993,7.9
1978,Jun,59.1,54.5,7832827,7223321,609506,7.8
1978,Jul,59.2,54.7,7847213,7242277,604936,7.7
1978,Aug,59.3,54.8,7862942,7262302,600640,7.6
1978,Sep,59.5,55,7880750,7284730,596020,7.6
1978,Oct,59.6,55.1,7901898,7310842,591056,7.5
1978,Nov,59.8,55.3,7924783,7338896,585887,7.4
1978,Dec,59.9,55.5,7944266,7363972,580294,7.3
1979,Jan,60,55.6,7955684,7381316,574368,7.2
1979,Feb,60,55.7,7959763,7391227,568536,7.1
1979,Mar,60,55.7,7960601,7396959,563642,7.1
1979,Apr,60,55.8,7962758,7401466,561292,7
1979,May,60,55.8,7970035,7407580,562455,7.1
1979,Jun,60.1,55.8,7982659,7415310,567349,7.1
1979,Jul,60.2,55.9,7999247,7425317,573930,7.2
1979,Aug,60.4,56,8017455,7437082,580373,7.2
1979,Sep,60.5,56.1,8034013,7448242,585771,7.3
1979,Oct,60.5,56.1,8044467,7456960,587507,7.3
1979,Nov,60.6,56.2,8046086,7461673,584413,7.3
1979,Dec,60.5,56.1,8040294,7460829,579465,7.2
1980,Jan,60.4,56.1,8028702,7452203,576499,7.2
1980,Feb,60.3,55.9,8012458,7434606,577852,7.2
1980,Mar,60.1,55.7,7993688,7409844,583844,7.3
1980,Apr,60,55.5,7975051,7382931,592120,7.4
