Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,62.4,60.3,275609,266394,9215,3.3
1976,Feb,62.2,60.1,275468,266304,9164,3.3
1976,Mar,62.1,60,275531,266363,9168,3.3
1976,Apr,62.2,60.1,276266,266864,9402,3.4
1976,May,62.3,60.1,277312,267566,9746,3.5
1976,Jun,62.4,60.2,278512,268372,10140,3.6
1976,Jul,62.5,60.2,279594,269074,10520,3.8
1976,Aug,62.6,60.2,280450,269615,10835,3.9
1976,Sep,62.7,60.3,281118,270024,11094,3.9
1976,Oct,62.7,60.2,281650,270311,11339,4
1976,Nov,62.8,60.3,282162,270530,11632,4.1
1976,Dec,62.8,60.2,282737,270773,11964,4.2
1977,Jan,63,60.3,283410,271131,12279,4.3
1977,Feb,63,60.2,284158,271612,12546,4.4
1977,Mar,63,60.2,284891,272131,12760,4.5
1977,Apr,63.2,60.3,285557,272636,12921,4.5
1977,May,63.2,60.3,286183,273125,13058,4.6
1977,Jun,63.3,60.4,286814,273629,13185,4.6
1977,Jul,63.3,60.4,287469,274182,13287,4.6
1977,Aug,63.5,60.5,288183,274814,13369,4.6
1977,Sep,63.5,60.6,288953,275525,13428,4.6
1977,Oct,63.7,60.7,289681,276263,13418,4.6
1977,Nov,63.7,60.7,290272,276955,13317,4.6
1977,Dec,63.7,60.9,290685,277547,13138,4.5
1978,Jan,63.8,61,290982,278083,12899,4.4
1978,Feb,63.7,61,291302,278660,12642,4.3
1978,Mar,63.8,61.1,291766,279353,12413,4.3
1978,Apr,63.8,61.2,292396,280150,12246,4.2
1978,May,64,61.3,293102,280953,12149,4.1
1978,Jun,64,61.4,293777,281654,12123,4.1
1978,Jul,64.1,61.5,294379,282176,12203,4.1
1978,Aug,64.2,61.6,294868,282526,12342,4.2
1978,Sep,64.2,61.5,295265,282784,12481,4.2
1978,Oct,64.3,61.5,295684,283101,12583,4.3
1978,Nov,64.2,61.5,296192,283553,12639,4.3
1978,Dec,64.4,61.6,296800,284089,12711,4.3
1979,Jan,64.5,61.7,297467,284657,12810,4.3
1979,Feb,64.5,61.7,298124,285268,12856,4.3
1979,Mar,64.7,61.9,298722,285946,12776,4.3
1979,Apr,64.6,61.9,299240,286694,12546,4.2
1979,May,64.7,62.1,299692,287495,12197,4.1
1979,Jun,64.7,62.1,300079,288264,11815,3.9
1979,Jul,64.7,62.3,300402,288911,11491,3.8
1979,Aug,64.8,62.4,300655,289334,11321,3.8
1979,Sep,64.8,62.4,300827,289470,11357,3.8
1979,Oct,64.7,62.2,300906,289353,11553,3.8
1979,Nov,64.7,62.2,300962,289123,11839,3.9
1979,Dec,64.7,62.1,301077,288964,12113,4
1980,Jan,64.8,62.1,301266,288889,12377,4.1
1980,Feb,64.8,62.1,301513,288772,12741,4.2
1980,Mar,64.9,62,301805,288519,13286,4.4
1980,Apr,64.8,61.8,302117,288096,14021,4.6
