Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,58.2,53.5,5105548,4693332,412216,8.1
1976,Feb,58.1,53.4,5104850,4691940,412910,8.1
1976,Mar,58.1,53.4,5106719,4691831,414888,8.1
1976,Apr,58.2,53.4,5112956,4696196,416760,8.2
1976,May,58.2,53.5,5120204,4703981,416223,8.1
1976,Jun,58.2,53.6,5126930,4714719,412211,8
1976,Jul,58.2,53.6,5130996,4724714,406282,7.9
1976,Aug,58.2,53.7,5133739,4733149,400590,7.8
1976,Sep,58.2,53.7,5137094,4739425,397669,7.7
1976,Oct,58.3,53.7,5142875,4743412,399463,7.8
1976,Nov,58.3,53.7,5151900,4746421,405479,7.9
1976,Dec,58.4,53.7,5162158,4750182,411976,8
1977,Jan,58.5,53.8,5172352,4756572,415780,8
1977,Feb,58.5,53.8,5181538,4766059,415479,8
1977,Mar,58.6,53.9,5187821,4776267,411554,7.9
1977,Apr,58.6,54,5191317,4785229,406088,7.8
1977,May,58.5,54,5193541,4792473,401068,7.7
1977,Jun,58.5,54.1,5196703,4799142,397561,7.7
1977,Jul,58.6,54.1,5202216,4806759,395457,7.6
1977,Aug,58.6,54.2,5210187,4815946,394241,7.6
1977,Sep,58.7,54.3,5219316,4826594,392722,7.5
1977,Oct,58.7,54.4,5226762,4836794,389968,7.5
1977,Nov,58.8,54.4,5231939,4845281,386658,7.4
1977,Dec,58.8,54.5,5236268,4852437,383831,7.3
1978,Jan,58.8,54.5,5241875,4860708,381167,7.3
1978,Feb,58.9,54.6,5250607,4872529,378078,7.2
1978,Mar,59,54.8,5263325,4888960,374365,7.1
1978,Apr,59.1,55,5279101,4909201,369900,7
1978,May,59.3,55.2,5295970,4930438,365532,6.9
1978,Jun,59.4,55.4,5310837,4948723,362114,6.8
1978,Jul,59.5,55.5,5321863,4961261,360602,6.8
1978,Aug,59.6,55.5,5329262,4968316,360946,6.8
1978,Sep,59.6,55.5,5334396,4972130,362266,6.8
1978,Oct,59.6,55.6,5339970,4976434,363536,6.8
1978,Nov,59.7,55.6,5346873,4982771,364102,6.8
1978,Dec,59.7,55.6,5353414,4989490,363924,6.8
1979,Jan,59.7,55.7,5358154,4994906,363248,6.8
1979,Feb,59.7,55.7,5360567,4998444,362123,6.8
1979,Mar,59.7,55.6,5360842,5000122,360720,6.7
1979,Apr,59.6,55.6,5360239,5000363,359876,6.7
1979,May,59.6,55.6,5361238,5000927,360311,6.7
1979,Jun,59.6,55.6,5365584,5003015,362569,6.8
1979,Jul,59.7,55.6,5374038,5007985,366053,6.8
1979,Aug,59.8,55.7,5386483,5015852,370631,6.9
1979,Sep,59.9,55.8,5401498,5025618,375880,7
1979,Oct,60.1,55.8,5416194,5035975,380219,7
1979,Nov,60.2,55.9,5428217,5045457,382760,7.1
1979,Dec,60.3,56,5436940,5052287,384653,7.1
1980,Jan,60.3,56,5441419,5053355,388064,7.1
1980,Feb,60.3,55.9,5442032,5046347,395685,7.3
1980,Mar,60.2,55.7,5441036,5031810,409226,7.5
1980,Apr,60.2,55.5,5439158,5012102,427056,7.9
1980,May,60.1,55.2,5436732,4991213,445519,8.2
1980,Jun,60.1,55,5435212,4974646,460566,8.5
1980,Jul,60,54.9,5434145,4965494,468651,8.6
