Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,64.7,62.7,308735,298900,9835,3.2
1976,Feb,64.6,62.5,308727,298906,9821,3.2
1976,Mar,64.6,62.6,308704,299010,9694,3.1
1976,Apr,64.5,62.5,308718,299231,9487,3.1
1976,May,64.3,62.4,308764,299427,9337,3
1976,Jun,64.4,62.4,308993,299623,9370,3
1976,Jul,64.3,62.3,309365,299746,9619,3.1
1976,Aug,64.3,62.2,309901,299915,9986,3.2
1976,Sep,64.4,62.3,310607,300260,10347,3.3
1976,Oct,64.5,62.3,311465,300795,10670,3.4
1976,Nov,64.7,62.4,312408,301469,10939,3.5
1976,Dec,64.7,62.4,313261,302143,11118,3.5
1977,Jan,64.9,62.6,313955,302761,11194,3.6
1977,Feb,64.9,62.6,314611,303420,11191,3.6
1977,Mar,65,62.7,315279,304174,11105,3.5
1977,Apr,65,62.8,315964,305034,10930,3.5
1977,May,65.2,63,316653,305974,10679,3.4
1977,Jun,65.2,63,317357,306952,10405,3.3
1977,Jul,65.3,63.2,318064,307894,10170,3.2
1977,Aug,65.4,63.4,318739,308712,10027,3.1
1977,Sep,65.4,63.4,319316,309357,9959,3.1
1977,Oct,65.5,63.5,319776,309887,9889,3.1
1977,Nov,65.6,63.6,320196,310404,9792,3.1
1977,Dec,65.7,63.7,320661,311005,9656,3
1978,Jan,65.7,63.8,321235,311739,9496,3
1978,Feb,65.8,63.9,321957,312572,9385,2.9
1978,Mar,66,64.1,322955,313520,9435,2.9
1978,Apr,66.3,64.3,324220,314567,9653,3
1978,May,66.5,64.4,325618,315666,9952,3.1
1978,Jun,66.7,64.6,326991,316770,10221,3.1
1978,Jul,67,64.9,328204,317819,10385,3.2
1978,Aug,67.2,65,329182,318737,10445,3.2
1978,Sep,67.2,65.1,329858,319406,10452,3.2
1978,Oct,67.3,65.1,330237,319778,10459,3.2
1978,Nov,67.3,65.2,330422,319889,10533,3.2
1978,Dec,67.3,65.1,330570,319842,10728,3.2
1979,Jan,67.2,65,330804,319808,10996,3.3
1979,Feb,67.3,65,331138,319936,11202,3.4
1979,Mar,67.4,65.1,331509,320272,11237,3.4
1979,Apr,67.5,65.2,331900,320783,11117,3.3
1979,May,67.4,65.2,332332,321386,10946,3.3
1979,Jun,67.5,65.3,332769,321956,10813,3.2
1979,Jul,67.6,65.4,333199,322419,10780,3.2
1979,Aug,67.7,65.5,333605,322748,10857,3.3
1979,Sep,67.8,65.5,334032,322996,11036,3.3
1979,Oct,67.7,65.4,334491,323191,11300,3.4
1979,Nov,67.8,65.4,334940,323317,11623,3.5
1979,Dec,67.9,65.5,335383,323352,12031,3.6
1980,Jan,68,65.4,335756,323169,12587,3.7
1980,Feb,67.9,65.2,335968,322630,13338,4
1980,Mar,67.9,65,335992,321720,14272,4.2
1980,Apr,67.8,64.8,335815,320538,15277,4.5
1980,May,67.8,64.5,335454,319262,16192,4.8
1980,Jun,67.7,64.3,334989,318099,16890,5
1980,Jul,67.6,64.1,334519,317218,17301,5.2
1980,Aug,67.4,63.9,334214,316748,17466,5.2
1980,Sep,67.4,63.9,334211,316700,17511,5.2
1980,Oct,67.4,63.9,334519,316966,17553,5.2
1980,Nov,67.5,64,334991,317390,17601,5.3
1980,Dec,67.6,64.1,335398,317804,17594,5.2
1981,Jan,67.7,64.1,335606,318110,17496,5.2
1981,Feb,67.7,64.2,335595,318306,17289,5.2
1981,Mar,67.6,64.2,335390,318415,16975,5.1
1981,Apr,67.4,64.1,335099,318466,16633,5
1981,May,67.4,64.1,334797,318464,16333,4.9
1981,Jun,67.3,64.1,334548,318397,16151,4.8
1981,Jul,67.3,64,334365,318249,16116,4.8
1981,Aug,67.2,64,334161,317986,16175,4.8
1981,Sep,67.2,63.9,333813,317583,16230,4.9
1981,Oct,67.1,63.8,333310,317077,16233,4.9
1981,Nov,67,63.7,332761,316519,16242,4.9
1981,Dec,66.9,63.6,332278,315985,16293,4.9
1982,Jan,66.8,63.5,331923,315534,16389,4.9
1982,Feb,66.6,63.3,331705,315142,16563,5
1982,Mar,66.6,63.2,331554,314736,16818,5.1
1982,Apr,66.5,63.1,331398,314265,17133,5.2
1982,May,66.5,63,331279,313758,17521,5.3
1982,Jun,66.5,62.9,331259,313298,17961,5.4
1982,Jul,66.5,62.8,331353,312950,18403,5.6
1982,Aug,66.5,62.7,331591,312761,18830,5.7
1982,Sep,66.5,62.7,331975,312758,19217,5.8
1982,Oct,66.5,62.6,332425,312908,19517,5.9
1982,Nov,66.6,62.6,332824,313143,19681,5.9
1982,Dec,66.5,62.5,333086,313372,19714,5.9
1983,Jan,66.5,62.6,333170,313542,19628,5.9
1983,Feb,66.4,62.5,333104,313705,19399,5.8
1983,Mar,66.3,62.5,333012,313959,19053,5.7
1983,Apr,66.2,62.5,333037,314423,18614,5.6
1983,May,66.3,62.7,333262,315162,18100,5.4
1983,Jun,66.2,62.7,333689,316139,17550,5.3
1983,Jul,66.3,62.9,334296,317257,17039,5.1
1983,Aug,66.5,63.2,334988,318380,16608,5
1983,Sep,66.5,63.2,335649,319403,16246,4.8
1983,Oct,66.6,63.4,336197,320289,15908,4.7
1983,Nov,66.7,63.6,336645,321082,15563,4.6
1983,Dec,66.6,63.6,337085,321867,15218,4.5
1984,Jan,66.7,63.8,337694,322773,14921,4.4
1984,Feb,66.9,64,338570,323859,14711,4.3
1984,Mar,67,64.1,339638,325042,14596,4.3
1984,Apr,67.2,64.3,340723,326150,14573,4.3
1984,May,67.4,64.5,341655,327014,14641,4.3
