Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63,59.4,519498,489265,30233,5.8
1976,Feb,62.8,59.2,519124,488892,30232,5.8
1976,Mar,62.7,59.1,519114,489008,30106,5.8
1976,Apr,62.7,59.1,520609,490860,29749,5.7
1976,May,62.8,59.3,522952,493574,29378,5.6
1976,Jun,63,59.5,525864,496755,29109,5.5
1976,Jul,63.2,59.7,528720,499743,28977,5.5
1976,Aug,63.2,59.8,531187,502237,28950,5.5
1976,Sep,63.3,59.9,533344,504388,28956,5.4
1976,Oct,63.4,59.9,535313,506233,29080,5.4
1976,Nov,63.4,60,537110,507863,29247,5.4
1976,Dec,63.4,59.9,538754,509397,29357,5.4
1977,Jan,63.4,60,540348,510947,29401,5.4
1977,Feb,63.4,59.9,541806,512411,29395,5.4
1977,Mar,63.4,59.9,542953,513602,29351,5.4
1977,Apr,63.2,59.8,543772,514549,29223,5.4
1977,May,63.2,59.8,544359,515376,28983,5.3
1977,Jun,63,59.7,544934,516273,28661,5.3
1977,Jul,62.9,59.7,545716,517420,28296,5.2
1977,Aug,62.8,59.6,546742,518892,27850,5.1
1977,Sep,62.8,59.7,547901,520646,27255,5
1977,Oct,62.7,59.7,549012,522505,26507,4.8
1977,Nov,62.7,59.8,550082,524376,25706,4.7
1977,Dec,62.6,59.8,551280,526306,24974,4.5
1978,Jan,62.7,59.9,552766,528496,24270,4.4
1978,Feb,62.7,60,554691,531154,23537,4.2
1978,Mar,62.7,60.2,557046,534303,22743,4.1
1978,Apr,62.9,60.4,559635,537711,21924,3.9
1978,May,63,60.6,562309,541157,21152,3.8
1978,Jun,63.1,60.8,564976,544499,20477,3.6
1978,Jul,63.2,61,567695,547648,20047,3.5
1978,Aug,63.3,61.1,570621,550647,19974,3.5
1978,Sep,63.6,61.3,573904,553635,20269,3.5
1978,Oct,63.7,61.5,577566,556792,20774,3.6
1978,Nov,64,61.6,581432,560094,21338,3.7
1978,Dec,64.2,61.8,585161,563281,21880,3.7
1979,Jan,64.4,61.9,588488,566078,22410,3.8
1979,Feb,64.5,62,591479,568486,22993,3.9
1979,Mar,64.7,62.1,594469,570800,23669,4
