Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63,57.6,213667,195099,18568,8.7
1976,Feb,62.8,57.3,213554,194960,18594,8.7
1976,Mar,62.6,57.2,213610,194978,18632,8.7
1976,Apr,62.8,57.4,214211,195593,18618,8.7
1976,May,62.9,57.5,215053,196524,18529,8.6
1976,Jun,63.2,57.8,216002,197661,18341,8.5
1976,Jul,63.2,58,216844,198770,18074,8.3
1976,Aug,63.2,58.1,217539,199763,17776,8.2
1976,Sep,63.2,58.2,218206,200706,17500,8
1976,Oct,63.5,58.4,218913,201608,17305,7.9
1976,Nov,63.5,58.5,219711,202505,17206,7.8
1976,Dec,63.6,58.6,220626,203448,17178,7.8
1977,Jan,63.7,58.8,221659,204503,17156,7.7
1977,Feb,64,59.1,222749,205682,17067,7.7
1977,Mar,64.1,59.3,223807,206944,16863,7.5
1977,Apr,64.2,59.5,224834,208294,16540,7.4
1977,May,64.4,59.8,225923,209763,16160,7.2
1977,Jun,64.7,60.2,227153,211356,15797,7
1977,Jul,64.9,60.5,228564,213046,15518,6.8
1977,Aug,65.2,60.8,230105,214752,15353,6.7
1977,Sep,65.6,61.3,231631,216366,15265,6.6
1977,Oct,65.8,61.5,233004,217819,15185,6.5
1977,Nov,66,61.7,234147,219097,15050,6.4
1977,Dec,66.2,62,235042,220224,14818,6.3
1978,Jan,66.2,62.2,235759,221265,14494,6.1
1978,Feb,66.2,62.3,236439,222299,14140,6
1978,Mar,66.4,62.6,237206,223373,13833,5.8
1978,Apr,66.5,62.7,238059,224462,13597,5.7
1978,May,66.5,62.8,238908,225487,13421,5.6
1978,Jun,66.8,63.1,239666,226375,13291,5.5
1978,Jul,66.8,63.1,240301,227108,13193,5.5
1978,Aug,66.7,63.1,240842,227720,13122,5.4
1978,Sep,66.7,63.1,241362,228274,13088,5.4
1978,Oct,66.8,63.2,241921,228847,13074,5.4
1978,Nov,66.8,63.2,242535,229462,13073,5.4
1978,Dec,66.8,63.2,243141,230071,13070,5.4
1979,Jan,66.8,63.2,243651,230628,13023,5.3
1979,Feb,66.8,63.3,243988,231097,12891,5.3
1979,Mar,66.7,63.2,244130,231445,12685,5.2
1979,Apr,66.5,63.1,244127,231658,12469,5.1
1979,May,66.3,63,244091,231789,12302,5
1979,Jun,66.3,63,244134,231917,12217,5
1979,Jul,66.2,62.9,244340,232106,12234,5
1979,Aug,66.1,62.8,244732,232394,12338,5
1979,Sep,66.3,62.9,245285,232784,12501,5.1
1979,Oct,66.3,62.9,245924,233226,12698,5.2
1979,Nov,66.3,62.8,246570,233669,12901,5.2
1979,Dec,66.3,62.8,247170,234066,13104,5.3
1980,Jan,66.4,62.8,247648,234308,13340,5.4
1980,Feb,66.3,62.7,248010,234326,13684,5.5
1980,Mar,66.2,62.4,248345,234166,14179,5.7
1980,Apr,66.2,62.2,248736,233934,14802,6
1980,May,66.3,62.2,249230,233738,15492,6.2
1980,Jun,66.3,62,249837,233685,16152,6.5
1980,Jul,66.4,62,250502,233845,16657,6.6
1980,Aug,66.4,62,251158,234261,16897,6.7
1980,Sep,66.6,62.2,251765,234941,16824,6.7
1980,Oct,66.7,62.4,252301,235814,16487,6.5
1980,Nov,66.7,62.5,252785,236801,15984,6.3
1980,Dec,66.8,62.8,253279,237838,15441,6.1
1981,Jan,66.8,62.9,253874,238889,14985,5.9
1981,Feb,67,63.1,254611,239939,14672,5.8
1981,Mar,67.2,63.4,255469,240967,14502,5.7
1981,Apr,67.3,63.5,256388,241916,14472,5.6
1981,May,67.5,63.7,257272,242725,14547,5.7
1981,Jun,67.5,63.7,258018,243345,14673,5.7
1981,Jul,67.7,63.8,258577,243761,14816,5.7
1981,Aug,67.8,63.9,258953,243972,14981,5.8
1981,Sep,67.7,63.7,259173,243993,15180,5.9
1981,Oct,67.7,63.7,259311,243910,15401,5.9
1981,Nov,67.6,63.5,259498,243785,15713,6.1
1981,Dec,67.7,63.5,259876,243704,16172,6.2
1982,Jan,67.8,63.5,260484,243764,16720,6.4
1982,Feb,67.9,63.4,261262,243975,17287,6.6
1982,Mar,68.1,63.5,262114,244290,17824,6.8
1982,Apr,68.1,63.4,262951,244691,18260,6.9
1982,May,68.3,63.5,263666,245127,18539,7
1982,Jun,68.3,63.4,264160,245487,18673,7.1
1982,Jul,68.3,63.5,264384,245675,18709,7.1
1982,Aug,68.3,63.5,264362,245644,18718,7.1
1982,Sep,68.1,63.3,264212,245423,18789,7.1
1982,Oct,68.1,63.2,264049,245094,18955,7.2
1982,Nov,67.8,62.9,263915,244789,19126,7.2
1982,Dec,67.8,62.9,263818,244603,19215,7.3
1983,Jan,67.8,62.9,263783,244573,19210,7.3
