Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,65.9,62,2328545,2190847,137698,5.9
1976,Feb,65.7,61.8,2327900,2190461,137439,5.9
1976,Mar,65.6,61.7,2328207,2191511,136696,5.9
1976,Apr,65.5,61.7,2330919,2195231,135688,5.8
1976,May,65.5,61.7,2334945,2199661,135284,5.8
1976,Jun,65.4,61.7,2339651,2204049,135602,5.8
1976,Jul,65.4,61.6,2343598,2207139,136459,5.8
1976,Aug,65.4,61.5,2346485,2209333,137152,5.8
1976,Sep,65.3,61.5,2348914,2211644,137270,5.8
1976,Oct,65.2,61.4,2351902,2214527,137375,5.8
1976,Nov,65.2,61.4,2356042,2218468,137574,5.8
1976,Dec,65.2,61.4,2361415,2223892,137523,5.8
1977,Jan,65.3,61.5,2368365,2231138,137227,5.8
1977,Feb,65.4,61.6,2376572,2239812,136760,5.8
1977,Mar,65.5,61.7,2384337,2248658,135679,5.7
1977,Apr,65.5,61.9,2390572,2256965,133607,5.6
1977,May,65.5,61.9,2395358,2264422,130936,5.5
1977,Jun,65.5,62,2399722,2271131,128591,5.4
1977,Jul,65.5,62,2405066,2277813,127253,5.3
1977,Aug,65.6,62.1,2412419,2285198,127221,5.3
1977,Sep,65.7,62.2,2421483,2293372,128111,5.3
1977,Oct,65.8,62.3,2430715,2301538,129177,5.3
1977,Nov,65.9,62.4,2439240,2309004,130236,5.3
1977,Dec,66,62.4,2446652,2315403,131249,5.4
1978,Jan,66,62.5,2453621,2321822,131799,5.4
1978,Feb,66.1,62.5,2461035,2329311,131724,5.4
1978,Mar,66.2,62.7,2469578,2338188,131390,5.3
1978,Apr,66.3,62.8,2479234,2347895,131339,5.3
1978,May,66.4,62.9,2489029,2357436,131593,5.3
1978,Jun,66.5,63,2497402,2365680,131722,5.3
1978,Jul,66.5,63,2503172,2371482,131690,5.3
1978,Aug,66.5,63,2506516,2374757,131759,5.3
1978,Sep,66.5,63,2508691,2376816,131875,5.3
1978,Oct,66.5,63,2511549,2379703,131846,5.2
1978,Nov,66.5,63,2515652,2384215,131437,5.2
1978,Dec,66.5,63,2519926,2389378,130548,5.2
1979,Jan,66.5,63.1,2522789,2393658,129131,5.1
1979,Feb,66.4,63.1,2523714,2396705,127009,5
1979,Mar,66.3,63,2523307,2399028,124279,4.9
1979,Apr,66.2,63,2522571,2401169,121402,4.8
1979,May,66.1,63,2523193,2404161,119032,4.7
1979,Jun,66.1,63,2526095,2408316,117779,4.7
1979,Jul,66.1,63.1,2531563,2414115,117448,4.6
1979,Aug,66.2,63.2,2539060,2421315,117745,4.6
1979,Sep,66.4,63.3,2546941,2428755,118186,4.6
1979,Oct,66.4,63.4,2553107,2435254,117853,4.6
1979,Nov,66.4,63.4,2556456,2439933,116523,4.6
1979,Dec,66.4,63.4,2557218,2442148,115070,4.5
1980,Jan,66.2,63.3,2555905,2441154,114751,4.5
1980,Feb,66.1,63.1,2553641,2436777,116864,4.6
1980,Mar,66,62.8,2551823,2429881,121942,4.8
1980,Apr,65.9,62.5,2551419,2422424,128995,5.1
1980,May,65.8,62.3,2552681,2416446,136235,5.3
1980,Jun,65.8,62.1,2555824,2413978,141846,5.5
1980,Jul,65.8,62.1,2559825,2415524,144301,5.6
1980,Aug,65.8,62.1,2563299,2420229,143070,5.6
1980,Sep,65.7,62.2,2566104,2426603,139501,5.4
1980,Oct,65.7,62.2,2568839,2432785,136054,5.3
1980,Nov,65.7,62.3,2572633,2438281,134352,5.2
1980,Dec,65.8,62.3,2578928,2443944,134984,5.2
1981,Jan,65.9,62.4,2587701,2449589,138112,5.3
1981,Feb,66,62.4,2596989,2454307,142682,5.5
1981,Mar,66.1,62.4,2605167,2458117,147050,5.6
1981,Apr,66.2,62.4,2610678,2460415,150263,5.8
1981,May,66.1,62.3,2612572,2460443,152129,5.8
1981,Jun,66,62.1,2611629,2458490,153139,5.9
1981,Jul,65.8,61.9,2609567,2454984,154583,5.9
1981,Aug,65.7,61.8,2607863,2450582,157281,6
1981,Sep,65.6,61.6,2607510,2446256,161254,6.2
1981,Oct,65.6,61.4,2609243,2442725,166518,6.4
1981,Nov,65.6,61.3,2612396,2439634,172762,6.6
1981,Dec,65.6,61.1,2616411,2437326,179085,6.8
1982,Jan,65.7,61.1,2621438,2437163,184275,7
1982,Feb,65.7,61,2627283,2439291,187992,7.2
1982,Mar,65.8,61,2632792,2442350,190442,7.2
1982,Apr,65.8,61,2637700,2445880,191820,7.3
1982,May,65.9,61.1,2642248,2449658,192590,7.3
1982,Jun,65.9,61.1,2646195,2452855,193340,7.3
1982,Jul,65.9,61,2650308,2455370,194938,7.4
1982,Aug,66,61,2655900,2457737,198163,7.5
1982,Sep,66.1,61,2663275,2460428,202847,7.6
1982,Oct,66.2,61,2671586,2463901,207685,7.8
1982,Nov,66.3,61.1,2680003,2468732,211271,7.9
1982,Dec,66.4,61.1,2686503,2474205,212298,7.9
1983,Jan,66.4,61.2,2690087,2479873,210214,7.8
1983,Feb,66.3,61.3,2692004,2487087,204917,7.6
1983,Mar,66.3,61.5,2694133,2496871,197262,7.3
1983,Apr,66.3,61.7,2698497,2509506,188991,7
1983,May,66.4,62,2705882,2524294,181588,6.7
1983,Jun,66.6,62.3,2715738,2540120,175618,6.5
1983,Jul,66.8,62.6,2726388,2555775,170613,6.3
1983,Aug,66.9,62.8,2735602,2569801,165801,6.1
1983,Sep,67,63,2742486,2581689,160797,5.9
1983,Oct,67,63.2,2747448,2592060,155388,5.7
1983,Nov,67,63.3,2751534,2601729,149805,5.4
1983,Dec,67,63.5,2756905,2611981,144924,5.3
1984,Jan,67.1,63.7,2765305,2623993,141312,5.1
1984,Feb,67.3,63.9,2776674,2637383,139291,5
1984,Mar,67.5,64.1,2789627,2650680,138947,5
1984,Apr,67.7,64.3,2801778,2662247,139531,5
1984,May,67.8,64.4,2811941,2671438,140503,5
1984,Jun,67.9,64.5,2819891,2678318,141573,5
1984,Jul,68,64.5,2825913,2683290,142623,5
1984,Aug,68,64.6,2830963,2687234,143729,5.1
1984,Sep,68.1,64.6,2835695,2690655,145040,5.1
1984,Oct,68.1,64.6,2841002,2694319,146683,5.2
1984,Nov,68.2,64.6,2847614,2699032,148582,5.2
1984,Dec,68.3,64.7,2854864,2704426,150438,5.3
1985,Jan,68.4,64.7,2860775,2708675,152100,5.3
1985,Feb,68.4,64.7,2864044,2710010,154034,5.4
1985,Mar,68.3,64.6,2864518,2708133,156385,5.5
1985,Apr,68.2,64.4,2863040,2704008,159032,5.6
1985,May,68,64.2,2860749,2699290,161459,5.6
1985,Jun,67.9,64.1,2858827,2695897,162930,5.7
1985,Jul,67.8,64,2858197,2695104,163093,5.7
1985,Aug,67.8,63.9,2859433,2697904,161529,5.6
1985,Sep,67.7,63.9,2862077,2703772,158305,5.5
1985,Oct,67.6,64,2864949,2710655,154294,5.4
1985,Nov,67.6,64,2867110,2716573,150537,5.3
1985,Dec,67.5,64,2868354,2720520,147834,5.2
1986,Jan,67.4,64,2869914,2723281,146633,5.1
1986,Feb,67.4,63.9,2873454,2726934,146520,5.1
1986,Mar,67.4,64,2879582,2732916,146666,5.1
1986,Apr,67.5,64.1,2888250,2741398,146852,5.1
1986,May,67.6,64.2,2898522,2751591,146931,5.1
1986,Jun,67.7,64.3,2909636,2762560,147076,5.1
1986,Jul,67.9,64.5,2920677,2773420,147257,5
1986,Aug,68,64.6,2930592,2783108,147484,5
1986,Sep,68.1,64.6,2939004,2791427,147577,5
1986,Oct,68.1,64.7,2946198,2798980,147218,5
1986,Nov,68.1,64.7,2952375,2805955,146420,5
1986,Dec,68.1,64.8,2958913,2813609,145304,4.9
1987,Jan,68.2,64.9,2966196,2822324,143872,4.9
1987,Feb,68.2,65,2973373,2831540,141833,4.8
