Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,61,55.7,1584688,1446319,138369,8.7
1976,Feb,60.8,55.5,1583350,1445338,138012,8.7
1976,Mar,60.6,55.3,1582676,1445169,137507,8.7
1976,Apr,60.6,55.4,1586708,1448989,137719,8.7
1976,May,60.8,55.5,1593891,1455187,138704,8.7
1976,Jun,61,55.7,1604708,1464167,140541,8.8
1976,Jul,61.4,56,1618080,1474961,143119,8.8
1976,Aug,61.8,56.2,1632326,1486462,145864,8.9
1976,Sep,62.1,56.5,1646384,1497953,148431,9
1976,Oct,62.4,56.8,1658773,1507876,150897,9.1
1976,Nov,62.6,56.9,1668192,1515113,153079,9.2
1976,Dec,62.7,56.9,1674146,1519467,154679,9.2
1977,Jan,62.6,56.8,1677365,1521761,155604,9.3
1977,Feb,62.5,56.7,1678881,1523269,155612,9.3
1977,Mar,62.4,56.6,1679640,1524989,154651,9.2
1977,Apr,62.3,56.6,1680812,1527999,152813,9.1
1977,May,62.2,56.6,1683073,1532870,150203,8.9
1977,Jun,62.2,56.7,1686771,1539477,147294,8.7
1977,Jul,62.2,56.9,1691931,1547808,144123,8.5
1977,Aug,62.3,57.1,1698876,1558192,140684,8.3
1977,Sep,62.4,57.4,1707577,1570731,136846,8
1977,Oct,62.5,57.7,1717441,1584844,132597,7.7
1977,Nov,62.7,58,1727944,1599649,128295,7.4
1977,Dec,62.9,58.4,1738785,1614224,124561,7.2
1978,Jan,63.1,58.7,1749856,1628160,121696,7
1978,Feb,63.3,59,1761323,1641513,119810,6.8
1978,Mar,63.5,59.3,1773519,1654481,119038,6.7
1978,Apr,63.8,59.5,1786073,1666651,119422,6.7
1978,May,64,59.7,1798346,1677632,120714,6.7
1978,Jun,64.2,59.9,1809470,1687399,122071,6.7
1978,Jul,64.3,60,1819165,1695680,123485,6.8
1978,Aug,64.4,60,1827229,1702229,125000,6.8
1978,Sep,64.4,60,1833849,1707501,126348,6.9
1978,Oct,64.4,60,1840400,1712872,127528,6.9
1978,Nov,64.5,60,1848433,1719871,128562,7
1978,Dec,64.7,60.1,1858795,1729286,129509,7
1979,Jan,64.9,60.4,1871493,1741312,130181,7
1979,Feb,65.1,60.6,1885756,1755501,130255,6.9
1979,Mar,65.4,61,1900104,1770700,129404,6.8
1979,Apr,65.7,61.3,1913608,1785655,127953,6.7
1979,May,65.9,61.5,1925968,1799297,126671,6.6
1979,Jun,66,61.7,1936458,1810349,126109,6.5
1979,Jul,66.1,61.8,1944332,1818370,125962,6.5
1979,Aug,66,61.7,1950146,1823765,126381,6.5
1979,Sep,65.9,61.6,1955117,1827323,127794,6.5
1979,Oct,65.8,61.5,1959464,1829800,129664,6.6
1979,Nov,65.7,61.3,1963474,1831706,131768,6.7
1979,Dec,65.6,61.1,1967356,1833162,134194,6.8
1980,Jan,65.5,60.9,1970995,1833580,137415,7
1980,Feb,65.3,60.6,1974341,1832320,142021,7.2
1980,Mar,65.2,60.3,1977307,1829358,147949,7.5
1980,Apr,65,59.9,1979341,1825184,154157,7.8
1980,May,64.9,59.7,1980289,1820640,159649,8.1
1980,Jun,64.8,59.5,1981097,1817107,163990,8.3
1980,Jul,64.8,59.3,1982830,1815640,167190,8.4
1980,Aug,64.7,59.2,1985454,1816466,168988,8.5
1980,Sep,64.7,59.2,1988450,1819049,169401,8.5
1980,Oct,64.7,59.2,1991647,1822229,169418,8.5
1980,Nov,64.7,59.2,1994662,1824939,169723,8.5
1980,Dec,64.7,59.1,1997300,1826706,170594,8.5
1981,Jan,64.6,59,1999430,1827257,172173,8.6
1981,Feb,64.5,58.9,2000693,1826495,174198,8.7
1981,Mar,64.4,58.7,2001274,1824735,176539,8.8
1981,Apr,64.3,58.6,2001385,1822143,179242,9
1981,May,64.2,58.3,2000816,1818619,182197,9.1
1981,Jun,64,58.1,1999571,1814175,185396,9.3
1981,Jul,63.9,57.8,1997629,1808523,189106,9.5
1981,Aug,63.7,57.5,1995409,1801718,193691,9.7
1981,Sep,63.6,57.3,1993816,1794338,199478,10
1981,Oct,63.6,57,1993449,1787201,206248,10.3
1981,Nov,63.5,56.7,1994113,1780767,213346,10.7
1981,Dec,63.5,56.5,1995627,1775557,220070,11
1982,Jan,63.5,56.4,1997927,1772078,225849,11.3
1982,Feb,63.6,56.3,2000845,1770281,230564,11.5
1982,Mar,63.6,56.2,2004122,1769749,234373,11.7
1982,Apr,63.7,56.2,2007908,1770431,237477,11.8
1982,May,63.8,56.2,2012485,1772413,240072,11.9
1982,Jun,63.9,56.2,2017893,1775529,242364,12
1982,Jul,64.1,56.3,2024338,1779697,244641,12.1
1982,Aug,64.2,56.4,2031524,1784591,246933,12.2
1982,Sep,64.4,56.6,2038194,1789466,248728,12.2
1982,Oct,64.5,56.7,2043306,1793716,249590,12.2
1982,Nov,64.6,56.7,2046432,1797105,249327,12.2
1982,Dec,64.6,56.7,2047070,1799360,247710,12.1
1983,Jan,64.5,56.8,2045662,1800701,244961,12
1983,Feb,64.4,56.8,2043675,1802183,241492,11.8
1983,Mar,64.3,56.8,2042482,1804645,237837,11.6
1983,Apr,64.3,56.9,2043447,1808751,234696,11.5
1983,May,64.3,57,2047099,1814753,232346,11.4
1983,Jun,64.5,57.2,2052818,1822378,230440,11.2
