Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,47586,47803,47807,47988,48085,48184,48231,48289,48170,48223,48305,48579
1969,48511,48715,48680,48692,48607,48740,48714,48961,48957,48957,49033,49055
1970,49112,49089,49197,49080,49075,48827,48907,48850,48928,48855,48950,48933
1971,48960,48922,48911,49284,49381,49151,49536,49556,49563,49652,49815,49852
1972,50078,50174,50495,50560,50678,50946,51029,51208,51198,51196,51364,51608
1973,51518,51816,52164,52080,52003,52336,52536,52376,52502,52785,52910,53058
1974,53302,53228,53157,52953,53165,53084,52990,53023,53072,53045,52871,52437
1975,51967,51789,51632,51544,51696,51509,51844,52020,52005,51998,52066,52111
1976,52478,52670,52771,53071,53144,52922,53254,53421,53399,53471,53486,53579
1977,53717,53884,54081,54327,54471,54733,54807,54945,54974,55325,55655,55845
1978,55860,55815,55856,56162,56370,56724,56551,56720,56634,56813,57140,57089
1979,57411,57548,57437,57369,57449,57699,57719,57593,57826,57713,57705,57881
1980,57746,57924,57669,57207,57004,56774,56795,56770,56847,57073,57167,57288
1981,57358,57375,57597,57879,57776,57246,57596,57538,57381,57252,57032,56732
1982,56672,56710,56541,56510,56766,56171,56113,56161,56049,55947,55847,55773
1983,55784,55712,55799,56011,56133,56917,57151,57162,57307,57434,57900,58033
1984,58223,58522,58621,58698,59003,59462,59212,59201,59408,59465,59630,59662
1985,59571,59563,59776,59814,59931,59616,59746,59941,60132,60191,60228,60246
1986,60856,60549,60648,60705,60651,60796,60851,60933,61000,61028,61280,61432
1987,61591,61664,61659,61809,62045,61931,62098,62312,62391,62501,62596,62685
1988,62835,62978,62724,63278,63131,63365,63447,63480,63495,63447,63558,63520
1989,63819,64001,64269,64230,64226,64608,64549,64527,64062,64433,64377,64499
1990,65326,65371,65416,65156,65311,65253,65129,65059,64848,64892,64783,64746
1991,64553,64283,64281,64352,64116,64194,64180,64130,64274,64166,64155,63947
1992,64097,63941,64212,64388,64415,64427,64572,64634,64643,64552,64634,64739
1993,64841,64949,65018,64994,65313,65390,65513,65708,65438,65578,65736,65751
1994,65922,65842,65868,65968,66207,66200,66169,66572,66781,67065,67316,67585
1995,67459,67618,67650,67472,67032,67326,67283,67230,67508,67520,67215,67316
1996,67447,67705,67768,67826,68043,68265,68383,68485,68546,68812,68555,68749
1997,69028,69145,69342,69459,69792,69610,69759,69894,69857,69967,70327,70138
1998,70271,70321,70235,70678,70667,70633,70666,70574,70856,70994,71228,71213
1999,71290,71177,71274,71173,71342,71362,71427,71433,71563,71599,71781,71953
2000,73158,73243,73276,73315,73157,73342,73088,73433,73288,73343,73498,73563
2001,73694,73534,73497,73457,73263,73132,73274,72829,73336,72913,72702,72758
2002,72506,72777,72703,72767,73207,72926,72964,72995,73415,73172,72735,72664
2003,72925,73242,73036,73175,73113,73098,73061,73151,73538,73597,73875,74149
2004,74332,74082,73991,74063,74082,74464,74763,74783,74682,74841,75185,74961
2005,74971,75156,75388,75764,76006,76111,76239,76433,76255,76348,76350,76544
2006,76940,77046,77318,77239,77319,77362,77058,77434,77886,77920,78071,78343
2007,78355,78291,78418,78313,78279,78260,78128,77967,78146,78085,78509,78307
2008,78331,78221,78079,78027,77867,77743,77621,77400,77201,76940,76518,75903
2009,75212,74733,74024,74021,73833,73691,73615,73410,73132,72908,72917,72605
2010,72627,72780,73065,73551,73538,73380,73567,73706,73641,73533,73369,73597
2011,73737,73989,73977,73973,74146,74041,74052,74362,74515,74522,75033,75235
2012,75164,75179,75256,75272,75395,75476,75501,75346,75836,76135,76056,76111
2013,76164,76241,76214,76196,76291,76399,76407,76276,76513,76062,76717,76869
2014,76935,76666,77343,77215,77298,77647,77883,77962,78212,78424,78280,78575
2015,78734,78762,78841,79093,79155,79029,79251,79328,79240,79346,79235,79714
2016,80018,80292,80402,80364,80345,80634,80605,80810,80814,80779,80866,80947
2017,80940,80953,81026,81391,81235,81363,81299,81461,81995,81712,81610,81878
2018,82263,82612,82606,82650,82757,82578,82654,82584,82692,82906,83096,83016
2019,83012,83066,83047,82999,83213,83358,83589,83613,83747,83776,84018,84034
2020,83940,83871,82357,71916,73702,75629,76212,78255,78674,,,
