Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,27114,27426,27572,27573,28022,27998,27856,27754,28002,28001,28189,28199
1969,28294,28612,28687,28831,28805,29140,29245,29289,29293,29488,29508,29685
1970,29668,29609,29666,29850,29489,29586,29819,29774,29570,29830,29700,29661
1971,29904,29778,29677,29703,29758,29606,29769,29983,30126,30266,30482,30619
1972,30881,30934,31078,31095,31209,31137,31201,31370,31345,31420,31626,31792
1973,31643,32096,32288,32479,32645,32849,32763,32828,32986,33202,33410,33343
1974,33253,33526,33662,33716,33726,33857,34159,34014,33979,33950,33755,33707
1975,33660,33467,33555,33645,33755,33846,34050,34214,34274,34372,34390,34554
1976,34922,35002,35214,35345,35650,35641,35839,35802,35774,35803,36148,36224
1977,36211,36458,36727,36944,37283,37226,37277,37496,37728,37727,38106,38260
1978,38524,38704,38899,39232,39399,39619,39539,39711,40036,40320,40345,40492
1979,40537,40781,41043,40734,40882,40980,41287,41183,41514,41691,41869,42052
1980,42133,42071,42044,42026,41941,41908,42001,42054,42230,42244,42378,42346
1981,42597,42816,42974,43177,43272,43052,43097,43151,42683,43126,43175,42913
1982,43020,43052,43131,43066,43350,43372,43380,43472,43455,43268,43265,43259
1983,43377,43377,43380,43549,43509,43716,44057,44446,44709,44605,44829,44963
1984,44978,45302,45346,45638,46190,46129,46223,45962,46082,46173,46342,46561
1985,46731,46992,47213,47122,47001,46889,47061,47154,47525,47656,47779,47970
1986,48031,47931,48189,48247,48438,48780,48959,49082,49085,49245,49195,49296
1987,49362,49593,49749,49985,50389,50315,50536,50745,50518,50781,50909,51108
1988,51181,51249,51313,51372,51161,51562,51613,51802,51861,52191,52542,52584
1989,52889,52775,52753,52867,52873,52810,52923,53128,53292,53148,53535,53331
1990,53755,53688,53787,53696,53840,53730,53681,53743,53676,53644,53523,53495
1991,53387,53472,53371,53757,53324,53445,53388,53354,53654,53634,53615,53519
1992,53881,53812,53932,54038,53960,53992,54141,54192,54077,54076,54242,54258
1993,54234,54326,54524,54480,54802,54900,54954,55148,55116,55245,55433,55713
1994,56044,56244,56062,56322,56657,56434,56537,56770,56906,57047,57200,57136
1995,57204,57310,57305,57473,57389,57196,57533,57622,57625,57868,57973,57772
1996,57678,57934,58094,58168,58201,58337,58564,58687,58990,59078,59216,59111
1997,59270,59153,59549,59684,59672,59802,60063,60116,60162,60212,60326,60541
1998,60455,60486,60579,60532,60658,60610,60663,60816,61130,61005,61052,61389
1999,61737,61679,61673,61781,61969,62016,61987,62158,62145,62393,62528,62571
2000,63402,63356,63425,63955,63473,63598,63443,63228,63604,63745,63824,64050
2001,64084,64078,64286,63842,63829,63741,63797,63412,63511,63479,63536,63289
2002,63196,63661,63474,63359,63333,63489,63449,63710,63887,63836,63785,63762
2003,64491,64240,64398,64457,64431,64692,64413,64398,64072,64387,64549,64262
2004,64139,64460,64461,64617,64770,64710,64793,64790,64805,64891,65046,65163
2005,65274,65228,65266,65489,65603,65604,65788,66001,66146,66199,66149,66208
2006,66210,66411,66423,66522,66771,66991,67144,67191,66929,67394,67463,67627
2007,67673,67766,67902,67273,67624,67803,67777,67715,68098,67862,68085,67967
2008,68048,67935,68007,68106,68041,67995,67911,67803,67875,67863,67583,67466
2009,66939,66907,66683,66635,66416,66318,66286,66082,65686,65523,65741,65409
2010,65811,65801,65686,65745,65703,65762,65611,65732,65755,65585,65675,65704
2011,65513,65406,65662,65613,65478,65343,65472,65580,65668,65846,65793,65667
2012,66420,66679,66780,66627,66811,66915,66791,66946,67208,67295,67277,67219
2013,67127,67120,67102,67439,67591,67599,67858,68050,67905,67475,67761,67908
2014,68215,68468,68304,68453,68528,68600,68516,68569,68566,69003,69124,69041
2015,69411,69283,69287,69417,69663,69787,69579,69853,69586,69900,70228,70414
2016,70603,70616,70756,70642,70774,70553,70860,70960,71036,71128,71198,71269
2017,71189,71415,71952,71832,71765,71937,72172,72132,72377,72067,72204,72099
2018,72223,72530,72585,72673,72908,73172,73339,73017,73340,73576,73533,73808
2019,73614,73800,73694,73697,73631,73790,73757,74282,74551,74769,74518,74769
2020,74774,74888,73415,61487,63540,66552,67320,69033,68890,,,
