Years,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Employment (People),58343000,57651000,58918000,59961000,60250000,61179000,60109000,62170000,63799000,64071000,63036000,64630000,65778000,65746000,66702000,67762000,69305000,71088000,72895000,74372000,75920000,77902000,78678000,79367000,82153000,85064000,86794000,85846000,88752000,92017000,96048000,98824000,99303000,100397000,99526000,100834000,105005000,107150000,109597000,112440000,114968000,117342000,118793000,117718000,118492000,120259000,123060000,124900000,126708000,129558000,131463000,133488000,136891000,136933000,136485000,137736000,139252000,141730000,144427000,146047000,145362000,139877000,139064000,139869000,142469000,143929000,146305000,148834000,151436000,153337000,155761000
    By sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Holding Companies (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717950,1739370,1786440,1915250,1916450,1919180,1906290,1905510,2003680,2130720,2206620,2259540,2302590,2326030,2372520
        Professional Services (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6673180,6928030,7243130,7519060,7747850,7610310,7385950,7546400,7768610,8018890,8231540,8483010,8739110,8850270,9118340
        Utilities (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567000,552440,546400,542230,557010,558640,550680,551690,552750,544310,547980,553890,549960,552270,553830
        Information (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136970,3081510,3056170,3019040,3019290,2876820,2708760,2686220,2688380,2700210,2735590,2749040,2762090,2800500,2793880
        Finance & Insurance (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5793740,5863340,5992570,5990930,5916480,5706700,5504920,5488540,5535000,5586790,5618720,5665510,5775240,5857390,5918880
        Mining (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507840,539960,590510,644070,685650,683880,625580,693400,783110,807130,824260,811320,649130,591130,651870
        Government (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9386610,9439900,9482720,9533390,9748080,9928110,9926230,9861710,9716010,9681240,9472980,9547400,9589350,9661980,9663350
        Wholesale Trade (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5627190,5736020,5862420,5964920,6011920,5734040,5464490,5538220,5623510,5701640,5780070,5838140,5840730,5845580,5797820
        Education (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954870,12137420,12291320,12455550,12655780,12795350,12826190,12747270,12683810,12706550,12758610,12861660,12982910,13042580,13149990
        Construction (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6891440,7215240,7633080,7671680,7456300,6497870,5662980,5543800,5611950,5797170,6094090,6393080,6687380,6903100,7166310
        Health Care (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14899210,15233920,15586670,16006410,16499250,16867510,17159240,17428210,17720090,18059100,18341690,18738850,19257910,20208050,20621190
        Manufacturing (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14296120,14262510,14185770,13960700,13655340,12444560,11494240,11606530,11866540,11983290,12100740,12303190,12337520,12299600,12527100
        Transportation (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5038420,5131180,5203910,5306240,5346660,5085590,4859390,4925020,5014660,5081510,5202640,5404270,5606180,5792400,6032280
        Real Estate (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055620,2108600,2148700,2143100,2137390,2018810,1925960,1908910,1928950,1966480,2017970,2066420,2110600,2147230,2197430
